sample_id,strain_group
BPH2700,VAN-001
BPH2701,VAN-001
BPH2702,VAN-002
BPH2703,VAN-003
BPH2704,VAN-004
BPH2705,VAN-004
BPH2706,VAN-005
BPH2707,VAN-006
BPH2708,VAN-007
BPH2709,VAN-007
BPH2710,VAN-008
BPH2711,VAN-009
BPH2712,VAN-010
BPH2713,VAN-011
BPH2714,VAN-011
BPH2715,VAN-012
BPH2716,VAN-013
BPH2717,VAN-014
BPH2718,VAN-015
BPH2719,VAN-016
BPH2720,VAN-017
BPH2721,VAN-018
BPH2722,VAN-019
BPH2723,VAN-020
BPH2724,VAN-021
BPH2725,VAN-022
BPH2726,VAN-023
BPH2727,VAN-023
BPH2728,VAN-024
BPH2729,VAN-024
BPH2730,VAN-024
BPH2731,VAN-025
BPH2732,VAN-026
BPH2733,VAN-026
BPH2734,VAN-026
BPH2735,VAN-027
BPH2736,VAN-028
BPH2737,VAN-029
BPH2738,VAN-029
BPH2739,VAN-030
BPH2740,VAN-030
BPH2741,VAN-031
BPH2742,VAN-032
BPH2743,VAN-033
BPH2744,VAN-034
BPH2745,VAN-035
BPH2746,VAN-037
BPH2747,VAN-038
BPH2748,VAN-038
BPH2749,VAN-039
BPH2750,VAN-040
BPH2751,VAN-040
BPH2752,VAN-041
BPH2753,VAN-042
BPH2754,VAN-043
BPH2755,VAN-043
BPH2756,VAN-044
BPH2757,VAN-045
BPH2758,VAN-046
BPH2759,VAN-047
BPH2760,VAN-048
BPH2761,VAN-049
BPH2762,VAN-049
BPH2763,VAN-050
BPH2764,VAN-050
BPH2765,VAN-051
BPH2766,VAN-052
BPH2767,VAN-053
BPH2768,VAN-054
BPH2769,VAN-055
BPH2770,VAN-056
BPH2771,VAN-056
BPH2773,VAN-058
BPH2774,VAN-059
BPH2775,VAN-060
BPH2776,VAN-061
BPH2777,VAN-062
BPH2778,VAN-062
BPH2779,VAN-063
BPH2780,VAN-064
BPH2781,VAN-065
BPH2782,VAN-066
BPH2783,VAN-067
BPH2784,VAN-068
BPH2785,VAN-069
BPH2786,VAN-070
BPH2787,VAN-071
BPH2788,VAN-072
BPH2789,VAN-073
BPH2790,VAN-074
BPH2791,VAN-075
BPH2792,VAN-076
BPH2793,VAN-077
BPH2794,VAN-078
BPH2795,VAN-079
BPH2796,VAN-080
BPH2797,VAN-081
BPH2798,VAN-082
BPH2799,VAN-082
BPH2800,VAN-082
