sample_id,pair_id,plate
BPH2799,1,GP8
BPH2946,1,GP8
BPH2798,1,GP8
BPH2718,1,GP8
BPH3751,2,GP8
BPH2858,2,GP8
BPH3750,2,GP8
BPH2720,2,GP8
BPH2710,3,GP8
BPH3382,3,GP8
BPH2896,3,GP8
BPH2763,4,GP8
BPH2764,4,GP8
BPH2823,4,GP8
BPH3208,5,GP8
BPH3306,5,GP8
BPH3660,5,GP8
BPH3434,6,GP8
BPH3746,6,GP8
BPH3423,6,GP8
BPH2700,7,GP8
BPH2876,7,GP8
BPH2728,8,GP8
BPH2729,8,GP8
BPH2737,9,GP8
BPH2738,9,GP8
BPH2866,10,GP8
BPH2867,10,GP8
BPH2924,11,GP9
BPH2923,11,GP9
BPH2965,12,GP9
BPH2966,12,GP9
BPH3216,13,GP9
BPH3270,13,GP9
BPH3258,14,GP9
BPH3276,14,GP9
BPH3336,15,GP9
BPH3733,15,GP9
BPH3455,16,GP9
BPH3453,16,GP9
BPH3481,17,GP9
BPH3396,17,GP9
BPH3501,18,GP9
BPH3489,18,GP9
BPH3524,19,GP9
BPH3548,19,GP9
BPH3708,20,GP9
BPH3541,20,GP9
BPH2705,21,GP9
BPH2704,21,GP9
BPH2752,22,GP9
BPH2761,22,GP9
BPH2787,23,GP9
BPH3688,23,GP9
BPH2860,24,GP9
BPH2784,24,GP9
BPH2869,25,GP10
BPH3662,25,GP10
BPH2904,26,GP10
BPH2902,26,GP10
BPH2925,27,GP10
BPH2926,27,GP10
BPH2963,28,GP10
BPH2964,28,GP10
BPH3282,29,GP10
BPH3274,29,GP10
BPH3366,30,GP10
BPH3362,30,GP10
BPH3368,31,GP10
BPH3348,31,GP10
BPH3403,32,GP10
BPH3499,32,GP10
BPH3523,33,GP10
BPH3739,33,GP10
BPH3545,34,GP10
BPH3568,35,GP10
BPH3590,35,GP10
BPH3672,36,GP10
BPH3757,36,GP10
BPH3682,37,GP10
BPH3684,37,GP10
BPH3694,38,GP10
BPH3652,38,GP10
