mdu_id,studyid,plate
BPH2700,VAN-001,1
BPH2701,VAN-001,1
BPH2702,VAN-002,1
BPH2703,VAN-003,1
BPH2704,VAN-004,1
BPH2705,VAN-004,1
BPH2706,VAN-005,1
BPH2707,VAN-006,1
BPH2708,VAN-007,1
BPH2709,VAN-007,1
BPH2710,VAN-008,1
BPH2711,VAN-009,1
BPH2712,VAN-010,1
BPH2713,VAN-011,1
BPH2714,VAN-011,1
BPH2715,VAN-012,1
BPH2716,VAN-013,1
BPH2717,VAN-014,1
BPH2718,VAN-015,1
BPH2719,VAN-016,1
BPH2720,VAN-017,1
BPH2721,VAN-018,1
BPH2722,VAN-019,1
BPH2723,VAN-020,1
BPH2724,VAN-021,1
BPH2725,VAN-022,1
BPH2726,VAN-023,1
BPH2727,VAN-023,1
BPH2728,VAN-024,2
BPH2729,VAN-024,2
BPH2730,VAN-024,2
BPH2731,VAN-025,2
BPH2732,VAN-026,2
BPH2733,VAN-026,2
BPH2734,VAN-026,2
BPH2735,VAN-027,2
BPH2736,VAN-028,2
BPH2737,VAN-029,2
BPH2738,VAN-029,2
BPH2739,VAN-030,2
BPH2740,VAN-030,2
BPH2741,VAN-031,2
BPH2742,VAN-032,2
BPH2743,VAN-033,2
BPH2744,VAN-034,2
BPH2745,VAN-035,2
BPH2746,VAN-037,2
BPH2747,VAN-038,2
BPH2748,VAN-038,2
BPH2749,VAN-039,2
BPH2750,VAN-040,2
BPH2751,VAN-040,2
BPH2752,VAN-041,2
BPH2753,VAN-042,2
BPH2754,VAN-043,2
BPH2755,VAN-043,2
BPH2756,VAN-044,3
BPH2757,VAN-045,3
BPH2758,VAN-046,3
BPH2759,VAN-047,3
BPH2760,VAN-048,3
BPH2761,VAN-049,3
BPH2762,VAN-049,3
BPH2763,VAN-050,3
BPH2764,VAN-050,3
BPH2765,VAN-051,3
BPH2766,VAN-052,3
BPH2767,VAN-053,3
BPH2768,VAN-054,3
BPH2769,VAN-055,3
BPH2770,VAN-056,3
BPH2771,VAN-056,3
BPH2773,VAN-058,3
BPH2774,VAN-059,3
BPH2775,VAN-060,3
BPH2776,VAN-061,3
BPH2777,VAN-062,3
BPH2778,VAN-062,3
BPH2779,VAN-063,3
BPH2780,VAN-064,3
BPH2781,VAN-065,3
BPH2782,VAN-066,3
BPH2783,VAN-067,3
BPH2784,VAN-068,3
BPH2785,VAN-069,4
BPH2786,VAN-070,4
BPH2787,VAN-071,4
BPH2788,VAN-072,4
BPH2789,VAN-073,4
BPH2790,VAN-074,4
BPH2791,VAN-075,4
BPH2792,VAN-076,4
BPH2793,VAN-077,4
BPH2794,VAN-078,4
BPH2795,VAN-079,4
BPH2796,VAN-080,4
BPH2797,VAN-081,4
BPH2798,VAN-082,4
BPH2799,VAN-082,4
BPH2800,VAN-082,4
BPH2801,VAN-083,4
BPH2802,VAN-083,4
BPH2803,VAN-083,4
BPH2804,VAN-083,4
BPH2805,VAN-084,4
BPH2806,VAN-085,4
BPH2807,VAN-086,4
BPH2808,VAN-086,4
BPH2809,VAN-087,4
BPH2810,VAN-088,4
BPH2811,VAN-089,4
BPH2812,VAN-090,5
BPH2813,VAN-090,5
BPH2814,VAN-090,5
BPH2815,VAN-090,5
BPH2816,VAN-091,5
BPH2817,VAN-092,5
BPH2818,VAN-093,5
BPH2819,VAN-094,5
BPH2820,VAN-094,5
BPH2821,VAN-095,5
BPH2822,VAN-096,5
BPH2823,VAN-097,5
BPH2824,VAN-098,5
BPH2825,VAN-098,5
BPH2827,VAN-100,5
BPH2828,VAN-101,5
BPH2829,VAN-102,5
BPH2830,VAN-103,5
BPH2831,VAN-104,5
BPH2832,VAN-104,5
BPH2833,VAN-104,5
BPH2834,VAN-105,5
BPH2835,VAN-106,5
BPH2836,VAN-107,5
BPH2837,VAN-108,5
BPH2838,VAN-109,5
BPH2839,VAN-110,5
BPH2840,VAN-111,6
BPH2841,VAN-111,6
BPH2842,VAN-112,6
BPH2843,VAN-112,6
BPH2844,VAN-113,6
BPH2845,VAN-114,6
BPH2846,VAN-115,6
BPH2847,VAN-116,6
BPH2848,VAN-117,6
BPH2849,VAN-118,6
BPH2850,VAN-118,6
BPH2851,VAN-119,6
BPH2852,VAN-121,6
BPH2853,VAN-122,6
BPH2854,VAN-123,6
BPH2855,VAN-124,6
BPH2856,VAN-125,6
BPH2857,VAN-126,6
BPH2858,VAN-126,6
BPH2859,VAN-127,6
BPH2860,VAN-128,6
BPH2861,VAN-129,6
BPH2862,VAN-129,6
BPH2863,VAN-130,6
BPH2864,VAN-130,6
BPH2865,VAN-131,6
BPH2866,VAN-132,6
BPH2867,VAN-132,6
BPH2868,VAN-133,7
BPH2869,VAN-134,7
BPH2870,VAN-135,7
BPH2871,VAN-136,7
BPH2872,VAN-137,7
BPH2873,VAN-137,7
BPH2874,VAN-138,7
BPH2875,VAN-139,7
BPH2876,VAN-140,7
BPH2877,VAN-140,7
BPH2878,VAN-141,7
BPH2879,VAN-142,7
BPH2880,VAN-143,7
BPH2881,VAN-144,7
BPH2882,VAN-144,7
BPH2883,VAN-145,7
BPH2884,VAN-145,7
BPH2885,VAN-146,7
BPH2886,VAN-147,7
BPH2887,VAN-148,7
BPH2888,VAN-148,7
BPH2889,VAN-149,7
BPH2890,VAN-150,7
BPH2891,VAN-150,7
BPH2892,VAN-151,7
BPH2893,VAN-152,7
BPH2894,VAN-153,7
BPH2895,VAN-154,7
BPH2896,VAN-155,8
BPH2897,VAN-156,8
BPH2898,VAN-156,8
BPH2899,VAN-157,8
BPH2900,VAN-158,8
BPH2901,VAN-159,8
BPH2902,VAN-160,8
BPH2903,VAN-160,8
BPH2904,VAN-160,8
BPH2905,VAN-161,8
BPH2906,VAN-162,8
BPH2907,VAN-162,8
BPH2908,VAN-163,8
BPH2909,VAN-164,8
BPH2910,VAN-165,8
BPH2911,VAN-166,8
BPH2912,VAN-167,8
BPH2913,VAN-168,8
BPH2914,VAN-169,8
BPH2915,VAN-170,8
BPH2916,VAN-171,8
BPH2917,VAN-172,8
BPH2918,VAN-173,8
BPH2919,VAN-174,8
BPH2920,VAN-174,8
BPH2921,VAN-175,8
BPH2922,VAN-176,9
BPH2923,VAN-176,9
BPH2924,VAN-176,9
BPH2925,VAN-176,9
BPH2926,VAN-176,9
BPH2927,VAN-177,9
BPH2928,VAN-178,9
BPH2929,VAN-179,9
BPH2930,VAN-180,9
BPH2931,VAN-181,9
BPH2932,VAN-182,9
BPH2933,VAN-183,9
BPH2934,VAN-184,9
BPH2935,VAN-185,9
BPH2936,VAN-186,9
BPH2937,VAN-187,9
BPH2938,VAN-188,9
BPH2939,VAN-189,9
BPH2940,VAN-190,9
BPH2941,VAN-191,9
BPH2942,VAN-192,9
BPH2943,VAN-192,9
BPH2944,VAN-193,9
BPH2945,VAN-194,9
BPH2946,VAN-195,9
BPH2947,VAN-196,9
BPH2948,VAN-196,9
BPH2949,VAN-197,9
BPH2950,VAN-198,10
BPH2951,VAN-199,10
BPH2952,VAN-200,10
BPH2953,VAN-200,10
BPH2954,VAN-201,10
BPH2955,VAN-202,10
BPH2956,VAN-203,10
BPH2957,VAN-204,10
BPH2958,VAN-205,10
BPH2959,VAN-206,10
BPH2960,VAN-206,10
BPH2961,VAN-206,10
BPH2962,VAN-207,10
BPH2963,VAN-207,10
BPH2964,VAN-207,10
BPH2965,VAN-208,10
BPH2966,VAN-208,10
BPH2967,VAN-209,10
BPH2968,VAN-210,10
BPH2969,VAN-211,10
BPH2970,VAN-212,10
BPH2971,VAN-213,10
BPH2972,VAN-214,10
BPH2973,VAN-215,10
BPH2974,VAN-215,10
BPH2975,VAN-215,10
BPH2976,VAN-216,11
BPH2977,VAN-216,11
BPH2978,VAN-216,11
BPH2979,VAN-216,11
BPH2980,VAN-216,11
BPH2981,VAN-216,11
BPH2982,VAN-216,11
BPH2983,VAN-218,11
BPH2984,VAN-219,11
BPH2985,VAN-220,11
BPH2986,VAN-221,11
BPH2987,VAN-222,11
BPH2988,VAN-222,11
BPH2989,VAN-223,11
BPH2990,VAN-223,11
BPH2991,VAN-223,11
BPH2992,VAN-224,11
BPH2993,VAN-225,11
BPH2994,VAN-226,11
BPH3200,VSS-001,11
BPH3201,VSS-002,11
BPH3202,VSS-003,11
BPH3203,VSS-004,11
BPH3204,VSS-005,11
BPH3205,VSS-006,11
BPH3206,VSS-007,11
BPH3207,VSS-008,11
BPH3208,VSS-009,11
BPH3209,VSS-010,12
BPH3210,VSS-011,12
BPH3211,VSS-012,12
BPH3212,VSS-013,12
BPH3213,VSS-014,12
BPH3214,VSS-015,12
BPH3215,VSS-016,12
BPH3216,VSS-017,12
BPH3217,VSS-018,12
BPH3218,VSS-019,12
BPH3219,VSS-020,12
BPH3220,VSS-021,12
BPH3221,VSS-022,12
BPH3222,VSS-023,12
BPH3223,VSS-024,12
BPH3224,VSS-025,12
BPH3225,VSS-026,12
BPH3226,VSS-027,12
BPH3227,VSS-028,12
BPH3228,VSS-029,12
BPH3229,VSS-030,12
BPH3230,VSS-031,12
BPH3231,VSS-032,12
BPH3232,VSS-033,12
BPH3233,VSS-034,12
BPH3234,VSS-035,12
BPH3235,VSS-036,12
BPH3236,VSS-037,12
BPH3237,VSS-038,13
BPH3238,VSS-039,13
BPH3239,VSS-040,13
BPH3240,VSS-041,13
BPH3241,VSS-042,13
BPH3242,VSS-043,13
BPH3243,VSS-044,13
BPH3244,VSS-045,13
BPH3245,VSS-046,13
BPH3246,VSS-047,13
BPH3247,VSS-048,13
BPH3248,VSS-049,13
BPH3249,VSS-050,13
BPH3250,VSS-051,13
BPH3251,VSS-052,13
BPH3252,VSS-053,13
BPH3253,VSS-054,13
BPH3254,VSS-055,13
BPH3255,VSS-056,13
BPH3256,VSS-057,13
BPH3257,VSS-058,13
BPH3258,VSS-059,13
BPH3259,VSS-060,13
BPH3260,VSS-061,13
BPH3261,VSS-062,13
BPH3262,VSS-063,13
BPH3263,VSS-064,13
BPH3264,VSS-065,13
BPH3265,VSS-066,14
BPH3266,VSS-067,14
BPH3267,VSS-068,14
BPH3268,VSS-069,14
BPH3269,VSS-070,14
BPH3270,VSS-071,14
BPH3271,VSS-072,14
BPH3272,VSS-073,14
BPH3273,VSS-074,14
BPH3274,VSS-075,14
BPH3275,VSS-076,14
BPH3276,VSS-077,14
BPH3277,VSS-078,14
BPH3278,VSS-079,14
BPH3279,VSS-080,14
BPH3280,VSS-081,14
BPH3281,VSS-082,14
BPH3282,VSS-083,14
BPH3283,VSS-084,14
BPH3284,VSS-085,14
BPH3285,VSS-086,14
BPH3286,VSS-087,14
BPH3287,VSS-088,14
BPH3288,VSS-089,14
BPH3289,VSS-090,14
BPH3290,VSS-091,14
BPH3291,VSS-092,14
BPH3292,VSS-093,14
BPH3293,VSS-094,15
BPH3294,VSS-095,15
BPH3295,VSS-096,15
BPH3296,VSS-097,15
BPH3297,VSS-098,15
BPH3298,VSS-099,15
BPH3299,VSS-100,15
BPH3300,VSS-101,15
BPH3301,VSS-102,15
BPH3302,VSS-103,15
BPH3303,VSS-104,15
BPH3304,VSS-105,15
BPH3305,VSS-106,15
BPH3306,VSS-107,15
BPH3307,VSS-108,15
BPH3308,VSS-109,15
BPH3309,VSS-110,15
BPH3310,VSS-111,15
BPH3311,VSS-112,15
BPH3312,VSS-113,15
BPH3313,VSS-114,15
BPH3314,VSS-115,15
BPH3315,VSS-116,15
BPH3316,VSS-117,15
BPH3317,VSS-118,15
BPH3318,VSS-119,15
BPH3319,VSS-120,15
BPH3320,VSS-121,15
BPH3321,VSS-122,16
BPH3322,VSS-123,16
BPH3323,VSS-124,16
BPH3324,VSS-125,16
BPH3325,VSS-126,16
BPH3326,VSS-127,16
BPH3327,VSS-128,16
BPH3328,VSS-129,16
BPH3329,VSS-130,16
BPH3330,VSS-131,16
BPH3331,VSS-132,16
BPH3332,VSS-133,16
BPH3333,VSS-134,16
BPH3334,VSS-135,16
BPH3335,VSS-136,16
BPH3336,VSS-137,16
BPH3733,VSS-137,16
BPH3337,VSS-138,16
BPH3734,VSS-138,16
BPH3338,VSS-139,16
BPH3339,VSS-140,16
BPH3340,VSS-141,16
BPH3341,VSS-142,16
BPH3342,VSS-143,16
BPH3343,VSS-144,16
BPH3344,VSS-145,16
BPH3345,VSS-146,16
BPH3346,VSS-147,16
BPH3347,VSS-148,17
BPH3348,VSS-149,17
BPH3735,VSS-149,17
BPH3349,VSS-150,17
BPH3350,VSS-151,17
BPH3351,VSS-152,17
BPH3352,VSS-153,17
BPH3736,VSS-153,17
BPH3353,VSS-154,17
BPH3354,VSS-155,17
BPH3355,VSS-156,17
BPH3356,VSS-157,17
BPH3737,VSS-157,17
BPH3357,VSS-158,17
BPH3358,VSS-159,17
BPH3359,VSS-160,17
BPH3360,VSS-161,17
BPH3361,VSS-162,17
BPH3362,VSS-163,17
BPH3363,VSS-164,17
BPH3364,VSS-165,17
BPH3365,VSS-166,17
BPH3366,VSS-167,17
BPH3367,VSS-170,17
BPH3368,VSS-171,17
BPH3369,VSS-172,17
