well,sample_id,replicate,plate_number
A01,BPH2722,2,1
A02,BPH2712,3,1
A03,BPH2700,1,1
A04,BPH2711,1,1
A05,Non infected,3,1
A06,BPH2714,1,1
A07,BPH2704,2,1
A08,BPH2727,1,1
A09,BPH2719,2,1
A10,BPH2716,3,1
A11,BPH2706,3,1
A12,BPH2717,3,1
B01,BPH2724,2,1
B02,BPH2702,1,1
B03,BPH2724,1,1
B04,BPH2712,1,1
B05,BPH2725,3,1
B06,TOX-4,3,1
B07,BPH2714,2,1
B08,BPH2710,3,1
B09,BPH2711,2,1
B10,BPH2723,1,1
B11,BPH2713,3,1
B12,BPH2712,2,1
C01,BPH2706,2,1
C02,BPH2709,1,1
C03,BPH2722,3,1
C04,BPH2724,3,1
C05,BPH2713,1,1
C06,BPH2721,3,1
C07,BPH2708,1,1
C08,BPH2718,1,1
C09,BPH2718,2,1
C10,BPH2701,3,1
C11,BPH2719,1,1
C12,TOX-5,2,1
D01,BPH2727,3,1
D02,BPH2723,2,1
D03,BPH2719,3,1
D04,BPH2707,3,1
D05,BPH2710,2,1
D06,TOX-4,2,1
D07,BPH2700,2,1
D08,BPH2714,3,1
D09,BPH2705,3,1
D10,BPH2707,1,1
D11,BPH2717,1,1
D12,BPH2723,3,1
E01,TOX-5,1,1
E02,BPH2721,2,1
E03,BPH2720,2,1
E04,BPH2707,2,1
E05,TOX-4,1,1
E06,BPH2721,1,1
E07,Non infected,1,1
E08,BPH2703,2,1
E09,BPH2705,2,1
E10,BPH2711,3,1
E11,BPH2704,1,1
E12,BPH2720,3,1
F01,BPH2725,1,1
F02,BPH2720,1,1
F03,BPH2715,2,1
F04,BPH2722,1,1
F05,BPH2726,2,1
F06,BPH2726,1,1
F07,BPH2715,3,1
F08,BPH2703,3,1
F09,BPH2705,1,1
F10,BPH2716,2,1
F11,TOX-5,3,1
F12,BPH2727,2,1
G01,BPH2713,2,1
G02,BPH2725,2,1
G03,BPH2702,3,1
G04,BPH2709,2,1
G05,BPH2726,3,1
G06,BPH2715,1,1
G07,BPH2710,1,1
G08,BPH2703,1,1
G09,BPH2716,1,1
G10,BPH2708,2,1
G11,BPH2700,3,1
G12,BPH2718,3,1
H01,Non infected,2,1
H02,BPH2709,3,1
H03,BPH2702,2,1
H04,BPH2704,3,1
H05,BPH2708,3,1
H06,BPH2706,1,1
H07,BPH2701,2,1
H08,BPH2717,2,1
H09,BPH2701,1,1
H10,Total LDH,1,1
H11,Total LDH,2,1
H12,Total LDH,3,1
A01,BPH2750,2,2
A02,BPH2740,3,2
A03,BPH2728,1,2
A04,BPH2739,1,2
A05,Non infected,3,2
A06,BPH2742,1,2
A07,BPH2732,2,2
A08,BPH2755,1,2
A09,BPH2747,2,2
A10,BPH2744,3,2
A11,BPH2734,3,2
A12,BPH2745,3,2
B01,BPH2752,2,2
B02,BPH2730,1,2
B03,BPH2752,1,2
B04,BPH2740,1,2
B05,BPH2753,3,2
B06,TOX-4,3,2
B07,BPH2742,2,2
B08,BPH2738,3,2
B09,BPH2739,2,2
B10,BPH2751,1,2
B11,BPH2741,3,2
B12,BPH2740,2,2
C01,BPH2734,2,2
C02,BPH2737,1,2
C03,BPH2750,3,2
C04,BPH2752,3,2
C05,BPH2741,1,2
C06,BPH2749,3,2
C07,BPH2736,1,2
C08,BPH2746,1,2
C09,BPH2746,2,2
C10,BPH2729,3,2
C11,BPH2747,1,2
C12,TOX-5,2,2
D01,BPH2755,3,2
D02,BPH2751,2,2
D03,BPH2747,3,2
D04,BPH2735,3,2
D05,BPH2738,2,2
D06,TOX-4,2,2
D07,BPH2728,2,2
D08,BPH2742,3,2
D09,BPH2733,3,2
D10,BPH2735,1,2
D11,BPH2745,1,2
D12,BPH2751,3,2
E01,TOX-5,1,2
E02,BPH2749,2,2
E03,BPH2748,2,2
E04,BPH2735,2,2
E05,TOX-4,1,2
E06,BPH2749,1,2
E07,Non infected,1,2
E08,BPH2731,2,2
E09,BPH2733,2,2
E10,BPH2739,3,2
E11,BPH2732,1,2
E12,BPH2748,3,2
F01,BPH2753,1,2
F02,BPH2748,1,2
F03,BPH2743,2,2
F04,BPH2750,1,2
F05,BPH2754,2,2
F06,BPH2754,1,2
F07,BPH2743,3,2
F08,BPH2731,3,2
F09,BPH2733,1,2
F10,BPH2744,2,2
F11,TOX-5,3,2
F12,BPH2755,2,2
G01,BPH2741,2,2
G02,BPH2753,2,2
G03,BPH2730,3,2
G04,BPH2737,2,2
G05,BPH2754,3,2
G06,BPH2743,1,2
G07,BPH2738,1,2
G08,BPH2731,1,2
G09,BPH2744,1,2
G10,BPH2736,2,2
G11,BPH2728,3,2
G12,BPH2746,3,2
H01,Non infected,2,2
H02,BPH2737,3,2
H03,BPH2730,2,2
H04,BPH2732,3,2
H05,BPH2736,3,2
H06,BPH2734,1,2
H07,BPH2729,2,2
H08,BPH2745,2,2
H09,BPH2729,1,2
H10,Total LDH,1,2
H11,Total LDH,2,2
H12,Total LDH,3,2
A01,BPH2779,2,3
A02,BPH2768,3,3
A03,BPH2756,1,3
A04,BPH2767,1,3
A05,Non infected,3,3
A06,BPH2770,1,3
A07,BPH2760,2,3
A08,BPH2784,1,3
A09,BPH2776,2,3
A10,BPH2773,3,3
A11,BPH2762,3,3
A12,BPH2774,3,3
B01,BPH2781,2,3
B02,BPH2758,1,3
B03,BPH2781,1,3
B04,BPH2768,1,3
B05,BPH2782,3,3
B06,TOX-4,3,3
B07,BPH2770,2,3
B08,BPH2766,3,3
B09,BPH2767,2,3
B10,BPH2780,1,3
B11,BPH2769,3,3
B12,BPH2768,2,3
C01,BPH2762,2,3
C02,BPH2765,1,3
C03,BPH2779,3,3
C04,BPH2781,3,3
C05,BPH2769,1,3
C06,BPH2778,3,3
C07,BPH2764,1,3
C08,BPH2775,1,3
C09,BPH2775,2,3
C10,BPH2757,3,3
C11,BPH2776,1,3
C12,TOX-5,2,3
D01,BPH2784,3,3
D02,BPH2780,2,3
D03,BPH2776,3,3
D04,BPH2763,3,3
D05,BPH2766,2,3
D06,TOX-4,2,3
D07,BPH2756,2,3
D08,BPH2770,3,3
D09,BPH2761,3,3
D10,BPH2763,1,3
D11,BPH2774,1,3
D12,BPH2780,3,3
E01,TOX-5,1,3
E02,BPH2778,2,3
E03,BPH2777,2,3
E04,BPH2763,2,3
E05,TOX-4,1,3
E06,BPH2778,1,3
E07,Non infected,1,3
E08,BPH2759,2,3
E09,BPH2761,2,3
E10,BPH2767,3,3
E11,BPH2760,1,3
E12,BPH2777,3,3
F01,BPH2782,1,3
F02,BPH2777,1,3
F03,BPH2771,2,3
F04,BPH2779,1,3
F05,BPH2783,2,3
F06,BPH2783,1,3
F07,BPH2771,3,3
F08,BPH2759,3,3
F09,BPH2761,1,3
F10,BPH2773,2,3
F11,TOX-5,3,3
F12,BPH2784,2,3
G01,BPH2769,2,3
G02,BPH2782,2,3
G03,BPH2758,3,3
G04,BPH2765,2,3
G05,BPH2783,3,3
G06,BPH2771,1,3
G07,BPH2766,1,3
G08,BPH2759,1,3
G09,BPH2773,1,3
G10,BPH2764,2,3
G11,BPH2756,3,3
G12,BPH2775,3,3
H01,Non infected,2,3
H02,BPH2765,3,3
H03,BPH2758,2,3
H04,BPH2760,3,3
H05,BPH2764,3,3
H06,BPH2762,1,3
H07,BPH2757,2,3
H08,BPH2774,2,3
H09,BPH2757,1,3
H10,Total LDH,1,3
H11,Total LDH,2,3
H12,Total LDH,3,3
A01,BPH2807,2,4
A02,BPH2797,3,4
A03,BPH2785,1,4
A04,BPH2796,1,4
A05,TOX-4,3,4
A06,BPH2799,1,4
A07,BPH2789,2,4
A08,Non infected,1,4
A09,BPH2804,2,4
A10,BPH2801,3,4
A11,BPH2791,3,4
A12,BPH2802,3,4
B01,BPH2809,2,4
B02,BPH2787,1,4
B03,BPH2809,1,4
B04,BPH2797,1,4
B05,BPH2810,3,4
B06,TOX-5,3,4
B07,BPH2799,2,4
B08,BPH2795,3,4
B09,BPH2796,2,4
B10,BPH2808,1,4
B11,BPH2798,3,4
B12,BPH2797,2,4
C01,BPH2791,2,4
C02,BPH2794,1,4
C03,BPH2807,3,4
C04,BPH2809,3,4
C05,BPH2798,1,4
C06,BPH2806,3,4
C07,BPH2793,1,4
C08,BPH2803,1,4
C09,BPH2803,2,4
C10,BPH2786,3,4
C11,BPH2804,1,4
C12,Blank,2,4
D01,Non infected,3,4
D02,BPH2808,2,4
D03,BPH2804,3,4
D04,BPH2792,3,4
D05,BPH2795,2,4
D06,TOX-5,2,4
D07,BPH2785,2,4
D08,BPH2799,3,4
D09,BPH2790,3,4
D10,BPH2792,1,4
D11,BPH2802,1,4
D12,BPH2808,3,4
E01,Blank,1,4
E02,BPH2806,2,4
E03,BPH2805,2,4
E04,BPH2792,2,4
E05,TOX-5,1,4
E06,BPH2806,1,4
E07,TOX-4,1,4
E08,BPH2788,2,4
E09,BPH2790,2,4
E10,BPH2796,3,4
E11,BPH2789,1,4
E12,BPH2805,3,4
F01,BPH2810,1,4
F02,BPH2805,1,4
F03,BPH2800,2,4
F04,BPH2807,1,4
F05,BPH2811,2,4
