well,sample_id,replicate,plate_number
A01,BPH3423,2,M1
A02,BPH3358,3,M1
A03,BPH2887,1,M1
A04,BPH3350,1,M1
A05,JE2,3,M1
A06,BPH3361,1,M1
A07,BPH2949,2,M1
A08,BPH3453,1,M1
A09,BPH3396,2,M1
A10,BPH3383,3,M1
A11,BPH3225,3,M1
A12,BPH3384,3,M1
B01,BPH3433,2,M1
B02,BPH2934,1,M1
B03,BPH3433,1,M1
B04,BPH3358,1,M1
B05,BPH3448,3,M1
B06,Non infected,3,M1
B07,BPH3361,2,M1
B08,BPH3328,3,M1
B09,BPH3350,2,M1
B10,BPH3425,1,M1
B11,BPH3360,3,M1
B12,BPH3358,2,M1
C01,BPH3225,2,M1
C02,BPH3306,1,M1
C03,BPH3423,3,M1
C04,BPH3433,3,M1
C05,BPH3360,1,M1
C06,BPH3416,3,M1
C07,BPH3276,1,M1
C08,BPH3394,1,M1
C09,BPH3394,2,M1
C10,BPH2896,3,M1
C11,BPH3396,1,M1
C12,TOX-4,2,M1
D01,BPH3453,3,M1
D02,BPH3425,2,M1
D03,BPH3396,3,M1
D04,BPH3252,3,M1
D05,BPH3328,2,M1
D06,Non infected,2,M1
D07,BPH2887,2,M1
D08,BPH3361,3,M1
D09,BPH2965,3,M1
D10,BPH3252,1,M1
D11,BPH3384,1,M1
D12,BPH3425,3,M1
E01,TOX-4,1,M1
E02,BPH3416,2,M1
E03,BPH3412,2,M1
E04,BPH3252,2,M1
E05,Non infected,1,M1
E06,BPH3416,1,M1
E07,JE2,1,M1
E08,BPH2938,2,M1
E09,BPH2965,2,M1
E10,BPH3350,3,M1
E11,BPH2949,1,M1
E12,BPH3412,3,M1
F01,BPH3448,1,M1
F02,BPH3412,1,M1
F03,BPH3367,2,M1
F04,BPH3423,1,M1
F05,BPH3451,2,M1
F06,BPH3451,1,M1
F07,BPH3367,3,M1
F08,BPH2938,3,M1
F09,BPH2965,1,M1
F10,BPH3383,2,M1
F11,TOX-4,3,M1
F12,BPH3453,2,M1
G01,BPH3360,2,M1
G02,BPH3448,2,M1
G03,BPH2934,3,M1
G04,BPH3306,2,M1
G05,BPH3451,3,M1
G06,BPH3367,1,M1
G07,BPH3328,1,M1
G08,BPH2938,1,M1
G09,BPH3383,1,M1
G10,BPH3276,2,M1
G11,BPH2887,3,M1
G12,BPH3394,3,M1
H01,JE2,2,M1
H02,BPH3306,3,M1
H03,BPH2934,2,M1
H04,BPH2949,3,M1
H05,BPH3276,3,M1
H06,BPH3225,1,M1
H07,BPH2896,2,M1
H08,BPH3384,2,M1
H09,BPH2896,1,M1
H10,Complete lysis,1,M1
H11,Complete lysis,2,M1
H12,Complete lysis,3,M1
A03,BPH3455,1,M2
D07,BPH3455,2,M2
G11,BPH3455,3,M2
C10,BPH3478,3,M2
H07,BPH3478,2,M2
H09,BPH3478,1,M2
B02,BPH3483,1,M2
G03,BPH3483,3,M2
H03,BPH3483,2,M2
E08,BPH3504,2,M2
F08,BPH3504,3,M2
G08,BPH3504,1,M2
A07,BPH3506,2,M2
E11,BPH3506,1,M2
H04,BPH3506,3,M2
D09,BPH3515,3,M2
E09,BPH3515,2,M2
F09,BPH3515,1,M2
A11,BPH3521,3,M2
C01,BPH3521,2,M2
H06,BPH3521,1,M2
D04,BPH3525,3,M2
D10,BPH3525,1,M2
E04,BPH3525,2,M2
C07,BPH3533,1,M2
G10,BPH3533,2,M2
H05,BPH3533,3,M2
C02,BPH3541,1,M2
G04,BPH3541,2,M2
H02,BPH3541,3,M2
B08,BPH3549,3,M2
D05,BPH3549,2,M2
G07,BPH3549,1,M2
A04,BPH3560,1,M2
B09,BPH3560,2,M2
E10,BPH3560,3,M2
A02,BPH3563,3,M2
B04,BPH3563,1,M2
B12,BPH3563,2,M2
B11,BPH3572,3,M2
C05,BPH3572,1,M2
G01,BPH3572,2,M2
A06,BPH3594,1,M2
B07,BPH3594,2,M2
D08,BPH3594,3,M2
F03,BPH3617,2,M2
F07,BPH3617,3,M2
G06,BPH3617,1,M2
A10,BPH3627,3,M2
F10,BPH3627,2,M2
G09,BPH3627,1,M2
A12,BPH3644,3,M2
D11,BPH3644,1,M2
H08,BPH3644,2,M2
C08,BPH3646,1,M2
C09,BPH3646,2,M2
G12,BPH3646,3,M2
A09,BPH3676,2,M2
C11,BPH3676,1,M2
D03,BPH3676,3,M2
E03,BPH3680,2,M2
E12,BPH3680,3,M2
F02,BPH3680,1,M2
C06,BPH3681,3,M2
E02,BPH3681,2,M2
E06,BPH3681,1,M2
A01,BPH3690,2,M2
C03,BPH3690,3,M2
F04,BPH3690,1,M2
B10,BPH3698,1,M2
D02,BPH3698,2,M2
D12,BPH3698,3,M2
B01,BPH3708,2,M2
B03,BPH3708,1,M2
C04,BPH3708,3,M2
B05,BPH3712,3,M2
F01,BPH3712,1,M2
G02,BPH3712,2,M2
F05,BPH3723,2,M2
F06,BPH3723,1,M2
G05,BPH3723,3,M2
A08,BPH3725,1,M2
D01,BPH3725,3,M2
F12,BPH3725,2,M2
H10,Complete lysis,1,M2
H11,Complete lysis,2,M2
H12,Complete lysis,3,M2
A05,JE2,3,M2
E07,JE2,1,M2
H01,JE2,2,M2
B06,Non infected,3,M2
D06,Non infected,2,M2
E05,Non infected,1,M2
C12,TOX-4,2,M2
E01,TOX-4,1,M2
F11,TOX-4,3,M2
