time,OD,well,OD_blank_normalised,experiment,plate
0,0.322,H10,FALSE,190831,2
15,0.323,H10,FALSE,190831,2
30,0.329,H10,FALSE,190831,2
45,0.33,H10,FALSE,190831,2
60,0.33,H10,FALSE,190831,2
75,0.327,H10,FALSE,190831,2
90,0.328,H10,FALSE,190831,2
105,0.327,H10,FALSE,190831,2
120,0.327,H10,FALSE,190831,2
135,0.328,H10,FALSE,190831,2
150,0.329,H10,FALSE,190831,2
165,0.33,H10,FALSE,190831,2
180,0.33,H10,FALSE,190831,2
195,0.328,H10,FALSE,190831,2
210,0.329,H10,FALSE,190831,2
225,0.325,H10,FALSE,190831,2
240,0.313,H10,FALSE,190831,2
255,0.326,H10,FALSE,190831,2
270,0.325,H10,FALSE,190831,2
285,0.325,H10,FALSE,190831,2
300,0.325,H10,FALSE,190831,2
315,0.326,H10,FALSE,190831,2
330,0.325,H10,FALSE,190831,2
345,0.332,H10,FALSE,190831,2
360,0.324,H10,FALSE,190831,2
375,0.324,H10,FALSE,190831,2
390,0.324,H10,FALSE,190831,2
405,0.325,H10,FALSE,190831,2
420,0.326,H10,FALSE,190831,2
435,0.324,H10,FALSE,190831,2
450,0.326,H10,FALSE,190831,2
465,0.322,H10,FALSE,190831,2
480,0.325,H10,FALSE,190831,2
495,0.322,H10,FALSE,190831,2
510,0.323,H10,FALSE,190831,2
525,0.323,H10,FALSE,190831,2
540,0.323,H10,FALSE,190831,2
555,0.323,H10,FALSE,190831,2
570,0.321,H10,FALSE,190831,2
585,0.321,H10,FALSE,190831,2
600,0.321,H10,FALSE,190831,2
615,0.323,H10,FALSE,190831,2
630,0.322,H10,FALSE,190831,2
645,0.322,H10,FALSE,190831,2
660,0.324,H10,FALSE,190831,2
675,0.322,H10,FALSE,190831,2
690,0.322,H10,FALSE,190831,2
705,0.322,H10,FALSE,190831,2
720,0.322,H10,FALSE,190831,2
735,0.322,H10,FALSE,190831,2
750,0.321,H10,FALSE,190831,2
765,0.32,H10,FALSE,190831,2
780,0.321,H10,FALSE,190831,2
795,0.323,H10,FALSE,190831,2
810,0.321,H10,FALSE,190831,2
825,0.322,H10,FALSE,190831,2
840,0.321,H10,FALSE,190831,2
855,0.321,H10,FALSE,190831,2
870,0.325,H10,FALSE,190831,2
885,0.321,H10,FALSE,190831,2
900,0.319,H10,FALSE,190831,2
915,0.32,H10,FALSE,190831,2
930,0.321,H10,FALSE,190831,2
945,0.324,H10,FALSE,190831,2
960,0.319,H10,FALSE,190831,2
0,0.321,H11,FALSE,190831,2
15,0.32,H11,FALSE,190831,2
30,0.325,H11,FALSE,190831,2
45,0.321,H11,FALSE,190831,2
60,0.322,H11,FALSE,190831,2
75,0.319,H11,FALSE,190831,2
90,0.319,H11,FALSE,190831,2
105,0.323,H11,FALSE,190831,2
120,0.321,H11,FALSE,190831,2
135,0.322,H11,FALSE,190831,2
150,0.321,H11,FALSE,190831,2
165,0.323,H11,FALSE,190831,2
180,0.321,H11,FALSE,190831,2
195,0.322,H11,FALSE,190831,2
210,0.322,H11,FALSE,190831,2
225,0.321,H11,FALSE,190831,2
240,0.308,H11,FALSE,190831,2
255,0.321,H11,FALSE,190831,2
270,0.318,H11,FALSE,190831,2
285,0.319,H11,FALSE,190831,2
300,0.316,H11,FALSE,190831,2
315,0.314,H11,FALSE,190831,2
330,0.316,H11,FALSE,190831,2
345,0.333,H11,FALSE,190831,2
360,0.314,H11,FALSE,190831,2
375,0.318,H11,FALSE,190831,2
390,0.313,H11,FALSE,190831,2
405,0.32,H11,FALSE,190831,2
420,0.318,H11,FALSE,190831,2
435,0.318,H11,FALSE,190831,2
450,0.32,H11,FALSE,190831,2
465,0.317,H11,FALSE,190831,2
480,0.318,H11,FALSE,190831,2
495,0.316,H11,FALSE,190831,2
510,0.315,H11,FALSE,190831,2
525,0.314,H11,FALSE,190831,2
540,0.312,H11,FALSE,190831,2
555,0.316,H11,FALSE,190831,2
570,0.314,H11,FALSE,190831,2
585,0.317,H11,FALSE,190831,2
600,0.314,H11,FALSE,190831,2
615,0.319,H11,FALSE,190831,2
630,0.313,H11,FALSE,190831,2
645,0.317,H11,FALSE,190831,2
660,0.316,H11,FALSE,190831,2
675,0.318,H11,FALSE,190831,2
690,0.316,H11,FALSE,190831,2
705,0.314,H11,FALSE,190831,2
720,0.317,H11,FALSE,190831,2
735,0.317,H11,FALSE,190831,2
750,0.313,H11,FALSE,190831,2
765,0.32,H11,FALSE,190831,2
780,0.318,H11,FALSE,190831,2
795,0.316,H11,FALSE,190831,2
810,0.316,H11,FALSE,190831,2
825,0.316,H11,FALSE,190831,2
840,0.314,H11,FALSE,190831,2
855,0.315,H11,FALSE,190831,2
870,0.32,H11,FALSE,190831,2
885,0.312,H11,FALSE,190831,2
900,0.315,H11,FALSE,190831,2
915,0.312,H11,FALSE,190831,2
930,0.312,H11,FALSE,190831,2
945,0.315,H11,FALSE,190831,2
960,0.312,H11,FALSE,190831,2
0,0.324,H12,FALSE,190831,2
15,0.319,H12,FALSE,190831,2
30,0.337,H12,FALSE,190831,2
45,0.334,H12,FALSE,190831,2
60,0.338,H12,FALSE,190831,2
75,0.335,H12,FALSE,190831,2
90,0.332,H12,FALSE,190831,2
105,0.338,H12,FALSE,190831,2
120,0.335,H12,FALSE,190831,2
135,0.336,H12,FALSE,190831,2
150,0.337,H12,FALSE,190831,2
165,0.334,H12,FALSE,190831,2
180,0.332,H12,FALSE,190831,2
195,0.335,H12,FALSE,190831,2
210,0.335,H12,FALSE,190831,2
225,0.331,H12,FALSE,190831,2
240,0.32,H12,FALSE,190831,2
255,0.329,H12,FALSE,190831,2
270,0.328,H12,FALSE,190831,2
285,0.327,H12,FALSE,190831,2
300,0.327,H12,FALSE,190831,2
315,0.327,H12,FALSE,190831,2
330,0.327,H12,FALSE,190831,2
345,0.348,H12,FALSE,190831,2
360,0.326,H12,FALSE,190831,2
375,0.329,H12,FALSE,190831,2
390,0.33,H12,FALSE,190831,2
405,0.328,H12,FALSE,190831,2
420,0.328,H12,FALSE,190831,2
435,0.33,H12,FALSE,190831,2
450,0.331,H12,FALSE,190831,2
465,0.323,H12,FALSE,190831,2
480,0.324,H12,FALSE,190831,2
495,0.321,H12,FALSE,190831,2
510,0.323,H12,FALSE,190831,2
525,0.323,H12,FALSE,190831,2
540,0.323,H12,FALSE,190831,2
555,0.322,H12,FALSE,190831,2
570,0.319,H12,FALSE,190831,2
585,0.321,H12,FALSE,190831,2
600,0.322,H12,FALSE,190831,2
615,0.323,H12,FALSE,190831,2
630,0.318,H12,FALSE,190831,2
645,0.319,H12,FALSE,190831,2
660,0.318,H12,FALSE,190831,2
675,0.317,H12,FALSE,190831,2
690,0.316,H12,FALSE,190831,2
705,0.32,H12,FALSE,190831,2
720,0.318,H12,FALSE,190831,2
735,0.317,H12,FALSE,190831,2
750,0.315,H12,FALSE,190831,2
765,0.315,H12,FALSE,190831,2
780,0.312,H12,FALSE,190831,2
795,0.314,H12,FALSE,190831,2
810,0.312,H12,FALSE,190831,2
825,0.313,H12,FALSE,190831,2
840,0.311,H12,FALSE,190831,2
855,0.312,H12,FALSE,190831,2
870,0.32,H12,FALSE,190831,2
885,0.313,H12,FALSE,190831,2
900,0.311,H12,FALSE,190831,2
915,0.31,H12,FALSE,190831,2
930,0.311,H12,FALSE,190831,2
945,0.315,H12,FALSE,190831,2
960,0.309,H12,FALSE,190831,2
0,0.358,A01,FALSE,190831,2
15,0.361,A01,FALSE,190831,2
30,0.361,A01,FALSE,190831,2
45,0.357,A01,FALSE,190831,2
60,0.369,A01,FALSE,190831,2
75,0.36,A01,FALSE,190831,2
90,0.364,A01,FALSE,190831,2
105,0.367,A01,FALSE,190831,2
120,0.363,A01,FALSE,190831,2
135,0.358,A01,FALSE,190831,2
150,0.365,A01,FALSE,190831,2
165,0.362,A01,FALSE,190831,2
180,0.369,A01,FALSE,190831,2
195,0.378,A01,FALSE,190831,2
210,0.398,A01,FALSE,190831,2
225,0.426,A01,FALSE,190831,2
240,0.505,A01,FALSE,190831,2
255,0.552,A01,FALSE,190831,2
270,0.652,A01,FALSE,190831,2
285,0.812,A01,FALSE,190831,2
300,0.996,A01,FALSE,190831,2
315,1.311,A01,FALSE,190831,2
330,1.696,A01,FALSE,190831,2
345,1.942,A01,FALSE,190831,2
360,2.55,A01,FALSE,190831,2
375,3.062,A01,FALSE,190831,2
390,3.349,A01,FALSE,190831,2
405,3.644,A01,FALSE,190831,2
420,3.788,A01,FALSE,190831,2
435,3.937,A01,FALSE,190831,2
450,4.128,A01,FALSE,190831,2
465,4.221,A01,FALSE,190831,2
480,4.35,A01,FALSE,190831,2
495,4.458,A01,FALSE,190831,2
510,4.562,A01,FALSE,190831,2
525,4.651,A01,FALSE,190831,2
540,4.745,A01,FALSE,190831,2
555,4.73,A01,FALSE,190831,2
570,4.769,A01,FALSE,190831,2
585,4.807,A01,FALSE,190831,2
600,4.812,A01,FALSE,190831,2
615,4.954,A01,FALSE,190831,2
630,4.914,A01,FALSE,190831,2
645,4.913,A01,FALSE,190831,2
660,4.851,A01,FALSE,190831,2
675,4.894,A01,FALSE,190831,2
690,4.852,A01,FALSE,190831,2
705,4.814,A01,FALSE,190831,2
720,4.806,A01,FALSE,190831,2
735,4.771,A01,FALSE,190831,2
750,4.769,A01,FALSE,190831,2
765,4.751,A01,FALSE,190831,2
780,4.657,A01,FALSE,190831,2
795,4.644,A01,FALSE,190831,2
810,4.679,A01,FALSE,190831,2
825,4.587,A01,FALSE,190831,2
840,4.546,A01,FALSE,190831,2
855,4.517,A01,FALSE,190831,2
870,4.426,A01,FALSE,190831,2
