inoculum_OD,well,inoculum_OD_blank_normalised,experiment,plate,sample_id,replicate
NA,H10,TRUE,exp190831,2,Complete lysis,1
NA,H11,TRUE,exp190831,2,Complete lysis,2
NA,H12,TRUE,exp190831,2,Complete lysis,3
0.528,A01,TRUE,exp190831,2,BPH2750,2
0.795,A02,TRUE,exp190831,2,BPH2740,3
0.71,A03,TRUE,exp190831,2,BPH2728,1
0.786,A04,TRUE,exp190831,2,BPH2739,1
0.001,A05,TRUE,exp190831,2,Non infected,3
0.55,A06,TRUE,exp190831,2,BPH2742,1
0.636,A07,TRUE,exp190831,2,BPH2732,2
0.533,A08,TRUE,exp190831,2,BPH2755,1
0.651,A09,TRUE,exp190831,2,BPH2747,2
0.59,A10,TRUE,exp190831,2,BPH2744,3
0.416,A11,TRUE,exp190831,2,BPH2734,3
0.602,A12,TRUE,exp190831,2,BPH2745,3
0.577,B01,TRUE,exp190831,2,BPH2752,2
0.569,B02,TRUE,exp190831,2,BPH2730,1
0.497,B03,TRUE,exp190831,2,BPH2752,1
0.537,B04,TRUE,exp190831,2,BPH2740,1
0.592,B05,TRUE,exp190831,2,BPH2753,3
0.494,B06,TRUE,exp190831,2,TOX-4,3
0.521,B07,TRUE,exp190831,2,BPH2742,2
0.543,B08,TRUE,exp190831,2,BPH2738,3
0.644,B09,TRUE,exp190831,2,BPH2739,2
0.451,B10,TRUE,exp190831,2,BPH2751,1
0.366,B11,TRUE,exp190831,2,BPH2741,3
0.665,B12,TRUE,exp190831,2,BPH2740,2
0.389,C01,TRUE,exp190831,2,BPH2734,2
0.712,C02,TRUE,exp190831,2,BPH2737,1
0.379,C03,TRUE,exp190831,2,BPH2750,3
0.435,C04,TRUE,exp190831,2,BPH2752,3
0.358,C05,TRUE,exp190831,2,BPH2741,1
0.427,C06,TRUE,exp190831,2,BPH2749,3
0.399,C07,TRUE,exp190831,2,BPH2736,1
0.463,C08,TRUE,exp190831,2,BPH2746,1
0.472,C09,TRUE,exp190831,2,BPH2746,2
0.381,C10,TRUE,exp190831,2,BPH2729,3
0.454,C11,TRUE,exp190831,2,BPH2747,1
0.513,C12,TRUE,exp190831,2,JE2,2
0.525,D01,TRUE,exp190831,2,BPH2755,3
0.419,D02,TRUE,exp190831,2,BPH2751,2
0.504,D03,TRUE,exp190831,2,BPH2747,3
