well,sample,wave_length,time,OD,timepoint
A01,Sample X1,WL493,0,37240,0
A02,Sample X2,WL493,0,36764,0
A03,Sample X3,WL493,0,37015,0
A04,Sample X4,WL493,0,36446,0
A05,Sample X5,WL493,0,37326,0
A06,Sample X6,WL493,0,36336,0
A07,Sample X7,WL493,0,36299,0
A08,Sample X8,WL493,0,36833,0
A09,Sample X9,WL493,0,36706,0
A10,Sample X10,WL493,0,36695,0
A11,Sample X11,WL493,0,36662,0
A12,Sample X12,WL493,0,35938,0
B01,Sample X13,WL493,0,36786,0
B02,Sample X14,WL493,0,36796,0
B03,Sample X15,WL493,0,36706,0
B04,Sample X16,WL493,0,36500,0
B05,Sample X17,WL493,0,36649,0
B06,Sample X18,WL493,0,37018,0
B07,Sample X19,WL493,0,35979,0
B08,Sample X20,WL493,0,36248,0
B09,Sample X21,WL493,0,36705,0
B10,Sample X22,WL493,0,36382,0
B11,Sample X23,WL493,0,35808,0
B12,Sample X24,WL493,0,36520,0
C01,Sample X25,WL493,0,36688,0
C02,Sample X26,WL493,0,36532,0
C03,Sample X27,WL493,0,36224,0
C04,Sample X28,WL493,0,36303,0
C05,Sample X29,WL493,0,36275,0
C06,Sample X30,WL493,0,35936,0
C07,Sample X31,WL493,0,35991,0
C08,Sample X32,WL493,0,36341,0
C09,Sample X33,WL493,0,36054,0
C10,Sample X34,WL493,0,36284,0
C11,Sample X35,WL493,0,36391,0
C12,Sample X36,WL493,0,36474,0
D01,Sample X37,WL493,0,36522,0
D02,Sample X38,WL493,0,36603,0
D03,Sample X39,WL493,0,37076,0
D04,Sample X40,WL493,0,36591,0
D05,Sample X41,WL493,0,36083,0
D06,Sample X42,WL493,0,35617,0
D07,Sample X43,WL493,0,36500,0
D08,Sample X44,WL493,0,36044,0
D09,Sample X45,WL493,0,36252,0
D10,Sample X46,WL493,0,36086,0
D11,Sample X47,WL493,0,36520,0
D12,Sample X48,WL493,0,36147,0
E01,Sample X49,WL493,0,36797,0
E02,Sample X50,WL493,0,36046,0
E03,Sample X51,WL493,0,36137,0
E04,Sample X52,WL493,0,36022,0
E05,Sample X53,WL493,0,36316,0
E06,Sample X54,WL493,0,35699,0
E07,Sample X55,WL493,0,36291,0
E08,Sample X56,WL493,0,35807,0
E09,Sample X57,WL493,0,36125,0
E10,Sample X58,WL493,0,36258,0
E11,Sample X59,WL493,0,36539,0
E12,Sample X60,WL493,0,36717,0
F01,Sample X61,WL493,0,36139,0
F02,Sample X62,WL493,0,36783,0
F03,Sample X63,WL493,0,36375,0
F04,Sample X64,WL493,0,35681,0
F05,Sample X65,WL493,0,36134,0
F06,Sample X66,WL493,0,35412,0
F07,Sample X67,WL493,0,35901,0
F08,Sample X68,WL493,0,36364,0
F09,Sample X69,WL493,0,36138,0
F10,Sample X70,WL493,0,35978,0
F11,Sample X71,WL493,0,36089,0
F12,Sample X72,WL493,0,36661,0
G01,Sample X73,WL493,0,36556,0
G02,Sample X74,WL493,0,36460,0
G03,Sample X75,WL493,0,36125,0
G04,Sample X76,WL493,0,36121,0
G05,Sample X77,WL493,0,35850,0
G06,Sample X78,WL493,0,36266,0
G07,Sample X79,WL493,0,36213,0
G08,Sample X80,WL493,0,35818,0
G09,Sample X81,WL493,0,35994,0
G10,Sample X82,WL493,0,36077,0
G11,Sample X83,WL493,0,36339,0
G12,Sample X84,WL493,0,35926,0
H01,Sample X85,WL493,0,36365,0
H02,Sample X86,WL493,0,36152,0
H03,Sample X87,WL493,0,35777,0
H04,Sample X88,WL493,0,35941,0
H05,Sample X89,WL493,0,35936,0
H06,Sample X90,WL493,0,35757,0
H07,Sample X91,WL493,0,35935,0
H08,Sample X92,WL493,0,36993,0
H09,Sample X93,WL493,0,36174,0
H10,Sample X94,WL493,0,35763,0
H11,Sample X95,WL493,0,35643,0
H12,Sample X96,WL493,0,36010,0
A01,Sample X1,WL493,6,37068,6
A02,Sample X2,WL493,6,37030,6
A03,Sample X3,WL493,6,36861,6
A04,Sample X4,WL493,6,36013,6
A05,Sample X5,WL493,6,36848,6
A06,Sample X6,WL493,6,35661,6
A07,Sample X7,WL493,6,36253,6
A08,Sample X8,WL493,6,35950,6
A09,Sample X9,WL493,6,36518,6
A10,Sample X10,WL493,6,36343,6
A11,Sample X11,WL493,6,35834,6
A12,Sample X12,WL493,6,36185,6
B01,Sample X13,WL493,6,36159,6
B02,Sample X14,WL493,6,36435,6
B03,Sample X15,WL493,6,36001,6
B04,Sample X16,WL493,6,36435,6
B05,Sample X17,WL493,6,36320,6
B06,Sample X18,WL493,6,36332,6
B07,Sample X19,WL493,6,35637,6
B08,Sample X20,WL493,6,36348,6
B09,Sample X21,WL493,6,36735,6
B10,Sample X22,WL493,6,36046,6
B11,Sample X23,WL493,6,35303,6
B12,Sample X24,WL493,6,36478,6
C01,Sample X25,WL493,6,35909,6
C02,Sample X26,WL493,6,36519,6
C03,Sample X27,WL493,6,36316,6
C04,Sample X28,WL493,6,35781,6
C05,Sample X29,WL493,6,36180,6
C06,Sample X30,WL493,6,35639,6
C07,Sample X31,WL493,6,36140,6
C08,Sample X32,WL493,6,35770,6
C09,Sample X33,WL493,6,36001,6
C10,Sample X34,WL493,6,35946,6
C11,Sample X35,WL493,6,35935,6
C12,Sample X36,WL493,6,36333,6
D01,Sample X37,WL493,6,36409,6
D02,Sample X38,WL493,6,36190,6
D03,Sample X39,WL493,6,35983,6
D04,Sample X40,WL493,6,36076,6
D05,Sample X41,WL493,6,36229,6
D06,Sample X42,WL493,6,35667,6
D07,Sample X43,WL493,6,35490,6
D08,Sample X44,WL493,6,35802,6
D09,Sample X45,WL493,6,35751,6
D10,Sample X46,WL493,6,35904,6
D11,Sample X47,WL493,6,35837,6
D12,Sample X48,WL493,6,36029,6
E01,Sample X49,WL493,6,36181,6
E02,Sample X50,WL493,6,35976,6
E03,Sample X51,WL493,6,35423,6
E04,Sample X52,WL493,6,36145,6
E05,Sample X53,WL493,6,35885,6
E06,Sample X54,WL493,6,35497,6
E07,Sample X55,WL493,6,36280,6
E08,Sample X56,WL493,6,36210,6
E09,Sample X57,WL493,6,35526,6
E10,Sample X58,WL493,6,36407,6
E11,Sample X59,WL493,6,35865,6
E12,Sample X60,WL493,6,36114,6
F01,Sample X61,WL493,6,36333,6
F02,Sample X62,WL493,6,35945,6
F03,Sample X63,WL493,6,35971,6
F04,Sample X64,WL493,6,35909,6
F05,Sample X65,WL493,6,35925,6
F06,Sample X66,WL493,6,35366,6
F07,Sample X67,WL493,6,35574,6
F08,Sample X68,WL493,6,36150,6
F09,Sample X69,WL493,6,35803,6
F10,Sample X70,WL493,6,36395,6
F11,Sample X71,WL493,6,35999,6
F12,Sample X72,WL493,6,35929,6
G01,Sample X73,WL493,6,36537,6
G02,Sample X74,WL493,6,35683,6
G03,Sample X75,WL493,6,35487,6
G04,Sample X76,WL493,6,35685,6
G05,Sample X77,WL493,6,35171,6
G06,Sample X78,WL493,6,36046,6
G07,Sample X79,WL493,6,36377,6
G08,Sample X80,WL493,6,35829,6
G09,Sample X81,WL493,6,35656,6
