sample_id,mean_pct_death,sd_pct_death,mean_max_tox,sd_max_tox,mean_max_tox_rate,sd_max_tox_rate,mean_AUC,sd_AUC,mean_f_signal_endpoint_535,sd_f_signal_endpoint_535,mean_LDH,sd_LDH,exp
BPH2728,0.4438590942336964,0.010986294182292683,27929.850561594056,551.9091695884102,10.105585542059867,2.2860879263991447,35492562.14384344,900191.5402624452,32862.333333333336,1580.0178269036503,1.2196666666666667,0.09036223399923958,exp190831
BPH2729,0.10391009547907566,0.011719149450289472,19274.309647541286,226.57297071611637,4.593116612902253,0.5571924595458924,24585858.344404235,231144.98614097835,22943,577.9679921933393,0.22233333333333333,0.02829016319029167,exp190831
BPH2730,0.45132148575721037,0.020396195013699846,28226.29125537097,606.786884518209,8.35502593595066,0.6079427926360464,36163402.052807726,788824.4017630087,31867.666666666668,851.5922341903625,1.3403333333333334,0.04037738641038239,exp190831
BPH2731,0.12047561626504834,0.004488809931345094,19868.709952707704,124.80685609828585,4.123750381330665,0.12046850616590034,25428273.166603558,164630.45079744456,23463,233.77767215882702,0.183,0.0036055512754639926,exp190831
BPH2732,0.47576452448257456,0.025527967066362945,30472.334049165693,714.3509241859483,6.867226305980875,0.7046641594800994,39018153.03836199,876296.9120724851,34135.333333333336,1947.2021809081186,1.483,0.1172220115848556,exp190831
BPH2733,0.4840571688378438,0.013637300027031526,30487.999485576802,471.46811292836117,6.451445570259354,0.3419130164234473,39012689.768775634,672079.9987047389,33910.666666666664,771.2718932603036,1.4,0.03104834939251996,exp190831
BPH2734,0.08977602941467176,0.018317003596798925,19121.035930457805,601.7567364240502,2.9359514685850514,0.3188489565372446,24624062.695589054,755574.4497458345,22561,1922.0832448153749,0.03633333333333333,0.024006943440041117,exp190831
BPH2735,0.21825765512878806,0.008961805552897538,22066.81443396144,190.83614906996837,8.568501488882372,1.2954288845767514,27782546.855671875,98304.6247257684,27016.333333333332,939.1189133082846,0.356,0.02783882181415011,exp190831
BPH2736,0.17788166920355034,0.004600918089034647,21815.61196415742,221.720551665774,3.730743394620529,0.5638158245209715,28085677.78392293,344473.32624120574,24926.666666666668,440.5273355120353,0.5666666666666667,0.06429878174066234,exp190831
BPH2737,0.08668234922015537,0.018388768501685505,19280.187829566115,490.1143314182339,2.592073897277845,0.3775991408021323,24876195.4067188,680630.3468403405,22208.333333333332,950.6767764773332,0.010666666666666666,0.029160475533388224,exp190831
BPH2738,0.06857493031806591,0.007359424687312316,18548.873780863716,178.81034625767788,2.4621164066366488,0.40734364113566474,23941068.49229109,151363.04858961338,21600.666666666668,837.7734379492664,0.001333333333333334,0.026159765544311233,exp190831
BPH2739,0.0834799454405282,0.029610142201020373,19056.262717389483,868.0475027542752,3.2482465627156327,0.9827018643068043,24479938.50106531,1001456.9232105771,22601.333333333332,1497.3577840093305,0.046,0.03857460304397182,exp190831
BPH2740,0.2384407061102655,0.044293610364408625,23561.57584513529,1099.8563888032156,10.315455721783879,2.43278636638314,29401431.91981279,1168409.726326024,30827.333333333332,2521.18470829357,0.4073333333333333,0.10350040257570661,exp190831
