well,sample.x,wave_length,time,f_signal,timepoint,well_row,well_col,sample.y,f_signal_endpoint_493,f_signal_endpoint_535,total_cell_death,zero_cell_death,pct_death,sample_id,replicate,plate_number,exp
A01,Sample X1,WL535,1230,25370,1230,A,01,Sample X1,29977,26804,33260,21304,0.3400802944128471,BPH2750,2,2,exp190909
A01,Sample X1,WL535,486,24298,486,A,01,Sample X1,29977,26804,33260,21304,0.250418200066912,BPH2750,2,2,exp190909
A01,Sample X1,WL535,114,23583,114,A,01,Sample X1,29977,26804,33260,21304,0.19061559049849447,BPH2750,2,2,exp190909
A01,Sample X1,WL535,228,24728,228,A,01,Sample X1,29977,26804,33260,21304,0.2863834058213449,BPH2750,2,2,exp190909
A01,Sample X1,WL535,600,24757,600,A,01,Sample X1,29977,26804,33260,21304,0.2888089662094346,BPH2750,2,2,exp190909
A01,Sample X1,WL535,342,24560,342,A,01,Sample X1,29977,26804,33260,21304,0.2723318835731014,BPH2750,2,2,exp190909
A01,Sample X1,WL535,828,25125,828,A,01,Sample X1,29977,26804,33260,21304,0.3195884911341586,BPH2750,2,2,exp190909
A01,Sample X1,WL535,456,24532,456,A,01,Sample X1,29977,26804,33260,21304,0.26998996319839413,BPH2750,2,2,exp190909
A01,Sample X1,WL535,84,23113,84,A,01,Sample X1,29977,26804,33260,21304,0.15130478420876547,BPH2750,2,2,exp190909
A01,Sample X1,WL535,570,24796,570,A,01,Sample X1,29977,26804,33260,21304,0.29207092673134827,BPH2750,2,2,exp190909
A01,Sample X1,WL535,684,24886,684,A,01,Sample X1,29977,26804,33260,21304,0.29959852793576447,BPH2750,2,2,exp190909
A01,Sample X1,WL535,198,24187,198,A,01,Sample X1,29977,26804,33260,21304,0.24113415858146536,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1170,25269,1170,A,01,Sample X1,29977,26804,33260,21304,0.33163265306122447,BPH2750,2,2,exp190909
A01,Sample X1,WL535,798,24972,798,A,01,Sample X1,29977,26804,33260,21304,0.30679156908665106,BPH2750,2,2,exp190909
A01,Sample X1,WL535,912,25260,912,A,01,Sample X1,29977,26804,33260,21304,0.33087989294078285,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1026,25337,1026,A,01,Sample X1,29977,26804,33260,21304,0.3373201739712278,BPH2750,2,2,exp190909
A01,Sample X1,WL535,168,24338,168,A,01,Sample X1,29977,26804,33260,21304,0.2537638006022081,BPH2750,2,2,exp190909
A01,Sample X1,WL535,282,24636,282,A,01,Sample X1,29977,26804,33260,21304,0.2786885245901639,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1140,25425,1140,A,01,Sample X1,29977,26804,33260,21304,0.3446804951488792,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1254,25097,1254,A,01,Sample X1,29977,26804,33260,21304,0.31724657075945134,BPH2750,2,2,exp190909
A01,Sample X1,WL535,138,23900,138,A,01,Sample X1,29977,26804,33260,21304,0.21712947474071595,BPH2750,2,2,exp190909
A01,Sample X1,WL535,624,25068,624,A,01,Sample X1,29977,26804,33260,21304,0.3148210103713617,BPH2750,2,2,exp190909
A01,Sample X1,WL535,252,24091,252,A,01,Sample X1,29977,26804,33260,21304,0.23310471729675478,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1110,24966,1110,A,01,Sample X1,29977,26804,33260,21304,0.30628972900635665,BPH2750,2,2,exp190909
A01,Sample X1,WL535,366,24652,366,A,01,Sample X1,29977,26804,33260,21304,0.28002676480428235,BPH2750,2,2,exp190909
A01,Sample X1,WL535,480,24394,480,A,01,Sample X1,29977,26804,33260,21304,0.2584476413516226,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1224,24873,1224,A,01,Sample X1,29977,26804,33260,21304,0.29851120776179324,BPH2750,2,2,exp190909
A01,Sample X1,WL535,966,25182,966,A,01,Sample X1,29977,26804,33260,21304,0.32435597189695553,BPH2750,2,2,exp190909
A01,Sample X1,WL535,594,24749,594,A,01,Sample X1,29977,26804,33260,21304,0.28813984610237536,BPH2750,2,2,exp190909
A01,Sample X1,WL535,708,24625,708,A,01,Sample X1,29977,26804,33260,21304,0.2777684844429575,BPH2750,2,2,exp190909
A01,Sample X1,WL535,822,24992,822,A,01,Sample X1,29977,26804,33260,21304,0.3084643693542991,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1194,25454,1194,A,01,Sample X1,29977,26804,33260,21304,0.3471060555369689,BPH2750,2,2,exp190909
A01,Sample X1,WL535,78,23390,78,A,01,Sample X1,29977,26804,33260,21304,0.17447306791569087,BPH2750,2,2,exp190909
A01,Sample X1,WL535,936,25362,936,A,01,Sample X1,29977,26804,33260,21304,0.3394111743057879,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1050,25547,1050,A,01,Sample X1,29977,26804,33260,21304,0.3548845767815323,BPH2750,2,2,exp190909
A01,Sample X1,WL535,192,24141,192,A,01,Sample X1,29977,26804,33260,21304,0.2372867179658749,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1164,25202,1164,A,01,Sample X1,29977,26804,33260,21304,0.3260287721646035,BPH2750,2,2,exp190909
A01,Sample X1,WL535,420,24122,420,A,01,Sample X1,29977,26804,33260,21304,0.23569755771160925,BPH2750,2,2,exp190909
A01,Sample X1,WL535,906,24980,906,A,01,Sample X1,29977,26804,33260,21304,0.3074606891937103,BPH2750,2,2,exp190909
