well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id
A01,18101,0,A,01,exp190923,20000,3,exp190923_3_A01
A02,18722,0,A,02,exp190923,20000,3,exp190923_3_A02
A03,19282,0,A,03,exp190923,20000,3,exp190923_3_A03
A04,19248,0,A,04,exp190923,20000,3,exp190923_3_A04
A05,17418,0,A,05,exp190923,20000,3,exp190923_3_A05
A06,19365,0,A,06,exp190923,20000,3,exp190923_3_A06
A07,18733,0,A,07,exp190923,20000,3,exp190923_3_A07
A08,19039,0,A,08,exp190923,20000,3,exp190923_3_A08
A09,19279,0,A,09,exp190923,20000,3,exp190923_3_A09
A10,18530,0,A,10,exp190923,20000,3,exp190923_3_A10
A11,19106,0,A,11,exp190923,20000,3,exp190923_3_A11
A12,20882,0,A,12,exp190923,20000,3,exp190923_3_A12
B01,19298,0,B,01,exp190923,20000,3,exp190923_3_B01
B02,20431,0,B,02,exp190923,20000,3,exp190923_3_B02
B03,18745,0,B,03,exp190923,20000,3,exp190923_3_B03
B04,18360,0,B,04,exp190923,20000,3,exp190923_3_B04
B05,19083,0,B,05,exp190923,20000,3,exp190923_3_B05
B06,18082,0,B,06,exp190923,20000,3,exp190923_3_B06
B07,19350,0,B,07,exp190923,20000,3,exp190923_3_B07
B08,18207,0,B,08,exp190923,20000,3,exp190923_3_B08
B09,18977,0,B,09,exp190923,20000,3,exp190923_3_B09
B10,17749,0,B,10,exp190923,20000,3,exp190923_3_B10
B11,19461,0,B,11,exp190923,20000,3,exp190923_3_B11
B12,20490,0,B,12,exp190923,20000,3,exp190923_3_B12
C01,19339,0,C,01,exp190923,20000,3,exp190923_3_C01
C02,19873,0,C,02,exp190923,20000,3,exp190923_3_C02
C03,18430,0,C,03,exp190923,20000,3,exp190923_3_C03
C04,17990,0,C,04,exp190923,20000,3,exp190923_3_C04
C05,18892,0,C,05,exp190923,20000,3,exp190923_3_C05
C06,19307,0,C,06,exp190923,20000,3,exp190923_3_C06
C07,19824,0,C,07,exp190923,20000,3,exp190923_3_C07
C08,18880,0,C,08,exp190923,20000,3,exp190923_3_C08
C09,18678,0,C,09,exp190923,20000,3,exp190923_3_C09
C10,19679,0,C,10,exp190923,20000,3,exp190923_3_C10
C11,18501,0,C,11,exp190923,20000,3,exp190923_3_C11
C12,19450,0,C,12,exp190923,20000,3,exp190923_3_C12
D01,21114,0,D,01,exp190923,20000,3,exp190923_3_D01
D02,18917,0,D,02,exp190923,20000,3,exp190923_3_D02
D03,18626,0,D,03,exp190923,20000,3,exp190923_3_D03
D04,18474,0,D,04,exp190923,20000,3,exp190923_3_D04
D05,18710,0,D,05,exp190923,20000,3,exp190923_3_D05
D06,18474,0,D,06,exp190923,20000,3,exp190923_3_D06
D07,19130,0,D,07,exp190923,20000,3,exp190923_3_D07
D08,19728,0,D,08,exp190923,20000,3,exp190923_3_D08
D09,19095,0,D,09,exp190923,20000,3,exp190923_3_D09
D10,17494,0,D,10,exp190923,20000,3,exp190923_3_D10
D11,19841,0,D,11,exp190923,20000,3,exp190923_3_D11
D12,18523,0,D,12,exp190923,20000,3,exp190923_3_D12
E01,18915,0,E,01,exp190923,20000,3,exp190923_3_E01
E02,18745,0,E,02,exp190923,20000,3,exp190923_3_E02
E03,18574,0,E,03,exp190923,20000,3,exp190923_3_E03
E04,18378,0,E,04,exp190923,20000,3,exp190923_3_E04
E05,18395,0,E,05,exp190923,20000,3,exp190923_3_E05
E06,18943,0,E,06,exp190923,20000,3,exp190923_3_E06
E07,17140,0,E,07,exp190923,20000,3,exp190923_3_E07
E08,18093,0,E,08,exp190923,20000,3,exp190923_3_E08
E09,19079,0,E,09,exp190923,20000,3,exp190923_3_E09
E10,18054,0,E,10,exp190923,20000,3,exp190923_3_E10
E11,19481,0,E,11,exp190923,20000,3,exp190923_3_E11
E12,19614,0,E,12,exp190923,20000,3,exp190923_3_E12
F01,19600,0,F,01,exp190923,20000,3,exp190923_3_F01
F02,18472,0,F,02,exp190923,20000,3,exp190923_3_F02
F03,19192,0,F,03,exp190923,20000,3,exp190923_3_F03
F04,18333,0,F,04,exp190923,20000,3,exp190923_3_F04
F05,19002,0,F,05,exp190923,20000,3,exp190923_3_F05
F06,18604,0,F,06,exp190923,20000,3,exp190923_3_F06
F07,19665,0,F,07,exp190923,20000,3,exp190923_3_F07
F08,17990,0,F,08,exp190923,20000,3,exp190923_3_F08
F09,19140,0,F,09,exp190923,20000,3,exp190923_3_F09
F10,18931,0,F,10,exp190923,20000,3,exp190923_3_F10
F11,18885,0,F,11,exp190923,20000,3,exp190923_3_F11
F12,19459,0,F,12,exp190923,20000,3,exp190923_3_F12
G01,19551,0,G,01,exp190923,20000,3,exp190923_3_G01
G02,19672,0,G,02,exp190923,20000,3,exp190923_3_G02
G03,18562,0,G,03,exp190923,20000,3,exp190923_3_G03
G04,19147,0,G,04,exp190923,20000,3,exp190923_3_G04
G05,19422,0,G,05,exp190923,20000,3,exp190923_3_G05
G06,19388,0,G,06,exp190923,20000,3,exp190923_3_G06
G07,18685,0,G,07,exp190923,20000,3,exp190923_3_G07
G08,18935,0,G,08,exp190923,20000,3,exp190923_3_G08
G09,18845,0,G,09,exp190923,20000,3,exp190923_3_G09
G10,19007,0,G,10,exp190923,20000,3,exp190923_3_G10
G11,19717,0,G,11,exp190923,20000,3,exp190923_3_G11
G12,19288,0,G,12,exp190923,20000,3,exp190923_3_G12
H01,14107,0,H,01,exp190923,20000,3,exp190923_3_H01
H02,19698,0,H,02,exp190923,20000,3,exp190923_3_H02
H03,19712,0,H,03,exp190923,20000,3,exp190923_3_H03
