well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A,1,0.014,A01,TRUE,exp200320,5,exp200320_5_A01,0,BPH2835,2,VAN-106
A,1,0.001,A01,TRUE,exp200320,5,exp200320_5_A01,10,BPH2835,2,VAN-106
A,1,0.003,A01,TRUE,exp200320,5,exp200320_5_A01,20,BPH2835,2,VAN-106
A,1,-0.005,A01,TRUE,exp200320,5,exp200320_5_A01,30,BPH2835,2,VAN-106
A,1,0.007,A01,TRUE,exp200320,5,exp200320_5_A01,40,BPH2835,2,VAN-106
A,1,-0.002,A01,TRUE,exp200320,5,exp200320_5_A01,50,BPH2835,2,VAN-106
A,1,-0.002,A01,TRUE,exp200320,5,exp200320_5_A01,60,BPH2835,2,VAN-106
A,1,-0.003,A01,TRUE,exp200320,5,exp200320_5_A01,70,BPH2835,2,VAN-106
A,1,0.001,A01,TRUE,exp200320,5,exp200320_5_A01,80,BPH2835,2,VAN-106
A,1,0.004,A01,TRUE,exp200320,5,exp200320_5_A01,90,BPH2835,2,VAN-106
A,1,0.007,A01,TRUE,exp200320,5,exp200320_5_A01,100,BPH2835,2,VAN-106
A,1,0.016,A01,TRUE,exp200320,5,exp200320_5_A01,110,BPH2835,2,VAN-106
A,1,0.017,A01,TRUE,exp200320,5,exp200320_5_A01,120,BPH2835,2,VAN-106
A,1,0.028,A01,TRUE,exp200320,5,exp200320_5_A01,130,BPH2835,2,VAN-106
A,1,0.032,A01,TRUE,exp200320,5,exp200320_5_A01,140,BPH2835,2,VAN-106
A,1,0.052,A01,TRUE,exp200320,5,exp200320_5_A01,150,BPH2835,2,VAN-106
A,1,0.071,A01,TRUE,exp200320,5,exp200320_5_A01,160,BPH2835,2,VAN-106
A,1,0.086,A01,TRUE,exp200320,5,exp200320_5_A01,170,BPH2835,2,VAN-106
A,1,0.116,A01,TRUE,exp200320,5,exp200320_5_A01,180,BPH2835,2,VAN-106
A,1,0.161,A01,TRUE,exp200320,5,exp200320_5_A01,190,BPH2835,2,VAN-106
A,1,0.209,A01,TRUE,exp200320,5,exp200320_5_A01,200,BPH2835,2,VAN-106
A,1,0.289,A01,TRUE,exp200320,5,exp200320_5_A01,210,BPH2835,2,VAN-106
A,1,0.371,A01,TRUE,exp200320,5,exp200320_5_A01,220,BPH2835,2,VAN-106
A,1,0.47,A01,TRUE,exp200320,5,exp200320_5_A01,230,BPH2835,2,VAN-106
A,1,0.67,A01,TRUE,exp200320,5,exp200320_5_A01,240,BPH2835,2,VAN-106
A,1,0.933,A01,TRUE,exp200320,5,exp200320_5_A01,250,BPH2835,2,VAN-106
A,1,1.149,A01,TRUE,exp200320,5,exp200320_5_A01,260,BPH2835,2,VAN-106
A,1,1.428,A01,TRUE,exp200320,5,exp200320_5_A01,270,BPH2835,2,VAN-106
A,1,1.738,A01,TRUE,exp200320,5,exp200320_5_A01,280,BPH2835,2,VAN-106
A,1,2.121,A01,TRUE,exp200320,5,exp200320_5_A01,290,BPH2835,2,VAN-106
A,1,2.457,A01,TRUE,exp200320,5,exp200320_5_A01,300,BPH2835,2,VAN-106
A,1,2.873,A01,TRUE,exp200320,5,exp200320_5_A01,310,BPH2835,2,VAN-106
A,1,3.124,A01,TRUE,exp200320,5,exp200320_5_A01,320,BPH2835,2,VAN-106
A,1,3.361,A01,TRUE,exp200320,5,exp200320_5_A01,330,BPH2835,2,VAN-106
A,1,3.596,A01,TRUE,exp200320,5,exp200320_5_A01,340,BPH2835,2,VAN-106
A,1,3.758,A01,TRUE,exp200320,5,exp200320_5_A01,350,BPH2835,2,VAN-106
A,1,3.871,A01,TRUE,exp200320,5,exp200320_5_A01,360,BPH2835,2,VAN-106
A,1,3.923,A01,TRUE,exp200320,5,exp200320_5_A01,370,BPH2835,2,VAN-106
A,1,4.062,A01,TRUE,exp200320,5,exp200320_5_A01,380,BPH2835,2,VAN-106
A,1,4.165,A01,TRUE,exp200320,5,exp200320_5_A01,390,BPH2835,2,VAN-106
A,1,4.243,A01,TRUE,exp200320,5,exp200320_5_A01,400,BPH2835,2,VAN-106
A,1,4.32,A01,TRUE,exp200320,5,exp200320_5_A01,410,BPH2835,2,VAN-106
A,1,4.434,A01,TRUE,exp200320,5,exp200320_5_A01,420,BPH2835,2,VAN-106
A,1,4.507,A01,TRUE,exp200320,5,exp200320_5_A01,430,BPH2835,2,VAN-106
A,1,4.625,A01,TRUE,exp200320,5,exp200320_5_A01,440,BPH2835,2,VAN-106
A,1,4.692,A01,TRUE,exp200320,5,exp200320_5_A01,450,BPH2835,2,VAN-106
A,1,4.765,A01,TRUE,exp200320,5,exp200320_5_A01,460,BPH2835,2,VAN-106
A,1,4.664,A01,TRUE,exp200320,5,exp200320_5_A01,470,BPH2835,2,VAN-106
A,1,4.869,A01,TRUE,exp200320,5,exp200320_5_A01,480,BPH2835,2,VAN-106
A,1,4.946,A01,TRUE,exp200320,5,exp200320_5_A01,490,BPH2835,2,VAN-106
A,1,4.965,A01,TRUE,exp200320,5,exp200320_5_A01,500,BPH2835,2,VAN-106
A,1,4.991,A01,TRUE,exp200320,5,exp200320_5_A01,510,BPH2835,2,VAN-106
A,1,5.045,A01,TRUE,exp200320,5,exp200320_5_A01,520,BPH2835,2,VAN-106
A,1,5.074,A01,TRUE,exp200320,5,exp200320_5_A01,530,BPH2835,2,VAN-106
A,1,5.078,A01,TRUE,exp200320,5,exp200320_5_A01,540,BPH2835,2,VAN-106
A,1,5.08,A01,TRUE,exp200320,5,exp200320_5_A01,550,BPH2835,2,VAN-106
A,1,4.957,A01,TRUE,exp200320,5,exp200320_5_A01,560,BPH2835,2,VAN-106
A,1,5.08,A01,TRUE,exp200320,5,exp200320_5_A01,570,BPH2835,2,VAN-106
A,1,4.98,A01,TRUE,exp200320,5,exp200320_5_A01,580,BPH2835,2,VAN-106
A,1,4.917,A01,TRUE,exp200320,5,exp200320_5_A01,590,BPH2835,2,VAN-106
A,1,4.758,A01,TRUE,exp200320,5,exp200320_5_A01,600,BPH2835,2,VAN-106
A,1,4.842,A01,TRUE,exp200320,5,exp200320_5_A01,610,BPH2835,2,VAN-106
A,1,4.768,A01,TRUE,exp200320,5,exp200320_5_A01,620,BPH2835,2,VAN-106
A,1,4.671,A01,TRUE,exp200320,5,exp200320_5_A01,630,BPH2835,2,VAN-106
A,1,4.613,A01,TRUE,exp200320,5,exp200320_5_A01,640,BPH2835,2,VAN-106
A,1,4.512,A01,TRUE,exp200320,5,exp200320_5_A01,650,BPH2835,2,VAN-106
A,1,4.429,A01,TRUE,exp200320,5,exp200320_5_A01,660,BPH2835,2,VAN-106
A,1,4.407,A01,TRUE,exp200320,5,exp200320_5_A01,670,BPH2835,2,VAN-106
A,1,4.366,A01,TRUE,exp200320,5,exp200320_5_A01,680,BPH2835,2,VAN-106
A,1,4.324,A01,TRUE,exp200320,5,exp200320_5_A01,690,BPH2835,2,VAN-106
A,1,4.357,A01,TRUE,exp200320,5,exp200320_5_A01,700,BPH2835,2,VAN-106
A,1,4.296,A01,TRUE,exp200320,5,exp200320_5_A01,710,BPH2835,2,VAN-106
A,1,4.209,A01,TRUE,exp200320,5,exp200320_5_A01,720,BPH2835,2,VAN-106
A,1,4.178,A01,TRUE,exp200320,5,exp200320_5_A01,730,BPH2835,2,VAN-106
A,1,4.193,A01,TRUE,exp200320,5,exp200320_5_A01,740,BPH2835,2,VAN-106
A,1,4.194,A01,TRUE,exp200320,5,exp200320_5_A01,750,BPH2835,2,VAN-106
A,1,4.165,A01,TRUE,exp200320,5,exp200320_5_A01,760,BPH2835,2,VAN-106
A,1,4.167,A01,TRUE,exp200320,5,exp200320_5_A01,770,BPH2835,2,VAN-106
A,1,4.146,A01,TRUE,exp200320,5,exp200320_5_A01,780,BPH2835,2,VAN-106
A,1,4.06,A01,TRUE,exp200320,5,exp200320_5_A01,790,BPH2835,2,VAN-106
A,1,4.034,A01,TRUE,exp200320,5,exp200320_5_A01,800,BPH2835,2,VAN-106
A,1,3.966,A01,TRUE,exp200320,5,exp200320_5_A01,810,BPH2835,2,VAN-106
A,1,3.982,A01,TRUE,exp200320,5,exp200320_5_A01,820,BPH2835,2,VAN-106
A,1,3.999,A01,TRUE,exp200320,5,exp200320_5_A01,830,BPH2835,2,VAN-106
A,1,4.004,A01,TRUE,exp200320,5,exp200320_5_A01,840,BPH2835,2,VAN-106
A,1,3.965,A01,TRUE,exp200320,5,exp200320_5_A01,850,BPH2835,2,VAN-106
A,1,3.938,A01,TRUE,exp200320,5,exp200320_5_A01,860,BPH2835,2,VAN-106
A,1,3.946,A01,TRUE,exp200320,5,exp200320_5_A01,870,BPH2835,2,VAN-106
A,1,3.891,A01,TRUE,exp200320,5,exp200320_5_A01,880,BPH2835,2,VAN-106
A,1,3.881,A01,TRUE,exp200320,5,exp200320_5_A01,890,BPH2835,2,VAN-106
A,1,3.881,A01,TRUE,exp200320,5,exp200320_5_A01,900,BPH2835,2,VAN-106
A,1,3.852,A01,TRUE,exp200320,5,exp200320_5_A01,910,BPH2835,2,VAN-106
A,1,3.848,A01,TRUE,exp200320,5,exp200320_5_A01,920,BPH2835,2,VAN-106
A,1,3.806,A01,TRUE,exp200320,5,exp200320_5_A01,930,BPH2835,2,VAN-106
A,1,3.833,A01,TRUE,exp200320,5,exp200320_5_A01,940,BPH2835,2,VAN-106
A,1,3.78,A01,TRUE,exp200320,5,exp200320_5_A01,950,BPH2835,2,VAN-106
A,1,3.786,A01,TRUE,exp200320,5,exp200320_5_A01,960,BPH2835,2,VAN-106
A,1,3.856,A01,TRUE,exp200320,5,exp200320_5_A01,970,BPH2835,2,VAN-106
A,1,3.761,A01,TRUE,exp200320,5,exp200320_5_A01,980,BPH2835,2,VAN-106
A,1,3.804,A01,TRUE,exp200320,5,exp200320_5_A01,990,BPH2835,2,VAN-106
A,1,3.766,A01,TRUE,exp200320,5,exp200320_5_A01,1000,BPH2835,2,VAN-106
A,1,3.775,A01,TRUE,exp200320,5,exp200320_5_A01,1010,BPH2835,2,VAN-106
A,1,3.807,A01,TRUE,exp200320,5,exp200320_5_A01,1020,BPH2835,2,VAN-106
A,1,3.743,A01,TRUE,exp200320,5,exp200320_5_A01,1030,BPH2835,2,VAN-106
A,1,3.765,A01,TRUE,exp200320,5,exp200320_5_A01,1040,BPH2835,2,VAN-106
A,1,3.814,A01,TRUE,exp200320,5,exp200320_5_A01,1050,BPH2835,2,VAN-106
A,1,3.775,A01,TRUE,exp200320,5,exp200320_5_A01,1060,BPH2835,2,VAN-106
A,1,3.765,A01,TRUE,exp200320,5,exp200320_5_A01,1070,BPH2835,2,VAN-106
A,1,3.821,A01,TRUE,exp200320,5,exp200320_5_A01,1080,BPH2835,2,VAN-106
A,1,3.819,A01,TRUE,exp200320,5,exp200320_5_A01,1090,BPH2835,2,VAN-106
A,1,3.82,A01,TRUE,exp200320,5,exp200320_5_A01,1100,BPH2835,2,VAN-106
A,1,3.78,A01,TRUE,exp200320,5,exp200320_5_A01,1110,BPH2835,2,VAN-106
A,1,3.811,A01,TRUE,exp200320,5,exp200320_5_A01,1120,BPH2835,2,VAN-106
A,1,3.794,A01,TRUE,exp200320,5,exp200320_5_A01,1130,BPH2835,2,VAN-106
A,1,3.824,A01,TRUE,exp200320,5,exp200320_5_A01,1140,BPH2835,2,VAN-106
A,1,3.836,A01,TRUE,exp200320,5,exp200320_5_A01,1150,BPH2835,2,VAN-106
A,1,3.872,A01,TRUE,exp200320,5,exp200320_5_A01,1160,BPH2835,2,VAN-106
