well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A,1,8.847,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,0,BPH2898,2,VAN-156
A,1,7.118,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,10,BPH2898,2,VAN-156
A,1,6.686,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,20,BPH2898,2,VAN-156
A,1,4.641,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,30,BPH2898,2,VAN-156
A,1,4.016,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,40,BPH2898,2,VAN-156
A,1,3.181,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,50,BPH2898,2,VAN-156
A,1,2.252,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,60,BPH2898,2,VAN-156
A,1,1.848,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,70,BPH2898,2,VAN-156
A,1,0.892,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,80,BPH2898,2,VAN-156
A,1,0.781,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,90,BPH2898,2,VAN-156
A,1,0.529,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,100,BPH2898,2,VAN-156
A,1,0.262,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,110,BPH2898,2,VAN-156
A,1,0.167,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,120,BPH2898,2,VAN-156
A,1,0.112,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,130,BPH2898,2,VAN-156
A,1,0.097,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,140,BPH2898,2,VAN-156
A,1,0.12,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,150,BPH2898,2,VAN-156
A,1,0.131,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,160,BPH2898,2,VAN-156
A,1,0.14,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,170,BPH2898,2,VAN-156
A,1,0.193,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,180,BPH2898,2,VAN-156
A,1,0.235,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,190,BPH2898,2,VAN-156
A,1,0.303,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,200,BPH2898,2,VAN-156
A,1,0.364,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,210,BPH2898,2,VAN-156
A,1,0.463,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,220,BPH2898,2,VAN-156
A,1,0.591,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,230,BPH2898,2,VAN-156
A,1,0.729,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,240,BPH2898,2,VAN-156
A,1,0.937,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,250,BPH2898,2,VAN-156
A,1,1.136,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,260,BPH2898,2,VAN-156
A,1,1.41,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,270,BPH2898,2,VAN-156
A,1,1.647,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,280,BPH2898,2,VAN-156
A,1,1.925,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,290,BPH2898,2,VAN-156
A,1,2.215,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,300,BPH2898,2,VAN-156
A,1,2.443,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,310,BPH2898,2,VAN-156
A,1,2.665,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,320,BPH2898,2,VAN-156
A,1,2.927,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,330,BPH2898,2,VAN-156
A,1,3.086,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,340,BPH2898,2,VAN-156
A,1,3.282,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,350,BPH2898,2,VAN-156
A,1,3.473,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,360,BPH2898,2,VAN-156
A,1,3.622,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,370,BPH2898,2,VAN-156
A,1,3.762,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,380,BPH2898,2,VAN-156
A,1,3.889,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,390,BPH2898,2,VAN-156
A,1,3.991,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,400,BPH2898,2,VAN-156
A,1,4.03,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,410,BPH2898,2,VAN-156
A,1,4.162,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,420,BPH2898,2,VAN-156
A,1,4.28,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,430,BPH2898,2,VAN-156
A,1,4.323,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,440,BPH2898,2,VAN-156
A,1,4.425,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,450,BPH2898,2,VAN-156
A,1,4.491,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,460,BPH2898,2,VAN-156
A,1,4.514,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,470,BPH2898,2,VAN-156
A,1,4.572,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,480,BPH2898,2,VAN-156
A,1,4.646,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,490,BPH2898,2,VAN-156
A,1,4.771,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,500,BPH2898,2,VAN-156
A,1,4.634,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,510,BPH2898,2,VAN-156
A,1,4.778,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,520,BPH2898,2,VAN-156
A,1,4.785,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,530,BPH2898,2,VAN-156
A,1,4.807,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,540,BPH2898,2,VAN-156
A,1,4.873,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,550,BPH2898,2,VAN-156
A,1,4.851,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,560,BPH2898,2,VAN-156
A,1,4.904,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,570,BPH2898,2,VAN-156
A,1,4.916,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,580,BPH2898,2,VAN-156
A,1,4.851,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,590,BPH2898,2,VAN-156
A,1,4.898,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,600,BPH2898,2,VAN-156
A,1,4.9,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,610,BPH2898,2,VAN-156
A,1,4.907,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,620,BPH2898,2,VAN-156
A,1,4.907,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,630,BPH2898,2,VAN-156
A,1,4.888,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,640,BPH2898,2,VAN-156
A,1,4.874,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,650,BPH2898,2,VAN-156
A,1,4.823,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,660,BPH2898,2,VAN-156
A,1,4.907,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,670,BPH2898,2,VAN-156
A,1,4.879,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,680,BPH2898,2,VAN-156
A,1,4.886,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,690,BPH2898,2,VAN-156
A,1,4.881,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,700,BPH2898,2,VAN-156
A,1,4.806,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,710,BPH2898,2,VAN-156
A,1,4.73,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,720,BPH2898,2,VAN-156
A,1,4.803,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,730,BPH2898,2,VAN-156
A,1,4.826,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,740,BPH2898,2,VAN-156
A,1,4.779,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,750,BPH2898,2,VAN-156
A,1,4.576,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,760,BPH2898,2,VAN-156
A,1,4.757,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,770,BPH2898,2,VAN-156
A,1,4.767,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,780,BPH2898,2,VAN-156
A,1,4.698,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,790,BPH2898,2,VAN-156
A,1,4.676,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,800,BPH2898,2,VAN-156
A,1,4.731,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,810,BPH2898,2,VAN-156
A,1,4.674,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,820,BPH2898,2,VAN-156
A,1,4.624,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,830,BPH2898,2,VAN-156
A,1,4.583,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,840,BPH2898,2,VAN-156
A,1,4.606,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,850,BPH2898,2,VAN-156
A,1,4.522,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,860,BPH2898,2,VAN-156
A,1,4.51,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,870,BPH2898,2,VAN-156
A,1,4.515,A01,TRUE,exp200730,GP1,exp200730_GP1_A01,880,BPH2898,2,VAN-156
