well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A01,A,1,0.508,TRUE,exp210319,GP8,exp210319_GP8_A01,0,BPH3423,2,VSS-227
A01,A,1,0.501,TRUE,exp210319,GP8,exp210319_GP8_A01,10,BPH3423,2,VSS-227
A01,A,1,0.516,TRUE,exp210319,GP8,exp210319_GP8_A01,20,BPH3423,2,VSS-227
A01,A,1,0.494,TRUE,exp210319,GP8,exp210319_GP8_A01,30,BPH3423,2,VSS-227
A01,A,1,0.498,TRUE,exp210319,GP8,exp210319_GP8_A01,40,BPH3423,2,VSS-227
A01,A,1,0.494,TRUE,exp210319,GP8,exp210319_GP8_A01,50,BPH3423,2,VSS-227
A01,A,1,0.494,TRUE,exp210319,GP8,exp210319_GP8_A01,60,BPH3423,2,VSS-227
A01,A,1,0.498,TRUE,exp210319,GP8,exp210319_GP8_A01,70,BPH3423,2,VSS-227
A01,A,1,0.498,TRUE,exp210319,GP8,exp210319_GP8_A01,80,BPH3423,2,VSS-227
A01,A,1,0.502,TRUE,exp210319,GP8,exp210319_GP8_A01,90,BPH3423,2,VSS-227
A01,A,1,0.498,TRUE,exp210319,GP8,exp210319_GP8_A01,100,BPH3423,2,VSS-227
A01,A,1,0.502,TRUE,exp210319,GP8,exp210319_GP8_A01,110,BPH3423,2,VSS-227
A01,A,1,0.496,TRUE,exp210319,GP8,exp210319_GP8_A01,120,BPH3423,2,VSS-227
A01,A,1,0.488,TRUE,exp210319,GP8,exp210319_GP8_A01,130,BPH3423,2,VSS-227
A01,A,1,0.492,TRUE,exp210319,GP8,exp210319_GP8_A01,140,BPH3423,2,VSS-227
A01,A,1,0.503,TRUE,exp210319,GP8,exp210319_GP8_A01,150,BPH3423,2,VSS-227
A01,A,1,0.501,TRUE,exp210319,GP8,exp210319_GP8_A01,160,BPH3423,2,VSS-227
A01,A,1,0.504,TRUE,exp210319,GP8,exp210319_GP8_A01,170,BPH3423,2,VSS-227
A01,A,1,0.5,TRUE,exp210319,GP8,exp210319_GP8_A01,180,BPH3423,2,VSS-227
A01,A,1,0.498,TRUE,exp210319,GP8,exp210319_GP8_A01,190,BPH3423,2,VSS-227
A01,A,1,0.501,TRUE,exp210319,GP8,exp210319_GP8_A01,200,BPH3423,2,VSS-227
A01,A,1,0.504,TRUE,exp210319,GP8,exp210319_GP8_A01,210,BPH3423,2,VSS-227
A01,A,1,0.479,TRUE,exp210319,GP8,exp210319_GP8_A01,220,BPH3423,2,VSS-227
A01,A,1,0.49,TRUE,exp210319,GP8,exp210319_GP8_A01,230,BPH3423,2,VSS-227
A01,A,1,0.499,TRUE,exp210319,GP8,exp210319_GP8_A01,240,BPH3423,2,VSS-227
A01,A,1,0.497,TRUE,exp210319,GP8,exp210319_GP8_A01,250,BPH3423,2,VSS-227
A01,A,1,0.503,TRUE,exp210319,GP8,exp210319_GP8_A01,260,BPH3423,2,VSS-227
A01,A,1,0.516,TRUE,exp210319,GP8,exp210319_GP8_A01,270,BPH3423,2,VSS-227
A01,A,1,0.498,TRUE,exp210319,GP8,exp210319_GP8_A01,280,BPH3423,2,VSS-227
A01,A,1,0.496,TRUE,exp210319,GP8,exp210319_GP8_A01,290,BPH3423,2,VSS-227
A01,A,1,0.511,TRUE,exp210319,GP8,exp210319_GP8_A01,300,BPH3423,2,VSS-227
A01,A,1,0.507,TRUE,exp210319,GP8,exp210319_GP8_A01,310,BPH3423,2,VSS-227
A01,A,1,0.496,TRUE,exp210319,GP8,exp210319_GP8_A01,320,BPH3423,2,VSS-227
A01,A,1,0.512,TRUE,exp210319,GP8,exp210319_GP8_A01,330,BPH3423,2,VSS-227
A01,A,1,0.521,TRUE,exp210319,GP8,exp210319_GP8_A01,340,BPH3423,2,VSS-227
A01,A,1,0.531,TRUE,exp210319,GP8,exp210319_GP8_A01,350,BPH3423,2,VSS-227
A01,A,1,0.517,TRUE,exp210319,GP8,exp210319_GP8_A01,360,BPH3423,2,VSS-227
A01,A,1,0.528,TRUE,exp210319,GP8,exp210319_GP8_A01,370,BPH3423,2,VSS-227
A01,A,1,0.538,TRUE,exp210319,GP8,exp210319_GP8_A01,380,BPH3423,2,VSS-227
A01,A,1,0.539,TRUE,exp210319,GP8,exp210319_GP8_A01,390,BPH3423,2,VSS-227
A01,A,1,0.557,TRUE,exp210319,GP8,exp210319_GP8_A01,400,BPH3423,2,VSS-227
A01,A,1,0.559,TRUE,exp210319,GP8,exp210319_GP8_A01,410,BPH3423,2,VSS-227
A01,A,1,0.565,TRUE,exp210319,GP8,exp210319_GP8_A01,420,BPH3423,2,VSS-227
A01,A,1,0.574,TRUE,exp210319,GP8,exp210319_GP8_A01,430,BPH3423,2,VSS-227
A01,A,1,0.598,TRUE,exp210319,GP8,exp210319_GP8_A01,440,BPH3423,2,VSS-227
A01,A,1,0.597,TRUE,exp210319,GP8,exp210319_GP8_A01,450,BPH3423,2,VSS-227
A01,A,1,0.628,TRUE,exp210319,GP8,exp210319_GP8_A01,460,BPH3423,2,VSS-227
A01,A,1,0.636,TRUE,exp210319,GP8,exp210319_GP8_A01,470,BPH3423,2,VSS-227
A01,A,1,0.66,TRUE,exp210319,GP8,exp210319_GP8_A01,480,BPH3423,2,VSS-227
A01,A,1,0.668,TRUE,exp210319,GP8,exp210319_GP8_A01,490,BPH3423,2,VSS-227
A01,A,1,0.682,TRUE,exp210319,GP8,exp210319_GP8_A01,500,BPH3423,2,VSS-227
A01,A,1,0.701,TRUE,exp210319,GP8,exp210319_GP8_A01,510,BPH3423,2,VSS-227
A01,A,1,0.715,TRUE,exp210319,GP8,exp210319_GP8_A01,520,BPH3423,2,VSS-227
