well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
A01,13320,0,A,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_A01,NE46,NEBRASKA
A02,15769,0,A,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_A02,NE1561,NEBRASKA
A03,13470,0,A,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_A03,JE2,CONTROL
A04,12870,0,A,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_A04,NE1553,NEBRASKA
A05,13546,0,A,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_A05,NE743,NEBRASKA
A06,13466,0,A,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_A06,NE172,NEBRASKA
A07,12259,0,A,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_A07,NE1166,NEBRASKA
A08,12603,0,A,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_A08,NE704,NEBRASKA
A09,12991,0,A,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_A09,NE362,NEBRASKA
A10,12941,0,A,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_A10,NE188,NEBRASKA
A11,12558,0,A,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_A11,NE1183,NEBRASKA
A12,15306,0,A,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_A12,NE1919,NEBRASKA
B01,12537,0,B,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_B01,NE573,NEBRASKA
B02,14847,0,B,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_B02,NE1020,NEBRASKA
B03,12437,0,B,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_B03,NE573,NEBRASKA
B04,12598,0,B,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_B04,NE1561,NEBRASKA
B05,12484,0,B,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_B05,NE581,NEBRASKA
B06,12377,0,B,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_B06,NE873,NEBRASKA
B07,12450,0,B,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_B07,NE172,NEBRASKA
B08,11591,0,B,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_B08,NE1532,NEBRASKA
B09,12122,0,B,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_B09,NE1553,NEBRASKA
B10,11574,0,B,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_B10,NE472,NEBRASKA
B11,12751,0,B,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_B11,NE1671,NEBRASKA
B12,14072,0,B,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_B12,NE1561,NEBRASKA
C01,12042,0,C,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_C01,NE1183,NEBRASKA
C02,13660,0,C,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_C02,NE1462,NEBRASKA
C03,12137,0,C,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_C03,NE46,NEBRASKA
C04,12161,0,C,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_C04,NE573,NEBRASKA
C05,13527,0,C,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_C05,NE1671,NEBRASKA
C06,11857,0,C,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_C06,NE440,NEBRASKA
C07,11996,0,C,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_C07,NE1380,NEBRASKA
C08,11565,0,C,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_C08,NE214,NEBRASKA
C09,12494,0,C,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_C09,NE214,NEBRASKA
C10,11399,0,C,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_C10,NE1,NEBRASKA
C11,12461,0,C,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_C11,NE362,NEBRASKA
C12,10712,0,C,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_C12,Non infected,CONTROL
D01,12303,0,D,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_D01,NE704,NEBRASKA
D02,13421,0,D,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_D02,NE472,NEBRASKA
D03,12137,0,D,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_D03,NE362,NEBRASKA
D04,12048,0,D,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_D04,NE119,NEBRASKA
D05,11597,0,D,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_D05,NE1532,NEBRASKA
D06,12146,0,D,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_D06,NE873,NEBRASKA
D07,11851,0,D,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_D07,JE2,CONTROL
D08,11719,0,D,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_D08,NE172,NEBRASKA
D09,11754,0,D,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_D09,NE117,NEBRASKA
D10,11736,0,D,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_D10,NE119,NEBRASKA
D11,12063,0,D,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_D11,NE1919,NEBRASKA
D12,13258,0,D,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_D12,NE472,NEBRASKA
E01,10747,0,E,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_E01,Non infected,CONTROL
E02,12490,0,E,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_E02,NE440,NEBRASKA
E03,12076,0,E,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_E03,NE369,NEBRASKA
E04,11782,0,E,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_E04,NE119,NEBRASKA
E05,11901,0,E,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_E05,NE873,NEBRASKA
E06,12465,0,E,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_E06,NE440,NEBRASKA
E07,12013,0,E,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_E07,NE743,NEBRASKA
E08,12240,0,E,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_E08,NE1140,NEBRASKA
E09,12538,0,E,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_E09,NE117,NEBRASKA
E10,12390,0,E,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_E10,NE1553,NEBRASKA
E11,12578,0,E,11,exp210324,THP1,NA,GPV1,exp210324_GPV1_E11,NE1166,NEBRASKA
E12,13224,0,E,12,exp210324,THP1,NA,GPV1,exp210324_GPV1_E12,NE369,NEBRASKA
F01,12047,0,F,01,exp210324,THP1,NA,GPV1,exp210324_GPV1_F01,NE581,NEBRASKA
F02,12373,0,F,02,exp210324,THP1,NA,GPV1,exp210324_GPV1_F02,NE369,NEBRASKA
F03,11920,0,F,03,exp210324,THP1,NA,GPV1,exp210324_GPV1_F03,NE186,NEBRASKA
F04,11839,0,F,04,exp210324,THP1,NA,GPV1,exp210324_GPV1_F04,NE46,NEBRASKA
F05,11823,0,F,05,exp210324,THP1,NA,GPV1,exp210324_GPV1_F05,NE66,NEBRASKA
F06,12501,0,F,06,exp210324,THP1,NA,GPV1,exp210324_GPV1_F06,NE66,NEBRASKA
F07,11786,0,F,07,exp210324,THP1,NA,GPV1,exp210324_GPV1_F07,NE186,NEBRASKA
F08,11901,0,F,08,exp210324,THP1,NA,GPV1,exp210324_GPV1_F08,NE1140,NEBRASKA
F09,11875,0,F,09,exp210324,THP1,NA,GPV1,exp210324_GPV1_F09,NE117,NEBRASKA
F10,12000,0,F,10,exp210324,THP1,NA,GPV1,exp210324_GPV1_F10,NE188,NEBRASKA
