well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,strain_group
A01,A,1,0.51,FALSE,exp210324,GPV1,exp210324_GPV1_A01,0,NE46,NEBRASKA
A01,A,1,0.507,FALSE,exp210324,GPV1,exp210324_GPV1_A01,10,NE46,NEBRASKA
A01,A,1,0.496,FALSE,exp210324,GPV1,exp210324_GPV1_A01,20,NE46,NEBRASKA
A01,A,1,0.503,FALSE,exp210324,GPV1,exp210324_GPV1_A01,30,NE46,NEBRASKA
A01,A,1,0.495,FALSE,exp210324,GPV1,exp210324_GPV1_A01,40,NE46,NEBRASKA
A01,A,1,0.5,FALSE,exp210324,GPV1,exp210324_GPV1_A01,50,NE46,NEBRASKA
A01,A,1,0.486,FALSE,exp210324,GPV1,exp210324_GPV1_A01,60,NE46,NEBRASKA
A01,A,1,0.498,FALSE,exp210324,GPV1,exp210324_GPV1_A01,70,NE46,NEBRASKA
A01,A,1,0.499,FALSE,exp210324,GPV1,exp210324_GPV1_A01,80,NE46,NEBRASKA
A01,A,1,0.498,FALSE,exp210324,GPV1,exp210324_GPV1_A01,90,NE46,NEBRASKA
A01,A,1,0.52,FALSE,exp210324,GPV1,exp210324_GPV1_A01,100,NE46,NEBRASKA
A01,A,1,0.503,FALSE,exp210324,GPV1,exp210324_GPV1_A01,110,NE46,NEBRASKA
A01,A,1,0.513,FALSE,exp210324,GPV1,exp210324_GPV1_A01,120,NE46,NEBRASKA
A01,A,1,0.515,FALSE,exp210324,GPV1,exp210324_GPV1_A01,130,NE46,NEBRASKA
A01,A,1,0.51,FALSE,exp210324,GPV1,exp210324_GPV1_A01,140,NE46,NEBRASKA
A01,A,1,0.527,FALSE,exp210324,GPV1,exp210324_GPV1_A01,150,NE46,NEBRASKA
A01,A,1,0.521,FALSE,exp210324,GPV1,exp210324_GPV1_A01,160,NE46,NEBRASKA
A01,A,1,0.539,FALSE,exp210324,GPV1,exp210324_GPV1_A01,170,NE46,NEBRASKA
A01,A,1,0.553,FALSE,exp210324,GPV1,exp210324_GPV1_A01,180,NE46,NEBRASKA
A01,A,1,0.564,FALSE,exp210324,GPV1,exp210324_GPV1_A01,190,NE46,NEBRASKA
A01,A,1,0.59,FALSE,exp210324,GPV1,exp210324_GPV1_A01,200,NE46,NEBRASKA
A01,A,1,0.613,FALSE,exp210324,GPV1,exp210324_GPV1_A01,210,NE46,NEBRASKA
A01,A,1,0.633,FALSE,exp210324,GPV1,exp210324_GPV1_A01,220,NE46,NEBRASKA
A01,A,1,0.66,FALSE,exp210324,GPV1,exp210324_GPV1_A01,230,NE46,NEBRASKA
A01,A,1,0.688,FALSE,exp210324,GPV1,exp210324_GPV1_A01,240,NE46,NEBRASKA
A01,A,1,0.724,FALSE,exp210324,GPV1,exp210324_GPV1_A01,250,NE46,NEBRASKA
A01,A,1,0.766,FALSE,exp210324,GPV1,exp210324_GPV1_A01,260,NE46,NEBRASKA
A01,A,1,0.793,FALSE,exp210324,GPV1,exp210324_GPV1_A01,270,NE46,NEBRASKA
A01,A,1,0.842,FALSE,exp210324,GPV1,exp210324_GPV1_A01,280,NE46,NEBRASKA
A01,A,1,0.884,FALSE,exp210324,GPV1,exp210324_GPV1_A01,290,NE46,NEBRASKA
A01,A,1,0.917,FALSE,exp210324,GPV1,exp210324_GPV1_A01,300,NE46,NEBRASKA
A01,A,1,0.948,FALSE,exp210324,GPV1,exp210324_GPV1_A01,310,NE46,NEBRASKA
A01,A,1,0.977,FALSE,exp210324,GPV1,exp210324_GPV1_A01,320,NE46,NEBRASKA
A01,A,1,0.98,FALSE,exp210324,GPV1,exp210324_GPV1_A01,330,NE46,NEBRASKA
