well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A,1,0.047,A01,TRUE,exp200313,M2,exp200313_M2_A01,0,BPH3690,2,VSS-515
A,1,0.077,A01,TRUE,exp200313,M2,exp200313_M2_A01,10,BPH3690,2,VSS-515
A,1,0.047,A01,TRUE,exp200313,M2,exp200313_M2_A01,20,BPH3690,2,VSS-515
A,1,0.083,A01,TRUE,exp200313,M2,exp200313_M2_A01,30,BPH3690,2,VSS-515
A,1,0.129,A01,TRUE,exp200313,M2,exp200313_M2_A01,40,BPH3690,2,VSS-515
A,1,0.103,A01,TRUE,exp200313,M2,exp200313_M2_A01,50,BPH3690,2,VSS-515
A,1,0.166,A01,TRUE,exp200313,M2,exp200313_M2_A01,60,BPH3690,2,VSS-515
A,1,0.075,A01,TRUE,exp200313,M2,exp200313_M2_A01,70,BPH3690,2,VSS-515
A,1,0.12,A01,TRUE,exp200313,M2,exp200313_M2_A01,80,BPH3690,2,VSS-515
A,1,0.099,A01,TRUE,exp200313,M2,exp200313_M2_A01,90,BPH3690,2,VSS-515
A,1,0.097,A01,TRUE,exp200313,M2,exp200313_M2_A01,100,BPH3690,2,VSS-515
A,1,0.102,A01,TRUE,exp200313,M2,exp200313_M2_A01,110,BPH3690,2,VSS-515
A,1,0.099,A01,TRUE,exp200313,M2,exp200313_M2_A01,120,BPH3690,2,VSS-515
A,1,0.126,A01,TRUE,exp200313,M2,exp200313_M2_A01,130,BPH3690,2,VSS-515
A,1,0.132,A01,TRUE,exp200313,M2,exp200313_M2_A01,140,BPH3690,2,VSS-515
A,1,0.145,A01,TRUE,exp200313,M2,exp200313_M2_A01,150,BPH3690,2,VSS-515
A,1,0.181,A01,TRUE,exp200313,M2,exp200313_M2_A01,160,BPH3690,2,VSS-515
A,1,0.23,A01,TRUE,exp200313,M2,exp200313_M2_A01,170,BPH3690,2,VSS-515
A,1,0.3,A01,TRUE,exp200313,M2,exp200313_M2_A01,180,BPH3690,2,VSS-515
A,1,0.416,A01,TRUE,exp200313,M2,exp200313_M2_A01,190,BPH3690,2,VSS-515
A,1,0.498,A01,TRUE,exp200313,M2,exp200313_M2_A01,200,BPH3690,2,VSS-515
A,1,0.651,A01,TRUE,exp200313,M2,exp200313_M2_A01,210,BPH3690,2,VSS-515
A,1,0.811,A01,TRUE,exp200313,M2,exp200313_M2_A01,220,BPH3690,2,VSS-515
A,1,1.014,A01,TRUE,exp200313,M2,exp200313_M2_A01,230,BPH3690,2,VSS-515
A,1,1.241,A01,TRUE,exp200313,M2,exp200313_M2_A01,240,BPH3690,2,VSS-515
A,1,1.503,A01,TRUE,exp200313,M2,exp200313_M2_A01,250,BPH3690,2,VSS-515
A,1,1.756,A01,TRUE,exp200313,M2,exp200313_M2_A01,260,BPH3690,2,VSS-515
A,1,2.137,A01,TRUE,exp200313,M2,exp200313_M2_A01,270,BPH3690,2,VSS-515
A,1,2.475,A01,TRUE,exp200313,M2,exp200313_M2_A01,280,BPH3690,2,VSS-515
A,1,2.87,A01,TRUE,exp200313,M2,exp200313_M2_A01,290,BPH3690,2,VSS-515
A,1,3.144,A01,TRUE,exp200313,M2,exp200313_M2_A01,300,BPH3690,2,VSS-515
A,1,3.41,A01,TRUE,exp200313,M2,exp200313_M2_A01,310,BPH3690,2,VSS-515
A,1,3.569,A01,TRUE,exp200313,M2,exp200313_M2_A01,320,BPH3690,2,VSS-515
A,1,3.763,A01,TRUE,exp200313,M2,exp200313_M2_A01,330,BPH3690,2,VSS-515
