well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
A01,16897,0,A,01,exp201116,40000,M2,exp201116_M2_A01,BPH3690,2,VSS-515
A02,16826,0,A,02,exp201116,40000,M2,exp201116_M2_A02,BPH3563,3,VSS-370
A03,17209,0,A,03,exp201116,40000,M2,exp201116_M2_A03,BPH3455,1,VSS-259
A04,17047,0,A,04,exp201116,40000,M2,exp201116_M2_A04,BPH3560,1,VSS-367
A05,16697,0,A,05,exp201116,40000,M2,exp201116_M2_A05,JE2,3,CONTROL
A06,15840,0,A,06,exp201116,40000,M2,exp201116_M2_A06,BPH3594,1,VSS-403
A07,16535,0,A,07,exp201116,40000,M2,exp201116_M2_A07,BPH3506,2,VSS-310
A08,15895,0,A,08,exp201116,40000,M2,exp201116_M2_A08,BPH3725,1,VSS-560
A09,15995,0,A,09,exp201116,40000,M2,exp201116_M2_A09,BPH3676,2,VSS-497
A10,16486,0,A,10,exp201116,40000,M2,exp201116_M2_A10,BPH3627,3,VSS-446
A11,16266,0,A,11,exp201116,40000,M2,exp201116_M2_A11,BPH3521,3,VSS-325
A12,16402,0,A,12,exp201116,40000,M2,exp201116_M2_A12,BPH3644,3,VSS-463
B01,17034,0,B,01,exp201116,40000,M2,exp201116_M2_B01,BPH3708,2,VSS-543
B02,16681,0,B,02,exp201116,40000,M2,exp201116_M2_B02,BPH3483,1,VSS-287
B03,16762,0,B,03,exp201116,40000,M2,exp201116_M2_B03,BPH3708,1,VSS-543
B04,15857,0,B,04,exp201116,40000,M2,exp201116_M2_B04,BPH3563,1,VSS-370
B05,16310,0,B,05,exp201116,40000,M2,exp201116_M2_B05,BPH3712,3,VSS-547
B06,15174,0,B,06,exp201116,40000,M2,exp201116_M2_B06,Non infected,3,CONTROL
B07,16269,0,B,07,exp201116,40000,M2,exp201116_M2_B07,BPH3594,2,VSS-403
B08,15781,0,B,08,exp201116,40000,M2,exp201116_M2_B08,BPH3549,3,VSS-353
B09,15570,0,B,09,exp201116,40000,M2,exp201116_M2_B09,BPH3560,2,VSS-367
B10,15815,0,B,10,exp201116,40000,M2,exp201116_M2_B10,BPH3698,1,VSS-531
B11,16442,0,B,11,exp201116,40000,M2,exp201116_M2_B11,BPH3572,3,VSS-379
B12,16629,0,B,12,exp201116,40000,M2,exp201116_M2_B12,BPH3563,2,VSS-370
C01,16847,0,C,01,exp201116,40000,M2,exp201116_M2_C01,BPH3521,2,VSS-325
C02,17135,0,C,02,exp201116,40000,M2,exp201116_M2_C02,BPH3541,1,VSS-345
C03,16031,0,C,03,exp201116,40000,M2,exp201116_M2_C03,BPH3690,3,VSS-515
C04,16666,0,C,04,exp201116,40000,M2,exp201116_M2_C04,BPH3708,3,VSS-543
C05,15915,0,C,05,exp201116,40000,M2,exp201116_M2_C05,BPH3572,1,VSS-379
C06,15586,0,C,06,exp201116,40000,M2,exp201116_M2_C06,BPH3681,3,VSS-504
C07,16632,0,C,07,exp201116,40000,M2,exp201116_M2_C07,BPH3533,1,VSS-337
C08,15794,0,C,08,exp201116,40000,M2,exp201116_M2_C08,BPH3646,1,VSS-465
C09,16229,0,C,09,exp201116,40000,M2,exp201116_M2_C09,BPH3646,2,VSS-465
C10,16172,0,C,10,exp201116,40000,M2,exp201116_M2_C10,BPH3478,3,VSS-282
C11,16286,0,C,11,exp201116,40000,M2,exp201116_M2_C11,BPH3676,1,VSS-497
C12,16300,0,C,12,exp201116,40000,M2,exp201116_M2_C12,TOX-4,2,CONTROL
D01,17297,0,D,01,exp201116,40000,M2,exp201116_M2_D01,BPH3725,3,VSS-560
D02,17066,0,D,02,exp201116,40000,M2,exp201116_M2_D02,BPH3698,2,VSS-531
D03,16330,0,D,03,exp201116,40000,M2,exp201116_M2_D03,BPH3676,3,VSS-497
D04,16473,0,D,04,exp201116,40000,M2,exp201116_M2_D04,BPH3525,3,VSS-329
D05,16293,0,D,05,exp201116,40000,M2,exp201116_M2_D05,BPH3549,2,VSS-353
D06,15423,0,D,06,exp201116,40000,M2,exp201116_M2_D06,Non infected,2,CONTROL
D07,16413,0,D,07,exp201116,40000,M2,exp201116_M2_D07,BPH3455,2,VSS-259
D08,15757,0,D,08,exp201116,40000,M2,exp201116_M2_D08,BPH3594,3,VSS-403
D09,16184,0,D,09,exp201116,40000,M2,exp201116_M2_D09,BPH3515,3,VSS-319
D10,16060,0,D,10,exp201116,40000,M2,exp201116_M2_D10,BPH3525,1,VSS-329
D11,16475,0,D,11,exp201116,40000,M2,exp201116_M2_D11,BPH3644,1,VSS-463
D12,16433,0,D,12,exp201116,40000,M2,exp201116_M2_D12,BPH3698,3,VSS-531
E01,16790,0,E,01,exp201116,40000,M2,exp201116_M2_E01,TOX-4,1,CONTROL
E02,16554,0,E,02,exp201116,40000,M2,exp201116_M2_E02,BPH3681,2,VSS-504
