well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
B,2,0.011,B02,TRUE,exp200226,P2,exp200226_P2_B02,0,TOX-4,3,CONTROL
B,2,0.014,B02,TRUE,exp200226,P2,exp200226_P2_B02,10,TOX-4,3,CONTROL
B,2,-0.006,B02,TRUE,exp200226,P2,exp200226_P2_B02,20,TOX-4,3,CONTROL
B,2,-0.011,B02,TRUE,exp200226,P2,exp200226_P2_B02,30,TOX-4,3,CONTROL
B,2,-0.013,B02,TRUE,exp200226,P2,exp200226_P2_B02,40,TOX-4,3,CONTROL
B,2,-0.012,B02,TRUE,exp200226,P2,exp200226_P2_B02,50,TOX-4,3,CONTROL
B,2,-0.003,B02,TRUE,exp200226,P2,exp200226_P2_B02,60,TOX-4,3,CONTROL
B,2,0.003,B02,TRUE,exp200226,P2,exp200226_P2_B02,70,TOX-4,3,CONTROL
B,2,0.01,B02,TRUE,exp200226,P2,exp200226_P2_B02,80,TOX-4,3,CONTROL
B,2,0.015,B02,TRUE,exp200226,P2,exp200226_P2_B02,90,TOX-4,3,CONTROL
B,2,0.024,B02,TRUE,exp200226,P2,exp200226_P2_B02,100,TOX-4,3,CONTROL
B,2,0.041,B02,TRUE,exp200226,P2,exp200226_P2_B02,110,TOX-4,3,CONTROL
B,2,0.05,B02,TRUE,exp200226,P2,exp200226_P2_B02,120,TOX-4,3,CONTROL
B,2,0.062,B02,TRUE,exp200226,P2,exp200226_P2_B02,130,TOX-4,3,CONTROL
B,2,0.078,B02,TRUE,exp200226,P2,exp200226_P2_B02,140,TOX-4,3,CONTROL
B,2,0.087,B02,TRUE,exp200226,P2,exp200226_P2_B02,150,TOX-4,3,CONTROL
B,2,0.12,B02,TRUE,exp200226,P2,exp200226_P2_B02,160,TOX-4,3,CONTROL
B,2,0.135,B02,TRUE,exp200226,P2,exp200226_P2_B02,170,TOX-4,3,CONTROL
B,2,0.177,B02,TRUE,exp200226,P2,exp200226_P2_B02,180,TOX-4,3,CONTROL
B,2,0.216,B02,TRUE,exp200226,P2,exp200226_P2_B02,190,TOX-4,3,CONTROL
B,2,0.241,B02,TRUE,exp200226,P2,exp200226_P2_B02,200,TOX-4,3,CONTROL
B,2,0.321,B02,TRUE,exp200226,P2,exp200226_P2_B02,210,TOX-4,3,CONTROL
B,2,0.31,B02,TRUE,exp200226,P2,exp200226_P2_B02,220,TOX-4,3,CONTROL
B,2,0.531,B02,TRUE,exp200226,P2,exp200226_P2_B02,230,TOX-4,3,CONTROL
B,2,0.596,B02,TRUE,exp200226,P2,exp200226_P2_B02,240,TOX-4,3,CONTROL
B,2,0.765,B02,TRUE,exp200226,P2,exp200226_P2_B02,250,TOX-4,3,CONTROL
B,2,0.919,B02,TRUE,exp200226,P2,exp200226_P2_B02,260,TOX-4,3,CONTROL
B,2,1.218,B02,TRUE,exp200226,P2,exp200226_P2_B02,270,TOX-4,3,CONTROL
B,2,1.419,B02,TRUE,exp200226,P2,exp200226_P2_B02,280,TOX-4,3,CONTROL
B,2,1.697,B02,TRUE,exp200226,P2,exp200226_P2_B02,290,TOX-4,3,CONTROL
B,2,2.015,B02,TRUE,exp200226,P2,exp200226_P2_B02,300,TOX-4,3,CONTROL
B,2,2.308,B02,TRUE,exp200226,P2,exp200226_P2_B02,310,TOX-4,3,CONTROL
B,2,2.51,B02,TRUE,exp200226,P2,exp200226_P2_B02,320,TOX-4,3,CONTROL
B,2,2.747,B02,TRUE,exp200226,P2,exp200226_P2_B02,330,TOX-4,3,CONTROL
B,2,3.054,B02,TRUE,exp200226,P2,exp200226_P2_B02,340,TOX-4,3,CONTROL
B,2,3.278,B02,TRUE,exp200226,P2,exp200226_P2_B02,350,TOX-4,3,CONTROL
B,2,3.485,B02,TRUE,exp200226,P2,exp200226_P2_B02,360,TOX-4,3,CONTROL
B,2,3.599,B02,TRUE,exp200226,P2,exp200226_P2_B02,370,TOX-4,3,CONTROL
B,2,3.719,B02,TRUE,exp200226,P2,exp200226_P2_B02,380,TOX-4,3,CONTROL
B,2,3.809,B02,TRUE,exp200226,P2,exp200226_P2_B02,390,TOX-4,3,CONTROL
B,2,3.935,B02,TRUE,exp200226,P2,exp200226_P2_B02,400,TOX-4,3,CONTROL
