well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
A05,17556,0,A,05,exp201112,40000,P2,exp201112_P2_A05,JE2,NA,CONTROL
A08,19023,0,A,08,exp201112,40000,P2,exp201112_P2_A08,JE2,NA,CONTROL
B02,17441,0,B,02,exp201112,40000,P2,exp201112_P2_B02,TOX-4,3,CONTROL
B03,17103,0,B,03,exp201112,40000,P2,exp201112_P2_B03,BPH2904,1,VAN-160
B04,16834,0,B,04,exp201112,40000,P2,exp201112_P2_B04,BPH3734,3,VSS-138
B05,17875,0,B,05,exp201112,40000,P2,exp201112_P2_B05,BPH2902,1,VAN-160
B06,17588,0,B,06,exp201112,40000,P2,exp201112_P2_B06,BPH3733,1,VSS-137
B07,16963,0,B,07,exp201112,40000,P2,exp201112_P2_B07,BPH3337,2,VSS-138
B08,16998,0,B,08,exp201112,40000,P2,exp201112_P2_B08,BPH3752,1,VSS-339
B09,16933,0,B,09,exp201112,40000,P2,exp201112_P2_B09,BPH2962,2,VAN-207
B10,16914,0,B,10,exp201112,40000,P2,exp201112_P2_B10,BPH2963,3,VAN-207
B11,17595,0,B,11,exp201112,40000,P2,exp201112_P2_B11,BPH3706,3,VSS-541
B12,17394,0,B,12,exp201112,40000,P2,exp201112_P2_B12,JE2,NA,CONTROL
C01,18425,0,C,01,exp201112,40000,P2,exp201112_P2_C01,JE2,NA,CONTROL
C02,17718,0,C,02,exp201112,40000,P2,exp201112_P2_C02,BPH3336,3,VSS-137
C03,17356,0,C,03,exp201112,40000,P2,exp201112_P2_C03,BPH3757,2,VSS-541
C04,18182,0,C,04,exp201112,40000,P2,exp201112_P2_C04,BPH3747,3,VSS-231
C05,16835,0,C,05,exp201112,40000,P2,exp201112_P2_C05,BPH2943,1,VAN-192
C06,16986,0,C,06,exp201112,40000,P2,exp201112_P2_C06,BPH2942,1,VAN-192
C07,16455,0,C,07,exp201112,40000,P2,exp201112_P2_C07,BPH2942,3,VAN-192
C08,16971,0,C,08,exp201112,40000,P2,exp201112_P2_C08,BPH2962,3,VAN-207
C09,16677,0,C,09,exp201112,40000,P2,exp201112_P2_C09,BPH3757,1,VSS-541
C10,16488,0,C,10,exp201112,40000,P2,exp201112_P2_C10,BPH3734,1,VSS-138
C11,17474,0,C,11,exp201112,40000,P2,exp201112_P2_C11,BPH3427,1,VSS-231
D02,17244,0,D,02,exp201112,40000,P2,exp201112_P2_D02,TOX-4,1,CONTROL
D03,16647,0,D,03,exp201112,40000,P2,exp201112_P2_D03,Non infected,2,CONTROL
D04,16829,0,D,04,exp201112,40000,P2,exp201112_P2_D04,BPH3734,2,VSS-138
D05,18132,0,D,05,exp201112,40000,P2,exp201112_P2_D05,BPH3747,2,VSS-231
D06,17188,0,D,06,exp201112,40000,P2,exp201112_P2_D06,BPH3757,3,VSS-541
D07,16373,0,D,07,exp201112,40000,P2,exp201112_P2_D07,BPH3336,2,VSS-137
D08,17158,0,D,08,exp201112,40000,P2,exp201112_P2_D08,BPH2902,3,VAN-160
D09,17396,0,D,09,exp201112,40000,P2,exp201112_P2_D09,BPH2904,3,VAN-160
D10,17238,0,D,10,exp201112,40000,P2,exp201112_P2_D10,BPH3752,2,VSS-339
D11,17687,0,D,11,exp201112,40000,P2,exp201112_P2_D11,BPH3535,2,VSS-339
E01,18487,0,E,01,exp201112,40000,P2,exp201112_P2_E01,JE2,NA,CONTROL
E02,17876,0,E,02,exp201112,40000,P2,exp201112_P2_E02,BPH3535,3,VSS-339
E03,17613,0,E,03,exp201112,40000,P2,exp201112_P2_E03,BPH3733,3,VSS-137
E04,17575,0,E,04,exp201112,40000,P2,exp201112_P2_E04,BPH3706,2,VSS-541
E05,16953,0,E,05,exp201112,40000,P2,exp201112_P2_E05,BPH3733,2,VSS-137
E06,17006,0,E,06,exp201112,40000,P2,exp201112_P2_E06,BPH2943,3,VAN-192
E07,17594,0,E,07,exp201112,40000,P2,exp201112_P2_E07,BPH3427,3,VSS-231
E08,17794,0,E,08,exp201112,40000,P2,exp201112_P2_E08,BPH2942,2,VAN-192
E09,16519,0,E,09,exp201112,40000,P2,exp201112_P2_E09,Non infected,1,CONTROL
E10,16836,0,E,10,exp201112,40000,P2,exp201112_P2_E10,BPH3337,1,VSS-138
E11,18014,0,E,11,exp201112,40000,P2,exp201112_P2_E11,JE2,3,CONTROL
F02,17929,0,F,02,exp201112,40000,P2,exp201112_P2_F02,BPH3535,1,VSS-339
F03,16617,0,F,03,exp201112,40000,P2,exp201112_P2_F03,BPH3336,1,VSS-137
F04,17390,0,F,04,exp201112,40000,P2,exp201112_P2_F04,BPH3747,1,VSS-231
