"sample_id","time_of_max_rate_death_mean","max_rate_death_mean","doubling_time_death_mean","AUC_death_mean","time_of_max_death_mean","max_death_mean","time_of_min_death_mean","min_death_mean","end_point_death_mean","end_point_timepoint_death_mean","time_of_max_rate_death_sd","max_rate_death_sd","doubling_time_death_sd","AUC_death_sd","time_of_max_death_sd","max_death_sd","time_of_min_death_sd","min_death_sd","end_point_death_sd","end_point_timepoint_death_sd","time_of_max_rate_death_median","max_rate_death_median","doubling_time_death_median","AUC_death_median","time_of_max_death_median","max_death_median","time_of_min_death_median","min_death_median","end_point_death_median","end_point_timepoint_death_median","time_of_max_rate_death_mad","max_rate_death_mad","doubling_time_death_mad","AUC_death_mad","time_of_max_death_mad","max_death_mad","time_of_min_death_mad","min_death_mad","end_point_death_mad","end_point_timepoint_death_mad","time_of_max_rate_death_IQR","max_rate_death_IQR","doubling_time_death_IQR","AUC_death_IQR","time_of_max_death_IQR","max_death_IQR","time_of_min_death_IQR","min_death_IQR","end_point_death_IQR","end_point_timepoint_death_IQR"
"Blank",718,0.000205219067580791,4317.98158516313,12.678293794667,736,0.154450527419012,263.333333333333,0.0237431213081781,0.133049226744202,1104,381.990837586453,0.000106066978343588,2235.81235157865,6.12736697633165,552,0.0896144599862254,143.450339839263,0.0308363482987479,0.0524492361191648,0,684,0.000162500798239464,4265.50015796546,12.712510886611,1104,0.137921891042538,192,0.00997768461328099,0.137921891042538,1104,524.8404,9.42446833866921e-05,2978.18784373028,6.6394542542165,0,0.0531361973003388,35.5824,0.0298579615526394,0.0634668167568957,0,762,0.000171550792507831,2855.17022937223,9.49883081277051,1104,0.061051329460986,90,0.0417681068588372,0.0680192368241028,0
"BPH2700",439,0.00318157266242799,228.105832899237,152.707843975508,1091,1.54012832615753,130,-0.00595234691077869,1.5395329219512,1104,54.5197212025153,0.000694893037897109,57.9185195160832,40.9294282162727,31.8433666561813,0.253506458922046,35.7323382946037,0.0323123444124985,0.252681288898062,0,456,0.00310741108512055,223.106329535717,151.427855055594,1104,1.54569057720573,138,-0.00506298128688702,1.54569057720573,1104,48.9258,0.000483845078221208,30.3056781927718,43.729933214055,0,0.329501648728381,40.0302,0.0288997791484264,0.329501648728381,0,79.5,0.000511276830919368,32.223194812025,55.9860390533797,0,0.39612774999485,57,0.037195102362088,0.39612774999485,0
"BPH2701",1104,0.00071200648248662,1647.18285898157,19.7036807918758,1104,0.329497195813272,195,0.0181867292579285,0.329497195813272,1104,0,0.000674550463070301,977.969993015733,15.5903715298365,0,0.244419841864427,34.9342239072231,0.0595129087828255,0.244419841864427,0,1104,0.000379257690784301,1856.47879534151,18.5568228312975,1104,0.239711201838886,201,0.00876683351832101,0.239711201838886,1104,0,0.000148260593426527,1036.38577605051,16.9361395602529,0,0.153928830453891,40.0302,0.07574950253401,0.153928830453891,0,0,0.000512505657579941,1176.16446870272,20.3765047243013,0,0.265637990169089,48,0.0997199289285393,0.265637990169089,0
"BPH2702",372,0.000807343087941293,977.022551873916,23.7608906858471,1104,0.271225730026272,171,-0.0532112511543343,0.271225730026272,1104,10.733126291999,0.00032022557502414,386.381304354785,11.3607356280967,0,0.0926526570148686,14.5739493617893,0.0335457338279574,0.0926526570148686,0,369,0.000754943997456447,928.655722478124,21.6425033891333,1104,0.270737387835465,168,-0.0508317026669636,0.270737387835465,1104,8.8956,0.000252207556452026,300.645146951894,9.91858521869135,0,0.0681036524944955,8.8956,0.0295273773748255,0.0681036524944955,0,10.5,0.000295327862144162,353.57477512565,12.1171321063743,0,0.0799687503255986,9,0.0311020222722511,0.0799687503255986,0
"BPH2703",708,0.00149436549877007,480.581845849475,43.9876308442103,1104,0.749294700236479,195,-0.0785593633537982,0.749294700236479,1104,168.897602114417,0.000311278263531504,97.4823526900027,20.6341643592538,0,0.107727520354566,27.560841786854,0.0276645808976018,0.107727520354566,0,735,0.00142056076282606,488.827791190747,37.3332187823327,1104,0.737109343473573,204,-0.0757149039690162,0.737109343473573,1104,177.912,0.000331843224773948,124.011601662943,17.334064239167,0,0.0942508447757823,22.239,0.0254432643846119,0.0942508447757823,0,184.5,0.000449610989123072,135.888187830814,28.6126095650906,0,0.0954582537740787,34.5,0.0312894224358675,0.0954582537740787,0
"BPH2704",496,0.001704801097104,422.978032405307,71.8528896833072,1104,0.821060503357894,160,-0.0398268292450681,0.821060503357894,1104,64.249513616836,0.000387790151339101,87.0723684735267,18.9152312707548,0,0.148643964115213,26.7432234407148,0.0192712538222807,0.148643964115213,0,495,0.00154433095341531,448.836377291205,65.5727177377032,1104,0.801438308148607,168,-0.0381123206240343,0.801438308148607,1104,62.2692,0.000244752930975182,80.8870844854869,13.036487591,0,0.173267338293739,22.239,0.00415702702109272,0.173267338293739,0,70.5,0.000516446632572923,117.668463857228,21.0715261949075,0,0.210652617677196,37.5,0.00465347199180665,0.210652617677196,0
"BPH2705",449,0.00286392247851647,243.709609872302,108.265269530903,948,1.10384212312598,155,-0.0785575746909235,1.08106078093285,1104,21.6055548412902,0.000259739946915835,22.3209397733865,12.0107988444882,48.5962961551598,0.105172117084033,10.3344085462111,0.0127455886626252,0.0906714749900944,0,450,0.00285441842799835,242.952234609299,109.096997094591,951,1.10224230804551,156,-0.0799055883248871,1.08425625641881,1104,22.239,0.000306020750056419,25.6765901678094,13.568805048183,57.8214,0.0811715298747016,13.3434,0.00941963964745773,0.0641975708772982,0,25.5,0.000341220965948809,28.6682922710499,16.2034053047315,72,0.0946623902819428,16.5,0.010396594361563,0.0715117006650878,0
"BPH2706",553.2,0.00179853197497608,397.783453161142,93.7396771256602,1104,1.10242523568866,184.8,0.0611440853756391,1.10242523568866,1104,40.3385671535319,0.000367756830726032,76.3226569380873,20.9129393056095,0,0.241244261111912,29.819456735494,0.0529068740778886,0.241244261111912,0,540,0.00165841426443672,417.95780187369,84.7602744067369,1104,0.975793330852954,198,0.0527159969176587,0.975793330852954,1104,35.5824,0.000343227370910478,100.535072110708,12.9720683452761,0,0.107566714149728,8.8956,0.040003426926154,0.107566714149728,0,36,0.000467555015807,102.582616325244,9.67359578888625,0,0.223957333757367,6,0.0362240444741094,0.223957333757367,0
"BPH2707",530,0.00244503652520051,292.416665772304,82.2392665859523,904,0.896532378221671,189,-0.0427021881798575,0.83468045728983,1104,22.9782505861521,0.000466168153991572,56.6889105747381,16.2216277225687,60.7947366142827,0.140130133889484,18.099723754798,0.00603301645750537,0.0996628839502626,0,531,0.00241044883603095,288.782414132027,82.4553538340529,909,0.906775928285509,186,-0.0432790697999731,0.851528374708186,1104,26.6868,0.000605290063993805,69.9438542275895,22.8018415603657,66.717,0.190907644222854,22.239,0.00739967385683288,0.102127214385927,0,34.5,0.000690827273433227,80.1613975984191,26.4363878116331,81,0.212963941748051,30,0.00824191292682533,0.109657834771237,0
"BPH2708",531.6,0.00177935351615802,401.70531295796,63.2906784895605,1104,0.7948402940107,192,-0.0436468403806971,0.7948402940107,1104,20.1692835767659,0.0003489566599894,79.1293709218627,10.1274177230986,0,0.0879045954101556,18.9736659610103,0.0375708082068441,0.0879045954101556,0,534,0.00172878470279389,400.94476740785,62.9887657640899,1104,0.833989570671674,186,-0.0644130267724638,0.833989570671674,1104,8.8956,0.000163420570391766,35.6292839593381,15.0373334333536,0,0.0677533776324086,17.7912,0.015533627847507,0.0677533776324086,0,6,0.000140927703289731,31.2808704377856,17.288188572317,0,0.148477019392881,18,0.0457371784865682,0.148477019392881,0
