"sample_id","number_of_replicates"
"BPH3483",0
"BPH3644",0
"BPH3646",0
"BPH3698",0
"BPH3676",0
"BPH3712",0
"BPH3533",0
"BPH3525",0
"BPH3708",0
"BPH3690",0
"BPH3455",0
"BPH2976",2
"BPH2977",2
"BPH2978",3
"BPH2979",3
"BPH2980",3
"BPH2981",3
"BPH2982",3
"BPH2847",4
"BPH2882",4
"BPH2887",4
"BPH2904",4
"BPH3204",4
"BPH3216",4
"BPH3338",4
"BPH3340",4
"BPH3423",4
"BPH3433",4
"BPH3462",4
"BPH3481",4
"BPH3508",4
"BPH3524",4
"BPH3648",4
"BPH3662",4
"BPH3672",4
"BPH3704",4
"BPH3755",4
"BPH2708",5
"BPH2709",5
"BPH2713",5
"BPH2748",5
"BPH2813",5
"BPH2831",5
"BPH2849",5
"BPH2862",5
"BPH2869",5
"BPH2873",5
"BPH2883",5
"BPH2884",5
"BPH2890",5
"BPH2891",5
"BPH2907",5
"BPH2922",5
"BPH2952",5
"BPH2960",5
"BPH2974",5
"BPH2987",5
"BPH2988",5
"BPH3202",5
"BPH3226",5
"BPH3250",5
"BPH3262",5
"BPH3270",5
"BPH3274",5
"BPH3282",5
"BPH3284",5
"BPH3304",5
"BPH3320",5
"BPH3336",5
"BPH3348",5
"BPH3389",5
"BPH3394",5
"BPH3431",5
"BPH3434",5
"BPH3439",5
"BPH3453",5
"BPH3465",5
"BPH3473",5
"BPH3477",5
"BPH3485",5
"BPH3501",5
"BPH3511",5
"BPH3523",5
"BPH3547",5
"BPH3590",5
"BPH3596",5
"BPH3636",5
"BPH3670",5
"BPH3674",5
"BPH3694",5
"BPH3706",5
"BPH3738",5
"BPH3742",5
"BPH3743",5
"BPH3753",5
"BPH3754",5
"BPH2704",6
"BPH2705",6
"BPH2710",6
"BPH2714",6
"BPH2718",6
"BPH2737",6
"BPH2738",6
"BPH2747",6
"BPH2750",6
"BPH2751",6
"BPH2754",6
"BPH2755",6
"BPH2763",6
"BPH2770",6
"BPH2771",6
"BPH2777",6
"BPH2778",6
"BPH2779",6
"BPH2780",6
"BPH2781",6
"BPH2783",6
"BPH2799",6
"BPH2802",6
"BPH2803",6
"BPH2812",6
"BPH2814",6
"BPH2815",6
"BPH2819",6
"BPH2820",6
"BPH2824",6
"BPH2825",6
"BPH2832",6
"BPH2833",6
"BPH2840",6
"BPH2841",6
"BPH2842",6
"BPH2843",6
"BPH2850",6
"BPH2852",6
"BPH2857",6
"BPH2858",6
"BPH2861",6
"BPH2863",6
"BPH2864",6
"BPH2866",6
"BPH2867",6
"BPH2872",6
"BPH2876",6
"BPH2877",6
"BPH2881",6
"BPH2888",6
"BPH2896",6
"BPH2897",6
"BPH2898",6
"BPH2902",6
"BPH2923",6
"BPH2924",6
"BPH2925",6
"BPH2926",6
"BPH2942",6
"BPH2943",6
"BPH2946",6
"BPH2947",6
"BPH2948",6
"BPH2953",6
"BPH2959",6
"BPH2961",6
"BPH2962",6
"BPH2963",6
"BPH2964",6
"BPH2965",6
"BPH2966",6
"BPH2973",6
"BPH2975",6
"BPH2989",6
"BPH2990",6
"BPH2991",6
"BPH3208",6
"BPH3220",6
"BPH3236",6
"BPH3244",6
"BPH3246",6
"BPH3258",6
"BPH3260",6
"BPH3268",6
"BPH3272",6
"BPH3292",6
"BPH3294",6
"BPH3306",6
"BPH3316",6
"BPH3328",6
"BPH3332",6
"BPH3337",6
"BPH3346",6
"BPH3352",6
"BPH3356",6
"BPH3362",6
"BPH3366",6
"BPH3368",6
"BPH3370",6
"BPH3372",6
"BPH3376",6
"BPH3381",6
"BPH3382",6
"BPH3396",6
"BPH3401",6
"BPH3403",6
"BPH3413",6
"BPH3415",6
"BPH3417",6
"BPH3427",6
"BPH3435",6
"BPH3437",6
"BPH3443",6
"BPH3457",6
"BPH3459",6
"BPH3460",6
"BPH3463",6
"BPH3469",6
"BPH3479",6
"BPH3482",6
"BPH3489",6
"BPH3493",6
"BPH3499",6
"BPH3527",6
"BPH3529",6
"BPH3535",6
"BPH3545",6
"BPH3548",6
"BPH3568",6
"BPH3584",6
"BPH3588",6
"BPH3602",6
"BPH3612",6
"BPH3628",6
"BPH3632",6
"BPH3634",6
"BPH3638",6
"BPH3640",6
"BPH3643",6
"BPH3650",6
"BPH3652",6
"BPH3658",6
"BPH3660",6
"BPH3664",6
"BPH3666",6
"BPH3668",6
"BPH3682",6
"BPH3684",6
"BPH3686",6
"BPH3688",6
"BPH3692",6
"BPH3696",6
"BPH3700",6
"BPH3702",6
"BPH3710",6
"BPH3733",6
"BPH3734",6
"BPH3735",6
"BPH3736",6
"BPH3737",6
"BPH3739",6
"BPH3741",6
"BPH3744",6
"BPH3745",6
"BPH3746",6
"BPH3747",6
"BPH3748",6
"BPH3749",6
"BPH3750",6
"BPH3751",6
"BPH3752",6
"BPH3757",6
"BPH2764",7
"BPH2798",7
"BPH2807",7
"BPH2727",8
"BPH2787",8
"BPH2800",8
"BPH2801",8
"BPH2726",9
"BPH2728",9
"BPH2729",9
"BPH2730",9
"BPH2808",9
