"well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment_id","well","well_row","well_col","experiment","cell_number","plate","sample_id","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp190831_2_A01",642,0.000942378246345118,735.529691234087,67.9717796121892,1104,0.766445287330535,126,0.0773173080636192,0.766445287330535,1104,"exp190831_2","A01","A","01","exp190831","40000","2","BPH2750","2","VAN-040",0.091717691912239,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A02",318,0.00151596524031719,457.231579013589,71.8785080852843,1104,0.729881883001754,138,0.0207678262224092,0.729881883001754,1104,"exp190831_2","A02","A","02","exp190831","40000","2","BPH2740","3","VAN-030",0.0791939987010182,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A03",486,0.00402748169010483,172.104365430871,125.384656625746,840,1.29691601615979,162,-0.0816408895082541,1.19117424412969,1104,"exp190831_2","A03","A","03","exp190831","40000","2","BPH2728","1","VAN-024",0.0625717800859144,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A04",318,0.000479677874091251,1445.02637707255,23.183718520445,1104,0.266741411750884,138,-0.00973731316252748,0.266741411750884,1104,"exp190831_2","A04","A","04","exp190831","40000","2","BPH2739","1","VAN-030",0.0778462484070086,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A05",840,0.000269322843464992,2573.66650241105,15.1611741527946,1104,0.18687188700716,132,-0.00891043637941713,0.18687188700716,1104,"exp190831_2","A05","A","05","exp190831","40000","2","Non infected","3","CONTROL",0.174704740381647,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A06",312,0.000299262972247227,2316.18090054697,17.537545274182,1104,0.215264260529986,156,-0.00462631442035697,0.215264260529986,1104,"exp190831_2","A06","A","06","exp190831","40000","2","BPH2742","1","VAN-032",0.0667131229839034,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A07",372,0.00632164317141511,109.646679156803,199.987138920911,624,1.76566874695912,126,-0.0358555159315445,1.36831400739153,1104,"exp190831_2","A07","A","07","exp190831","40000","2","BPH2732","2","VAN-026",0.0768484936796374,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A08",402,0.00161336141801389,429.629203240298,104.302502881897,1104,1.09712531380581,114,0.0377909191478425,1.09712531380581,1104,"exp190831_2","A08","A","08","exp190831","40000","2","BPH2755","1","VAN-043",0.0817132194790195,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A09",834,0.00198810354994472,348.647423610917,54.2197883038577,1104,1.00570179353983,144,-0.0295761056147584,1.00570179353983,1104,"exp190831_2","A09","A","09","exp190831","40000","2","BPH2747","2","VAN-038",0.0674718341430557,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A11",318,0.000319731429886932,2167.90442154863,18.2742736097509,1104,0.19218355078242,144,0.00575094903709003,0.19218355078242,1104,"exp190831_2","A11","A","11","exp190831","40000","2","BPH2734","3","VAN-026",0.0851645314830266,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_A12",276,0.00110972801751331,624.609967145963,70.9271828972803,1104,0.72896169339824,90,0.0305558883498143,0.72896169339824,1104,"exp190831_2","A12","A","12","exp190831","40000","2","BPH2745","3","VAN-035",0.0970946520966736,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B01",438,0.00162472824467623,426.623457080402,87.4134777033497,906,0.781593410828199,120,0.0630556298591689,0.779713188393452,1104,"exp190831_2","B01","B","01","exp190831","40000","2","BPH2752","2","VAN-041",0.0680176940817081,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B02",444,0.00536208373644692,129.268249924655,164.197152753703,702,1.57482502667642,174,0.0327986239088839,1.17813390882223,1104,"exp190831_2","B02","B","02","exp190831","40000","2","BPH2730","1","VAN-024",0.0563092583171068,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B03",462,0.00138519458880267,500.396973943628,60.6874989952985,876,0.57289815106077,174,0.0164491401551947,0.540474037972189,1104,"exp190831_2","B03","B","03","exp190831","40000","2","BPH2752","1","VAN-041",0.0680176940817081,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B04",342,0.00106514564135734,650.753430936119,50.0031769180045,1104,0.522535057308567,150,0.015097589783188,0.522535057308567,1104,"exp190831_2","B04","B","04","exp190831","40000","2","BPH2740","1","VAN-030",0.0791939987010182,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B05",792,0.00293792880549145,235.930557358757,87.8074471773964,1104,1.60447813877508,156,-0.0358238148598579,1.60447813877508,1104,"exp190831_2","B05","B","05","exp190831","40000","2","BPH2753","3","VAN-042",0.0661114094132236,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B06",1104,0.000171557279981887,4040.32507762497,2.0825978830778,1104,0.0773102386022828,162,-0.0431458476916328,0.0773102386022828,1104,"exp190831_2","B06","B","06","exp190831","40000","2","TOX-4","3","CONTROL",0.167908467895464,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B07",750,0.0001933486302855,3584.96038754678,5.91499419727015,1104,0.107597032731865,162,-0.026572437691376,0.107597032731865,1104,"exp190831_2","B07","B","07","exp190831","40000","2","BPH2742","2","VAN-032",0.0667131229839034,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B08",390,0.000195994292687022,3536.56818806868,8.04434411015179,1104,0.113686910810117,222,-0.0156629399168448,0.113686910810117,1104,"exp190831_2","B08","B","08","exp190831","40000","2","BPH2738","3","VAN-029",0.0675595675146334,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B09",300,0.00038717230582976,1790.28089076372,1.01449082209509,1104,0.0696961172449852,144,-0.0865440093424332,0.0696961172449852,1104,"exp190831_2","B09","B","09","exp190831","40000","2","BPH2739","2","VAN-030",0.0778462484070086,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B10",636,0.00108687203119579,637.744978861342,55.9489367633962,1104,0.67929800404632,132,0.00852966501103761,0.67929800404632,1104,"exp190831_2","B10","B","10","exp190831","40000","2","BPH2751","1","VAN-040",0.0877906283250231,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B11",372,0.000902566685172433,767.973371881681,49.9920677375141,1104,0.668508033117465,132,-0.0514266459058653,0.668508033117465,1104,"exp190831_2","B11","B","11","exp190831","40000","2","BPH2741","3","VAN-031",0.0667336532002684,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_B12",330,0.00152209875064647,455.389100257489,68.4001604501941,1104,0.749002346970087,126,-0.0101782562435135,0.749002346970087,1104,"exp190831_2","B12","B","12","exp190831","40000","2","BPH2740","2","VAN-030",0.0791939987010182,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C01",330,0.000311140839087842,2227.76020850241,20.5216698551797,1104,0.195212388674056,138,0.0308495610490842,0.195212388674056,1104,"exp190831_2","C01","C","01","exp190831","40000","2","BPH2734","2","VAN-026",0.0851645314830266,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C02",366,0.000222983186511497,3108.51769321275,24.0748915604166,1104,0.195327268238464,216,0.0759581217977243,0.195327268238464,1104,"exp190831_2","C02","C","02","exp190831","40000","2","BPH2737","1","VAN-029",0.0777264140742625,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C03",606,0.00123908514328206,559.402381925066,52.392373272157,1104,0.61341963031393,138,-0.00269611871703555,0.61341963031393,1104,"exp190831_2","C03","C","03","exp190831","40000","2","BPH2750","3","VAN-040",0.091717691912239,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C04",480,0.00132770991853302,522.062214708616,42.2277440774023,918,0.462599995648011,156,-0.0643861579867017,0.441678299821944,1104,"exp190831_2","C04","C","04","exp190831","40000","2","BPH2752","3","VAN-041",0.0680176940817081,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C05",696,0.000711978562429906,973.550633595355,41.4054840838966,1104,0.545048736459069,138,-0.0305055774700417,0.545048736459069,1104,"exp190831_2","C05","C","05","exp190831","40000","2","BPH2741","1","VAN-031",0.0667336532002684,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C06",408,0.00578143173131848,119.891959772717,169.298614881684,654,1.62480435598372,144,-0.061562708765891,1.11757030674326,1104,"exp190831_2","C06","C","06","exp190831","40000","2","BPH2749","3","VAN-039",0.0548811392781732,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C07",300,0.00214743131897218,322.779673760045,62.9249602012608,600,0.520845224936052,126,-0.0419895051068479,0.416680676807484,1104,"exp190831_2","C07","C","07","exp190831","40000","2","BPH2736","1","VAN-028",0.0732427320161947,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C08",552,0.00232588798812733,298.013998996584,90.4413164579954,984,0.996578011109916,150,-0.024337883223834,0.976662481866009,1104,"exp190831_2","C08","C","08","exp190831","40000","2","BPH2746","1","VAN-037",0.0864333422917643,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C09",546,0.00301729624388116,229.72460260261,112.013448284526,1014,1.25865059950415,132,-0.0491808930729376,1.25206308413174,1104,"exp190831_2","C09","C","09","exp190831","40000","2","BPH2746","2","VAN-037",0.0864333422917643,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C10",726,0.00045200797807999,1533.48439446633,10.5921398215744,1104,0.214451573685283,180,-0.0265785507838811,0.214451573685283,1104,"exp190831_2","C10","C","10","exp190831","40000","2","BPH2729","3","VAN-024",0.0674838725668336,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C11",786,0.00178224204182194,388.91865655428,39.6643232584601,1104,0.73269907398343,186,-0.0472204705395774,0.73269907398343,1104,"exp190831_2","C11","C","11","exp190831","40000","2","BPH2747","1","VAN-038",0.0674718341430557,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_C12",444,0.00339629666778514,204.08911480986,116.804575907048,744,1.10181732140583,138,-0.0159667445459069,0.923642061573218,1104,"exp190831_2","C12","C","12","exp190831","40000","2","JE2","2","CONTROL",0.158091602213144,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D01",450,0.00191900782919878,361.20080909172,112.314931573002,1062,1.07676218320724,90,0.0620730855548286,1.07640553032519,1104,"exp190831_2","D01","D","01","exp190831","40000","2","BPH2755","3","VAN-043",0.0817132194790195,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D02",570,0.000777986938278538,890.949637398388,37.1312494691513,1104,0.398000844597252,174,0.0183525640569847,0.398000844597252,1104,"exp190831_2","D02","D","02","exp190831","40000","2","BPH2751","2","VAN-040",0.0877906283250231,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D03",768,0.00133489323989756,519.252895919328,37.2078395915701,1104,0.535606325638516,162,-0.00397195778191762,0.535606325638516,1104,"exp190831_2","D03","D","03","exp190831","40000","2","BPH2747","3","VAN-038",0.0674718341430557,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D04",636,0.000936346777520184,740.267598715588,47.2732087102197,1104,0.575584773902291,162,-0.0253319693951428,0.575584773902291,1104,"exp190831_2","D04","D","04","exp190831","40000","2","BPH2735","3","VAN-027",0.0843516063671784,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D05",366,0.000181720640647633,3814.35580509535,4.96475283175306,1104,0.0950558707432778,174,-0.0279542540302664,0.0950558707432778,1104,"exp190831_2","D05","D","05","exp190831","40000","2","BPH2738","2","VAN-029",0.0675595675146334,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D06",366,0.000178916345818158,3874.14116575144,5.07620591083756,1080,0.0848438617641777,180,-0.0275749094875152,0.0848216609551404,1104,"exp190831_2","D06","D","06","exp190831","40000","2","TOX-4","2","CONTROL",0.167908467895464,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D07",456,0.00490014143503623,141.45452529266,142.974102086544,720,1.42766250505323,180,-0.0372352375546351,1.07564578274148,1104,"exp190831_2","D07","D","07","exp190831","40000","2","BPH2728","2","VAN-024",0.0625717800859144,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D08",324,0.000252462632482378,2745.54366222228,6.78575524707033,1104,0.1004923507162,174,-0.0277110981144664,0.1004923507162,1104,"exp190831_2","D08","D","08","exp190831","40000","2","BPH2742","3","VAN-032",0.0667131229839034,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D09",348,0.00633374510854529,109.437176375281,195.769624349655,612,1.72684895252909,114,-0.0820906505414158,1.25610073495136,1104,"exp190831_2","D09","D","09","exp190831","40000","2","BPH2733","3","VAN-026",0.0449200379522464,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D10",678,0.00107959601872554,642.043105511081,44.4578894815794,1104,0.612645256048337,168,-0.0371101278950665,0.612645256048337,1104,"exp190831_2","D10","D","10","exp190831","40000","2","BPH2735","1","VAN-027",0.0843516063671784,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
