"sample_id","number_of_replicates"
"BPH2982",0
"BPH2978",0
"BPH2980",0
"BPH2977",0
"BPH2979",0
"BPH2981",0
"BPH2976",0
"BPH2714",2
"BPH2751",2
"BPH2843",2
"BPH2877",2
"BPH2926",2
"BPH3433",2
"BPH3632",2
"BPH3662",2
"BPH3664",2
"BPH2704",3
"BPH2705",3
"BPH2708",3
"BPH2709",3
"BPH2710",3
"BPH2713",3
"BPH2718",3
"BPH2726",3
"BPH2727",3
"BPH2728",3
"BPH2729",3
"BPH2730",3
"BPH2737",3
"BPH2738",3
"BPH2747",3
"BPH2748",3
"BPH2750",3
"BPH2754",3
"BPH2755",3
"BPH2800",3
"BPH2812",3
"BPH2813",3
"BPH2814",3
"BPH2815",3
"BPH2819",3
"BPH2820",3
"BPH2824",3
"BPH2825",3
"BPH2831",3
"BPH2832",3
"BPH2833",3
"BPH2840",3
"BPH2841",3
"BPH2842",3
"BPH2847",3
"BPH2849",3
"BPH2850",3
"BPH2852",3
"BPH2857",3
"BPH2858",3
"BPH2861",3
"BPH2862",3
"BPH2863",3
"BPH2864",3
"BPH2866",3
"BPH2867",3
"BPH2869",3
"BPH2872",3
"BPH2873",3
"BPH2876",3
"BPH2881",3
"BPH2882",3
"BPH2883",3
"BPH2884",3
"BPH2887",3
"BPH2888",3
"BPH2890",3
"BPH2891",3
"BPH2896",3
"BPH2897",3
"BPH2898",3
"BPH2907",3
"BPH2922",3
"BPH2923",3
"BPH2924",3
"BPH2925",3
"BPH2946",3
"BPH2947",3
"BPH2948",3
"BPH2952",3
"BPH2953",3
"BPH2959",3
"BPH2960",3
"BPH2961",3
"BPH2964",3
"BPH2965",3
"BPH2966",3
"BPH2973",3
"BPH2974",3
"BPH2975",3
"BPH2987",3
"BPH2988",3
"BPH2989",3
"BPH2990",3
"BPH2991",3
"BPH3202",3
"BPH3204",3
"BPH3208",3
"BPH3216",3
"BPH3220",3
"BPH3306",3
"BPH3328",3
"BPH3394",3
"BPH3396",3
"BPH3403",3
"BPH3423",3
"BPH3453",3
"BPH3455",3
"BPH3483",3
"BPH3525",3
"BPH3529",3
"BPH3533",3
"BPH3545",3
"BPH3547",3
"BPH3548",3
"BPH3568",3
"BPH3584",3
"BPH3588",3
"BPH3590",3
"BPH3596",3
"BPH3602",3
"BPH3612",3
"BPH3628",3
"BPH3634",3
"BPH3636",3
"BPH3638",3
"BPH3640",3
"BPH3643",3
"BPH3644",3
"BPH3646",3
"BPH3648",3
"BPH3650",3
"BPH3652",3
"BPH3658",3
"BPH3660",3
"BPH3666",3
"BPH3668",3
"BPH3670",3
"BPH3676",3
"BPH3690",3
"BPH3698",3
"BPH3708",3
"BPH3712",3
"BPH3415",4
"BPH3523",4
"BPH3745",4
"BPH3268",5
"BPH3274",5
"BPH3366",5
"BPH3389",5
"BPH3401",5
"BPH3508",5
"BPH3737",5
"BPH3738",5
"BPH3741",5
"BPH3742",5
"BPH3748",5
"BPH2763",6
"BPH2764",6
"BPH2770",6
"BPH2771",6
"BPH2777",6
"BPH2778",6
"BPH2779",6
"BPH2780",6
"BPH2781",6
"BPH2783",6
"BPH2798",6
"BPH2902",6
"BPH2904",6
"BPH2942",6
"BPH2943",6
"BPH2962",6
"BPH2963",6
"BPH3226",6
"BPH3236",6
"BPH3244",6
"BPH3246",6
"BPH3250",6
"BPH3258",6
"BPH3260",6
"BPH3262",6
"BPH3270",6
"BPH3272",6
"BPH3282",6
"BPH3284",6
"BPH3292",6
"BPH3294",6
"BPH3304",6
"BPH3316",6
"BPH3320",6
"BPH3332",6
"BPH3336",6
"BPH3337",6
"BPH3338",6
"BPH3340",6
"BPH3346",6
"BPH3348",6
"BPH3352",6
"BPH3356",6
"BPH3362",6
"BPH3368",6
"BPH3370",6
"BPH3372",6
"BPH3376",6
"BPH3381",6
"BPH3382",6
"BPH3413",6
"BPH3417",6
"BPH3427",6
"BPH3431",6
"BPH3434",6
"BPH3435",6
"BPH3437",6
"BPH3439",6
"BPH3443",6
"BPH3457",6
"BPH3459",6
"BPH3460",6
"BPH3462",6
"BPH3463",6
"BPH3465",6
"BPH3469",6
"BPH3473",6
"BPH3477",6
"BPH3479",6
"BPH3481",6
"BPH3482",6
"BPH3485",6
"BPH3489",6
"BPH3493",6
"BPH3499",6
"BPH3501",6
"BPH3511",6
"BPH3524",6
"BPH3527",6
"BPH3535",6
"BPH3706",6
"BPH3733",6
"BPH3734",6
"BPH3735",6
"BPH3736",6
"BPH3739",6
"BPH3743",6
"BPH3744",6
"BPH3746",6
"BPH3747",6
"BPH3749",6
"BPH3750",6
"BPH3751",6
"BPH3752",6
"BPH3757",6
"BPH3753",8
"BPH2787",9
"BPH2799",9
"BPH2801",9
"BPH2802",9
"BPH2803",9
"BPH2807",9
"BPH2808",9
"BPH3672",9
"BPH3674",9
"BPH3682",9
"BPH3684",9
"BPH3686",9
"BPH3688",9
"BPH3692",9
"BPH3694",9
"BPH3696",9
"BPH3700",9
"BPH3702",9
"BPH3704",9
"BPH3710",9
"BPH3754",9
"BPH3755",9
