"sample_id","time_of_max_rate_growth_mean","max_rate_growth_mean","doubling_time_growth_mean","AUC_growth_mean","time_of_max_growth_mean","max_growth_mean","time_of_min_growth_mean","min_growth_mean","end_point_growth_mean","end_point_timepoint_growth_mean","time_of_max_rate_growth_sd","max_rate_growth_sd","doubling_time_growth_sd","AUC_growth_sd","time_of_max_growth_sd","max_growth_sd","time_of_min_growth_sd","min_growth_sd","end_point_growth_sd","end_point_timepoint_growth_sd","time_of_max_rate_growth_median","max_rate_growth_median","doubling_time_growth_median","AUC_growth_median","time_of_max_growth_median","max_growth_median","time_of_min_growth_median","min_growth_median","end_point_growth_median","end_point_timepoint_growth_median","time_of_max_rate_growth_mad","max_rate_growth_mad","doubling_time_growth_mad","AUC_growth_mad","time_of_max_growth_mad","max_growth_mad","time_of_min_growth_mad","min_growth_mad","end_point_growth_mad","end_point_timepoint_growth_mad","time_of_max_rate_growth_IQR","max_rate_growth_IQR","doubling_time_growth_IQR","AUC_growth_IQR","time_of_max_growth_IQR","max_growth_IQR","time_of_min_growth_IQR","min_growth_IQR","end_point_growth_IQR","end_point_timepoint_growth_IQR"
"Blank",588.333333333333,0.000478647068539088,303844.557342308,4.01028771097959,166.666666666667,0.162726119206444,865,-0.0251526189549753,0.0973585352495669,930,174.289031974667,0.00119127567213836,976778.783452729,4.57329857868088,375.002222215638,0.271123334217151,159.216833280907,0.10644504196648,0.32082954493729,0,515,-1.13536182073694e-07,-10855.3869944722,5.60413585680517,0,0.0604253482706718,930,0.019227572865309,0.0584642852714245,930,51.891,5.52880840704933e-06,795820.18673794,3.0953844444966,0,0.00181472489554178,0,0.059282564518156,0.133494305161215,0,105,5.88488909735043e-06,1176213.55504543,3.66640862729991,52.5,0.00192512560534758,0,0.153674589767212,0.13512024540716,0
"BPH2700",253.333333333333,0.00286495459811806,242.475474307854,71.1545535849065,863.333333333333,1.08675683192895,0,-0.0129440876042938,1.07917219869333,930,46.1880215351701,0.000163986750825379,14.0388620872909,6.66891217206155,115.470053837925,0.0540745196352266,0,0.0186659805885563,0.0667658378407728,0,280,0.00288416557194509,240.328498232674,69.3437532614376,930,1.10115335394864,0,-0.00649889254575273,1.10115335394864,930,0,0.00019914898223144,15.8560009343909,5.58303909131285,0,0.0459943856019841,0,0.0120744388837935,0.0459943856019841,0,40,0.000163140609014824,13.9151902252692,6.48190876209043,100,0.0526175711058847,0,0.0178118900407952,0.0639945209593114,0
"BPH2701",200,0.00302422969952542,229.338674960363,73.0209749692054,746.666666666667,1.08347479850538,0,-0.0329252814894833,1.05561876625612,930,78.1024967590665,9.22537527991737e-05,6.92154757611225,1.75240317557625,162.583311976763,0.0431004901717164,0,0.012579083106885,0.0661752354033461,0,240,0.00300038458809859,231.019444410361,72.6719887275593,690,1.08274935377281,0,-0.0279902376260227,1.0437274937726,930,14.826,8.02755846750819e-05,6.29453963213831,1.78307069183369,103.782,0.0622806812037678,0,0.00656526931177159,0.0704711221694104,0,70,8.99128072151707e-05,6.76676299203325,1.72614406760445,155,0.043095911064708,0,0.0118307792794561,0.065369029438491,0
"BPH2702",250,0.00283550557756178,244.471361957293,69.896954475006,930,1.0658579967747,0,-0.0205987738394964,1.0658579967747,930,26.4575131106459,3.03811605462113e-05,2.60341464628391,2.68074831031314,0,0.0248703077334761,0,0.01296867922908,0.0248703077334761,0,240,0.00281920119350972,245.866517847569,71.2802902876497,930,1.07638838819845,0,-0.025698123254029,1.07638838819845,930,14.826,3.62345285903957e-06,0.316280627415956,0.479119736915089,0,0.0108858070112723,0,0.00673780258384715,0.0108858070112723,0,25,2.69005615489122e-05,2.30606219600782,2.39816555419759,0,0.0231379633741764,0,0.0121936097037814,0.0231379633741764,0
"BPH2703",260,0.00292795430489713,236.737475101994,71.5561380662046,850,1.10514951060497,0,-0.0198924212010378,1.10508713604779,930,20,1.31629145241655e-05,1.06308001289368,1.96503828267887,138.56406460551,0.0401930331648338,0,0.0107431134382528,0.0402585679629035,0,260,0.00292567134629065,236.919017386816,72.0261599098616,930,1.08722656795584,0,-0.0214192976221828,1.08722656795584,930,29.652,1.42168694315758e-05,1.15505891326883,1.80489306802398,0,0.0151085705422245,0,0.0124110075097591,0.015386000097684,0,20,1.3013584969997e-05,1.05138999088365,1.92241646171101,120,0.0370750051933397,0,0.0106614245128445,0.0371685670291213,0
"BPH2704",233.333333333333,0.00274803073045562,252.389503313348,69.4188500370879,780,1.03201222450753,0,-0.0222281509332009,1.02277993020789,930,28.8675134594813,8.36716255823581e-05,7.65480036128032,3.46655085451411,130.76696830622,0.039215935143057,0,0.0102021420109674,0.0463683344425272,0,250,0.00273999353672554,252.974020292142,68.4081996911237,720,1.02791064199671,0,-0.0170766196629609,1.0134097633896,930,0,0.000105747665887278,10.024257438725,2.72540832457862,44.478,0.0487810409341963,0,0.00214631377065398,0.0468464342743349,0,25,8.33816140723073e-05,7.63804448122576,3.35423824967522,120,0.0390547351139992,0,0.0091749657106035,0.0456527372599065,0
"BPH2705",276.666666666667,0.00269472825999501,257.288786503166,65.4441470481431,900,1.02810598031416,0,-0.00170629137536717,1.02796942046174,930,32.1455025366432,5.27021919000547e-05,5.01478890696877,1.59761503715355,51.9615242270663,0.0255178453754797,0,0.0165341085776927,0.0257151878627574,0,290,0.0026881758593407,257.850385104621,64.826616900518,930,1.02625575089661,0,0.00508993817523784,1.02625575089661,930,14.826,6.31101392771679e-05,6.15093759036187,0.858648223209817,0,0.0336433718057282,0,0.00779360374412197,0.0342507627173152,0,30,5.23958067532048e-05,4.99114846899892,1.50544551363366,45,0.0254674875269181,0,0.01545105803434,0.0256723273055459,0
"BPH2706",263.333333333333,0.00278414450708432,248.968234380404,67.8685800746097,780,1.03728001040903,0,-0.0137534930349516,1.02592750499508,930,11.5470053837925,1.6538179699045e-05,1.48398698634537,0.868920382694128,130,0.0183624036101104,0,0.00297261707716413,0.0285998674489019,0,270,0.00279342196366557,248.13550891194,68.2193500876477,710,1.03353408367319,0,-0.0128462449256603,1.01940103942539,930,0,7.99409484200628e-07,0.0709966488349367,0.426892767902651,14.826,0.0184653067104897,0,0.00223284005757345,0.0270516774870975,0,10,1.44553791819957e-05,1.29697478628947,0.814090246794734,115,0.0180735688508902,0,0.00286690215015936,0.0280358048479177,0
"BPH2707",230,0.00284723967461869,243.614003271131,71.9488708217443,833.333333333333,1.06996245528909,0,-0.0287406992956673,1.06885087420905,930,17.3205080756888,9.13404877125876e-05,7.88813332333039,2.33288340761516,167.431578064991,0.0668269042612015,0,0.00199351861845295,0.068750459014174,0,240,0.00286467656164624,241.963504655344,72.834254383197,930,1.10561099670905,0,-0.0282547088151592,1.10561099670905,930,0,9.47800188460346e-05,7.83079555985298,1.29756974416505,0,0.00859226360499128,0,0.00180817519777647,0.00859226360499128,0,15,9.00835774359839e-05,7.75754716815175,2.2032741443947,145,0.0592682145345005,0,0.00194858318317701,0.0609355861545493,0
"BPH2708",223.333333333333,0.00296177693754153,234.269868303738,73.9047473823042,810,1.09009588513157,0,-0.0292961418986494,1.08425319110185,930,51.3160143944688,0.000114578122880154,9.26768961858391,5.433712325595,108.16653826392,0.0328690356391654,0,0.0216351572336455,0.0396021128804879,0,210,0.00302211760228943,229.358109702563,76.2237077326064,780,1.10778449360405,0,-0.0389846294827729,1.10644391917057,930,44.478,1.69856170511261e-05,1.28422405571217,2.32845947384844,88.956,0.0037778908431048,0,0.00801965418744866,0.00198753565508372,0,50,0.000101967638866831,8.23383516043705,5.04896492437982,105,0.0290810651727063,0,0.0199419140198171,0.0346266665365595,0
"BPH2709",213.333333333333,0.00297779159311195,232.878370355214,75.5761411763844,806.666666666667,1.12421561345077,0,-0.0362237108129814,1.11886325916615,930,32.1455025366432,7.8420013458713e-05,6.04584166372478,2.69424794204734,125.033328890074,0.0482268440242122,0,0.00846707991341407,0.0561576211159468,0,200,0.00294116285826756,235.67113212093,74.3493667869536,810,1.13389270459788,0,-0.0387392978496705,1.13261138329063,930,14.826,2.48702445040888e-05,2.00424788421243,0.942593563660082,177.912,0.0488923771796489,0,0.00653623591915219,0.0507920641497771,0,30,7.17178523705168e-05,5.54098932617597,2.47593223277696,125,0.0474930933371756,0,0.00818201128426082,0.0548809641104797,0
"BPH2710",330,0.00272790084507654,254.116229193618,65.2758587664973,886.666666666667,1.13797751896171,0,0.0206260732639151,1.13784774572666,930,26.4575131106459,3.01269635762192e-05,2.8228534902309,1.94709861783748,75.0555349946514,0.0561463293495007,0,0.0107758034810284,0.0563220130880879,0,320,0.00274081437687196,252.898257689024,65.6432964928816,930,1.12821124758581,0,0.0176159097232605,1.12821124758581,930,14.826,1.27563732189489e-05,1.17336252754255,2.03081181853045,0,0.0605734400687871,0,0.00880735107338058,0.0611506454636262,0,25,2.79743535537367e-05,2.61837943923462,1.92092039541122,65,0.0555056326599548,0,0.0104557222254433,0.0557002925125243,0
"BPH2711",236.666666666667,0.00278579605072184,248.847822600199,69.3743132933065,843.333333333333,1.03622137392431,0,-0.023891014676721,1.03088648275129,930,15.2752523165195,3.93102310165328e-05,3.514500927791,1.80219157889546,150.111069989303,0.0329653711023028,0,0.00503254361445005,0.041947387450468,0,240,0.00278721153875308,248.688400906248,68.9693971873768,930,1.04584794438232,0,-0.0212539313106563,1.04584794438232,930,14.826,5.51051002449102e-05,4.8520390590067,1.72036761741176,0,0.0258771729655901,0,0.000784126279821251,0.0258771729655901,0,15,3.92911129620714e-05,3.51178805084635,1.7677462197416,130,0.0318937697336839,0,0.00448451097909916,0.0398961064932055,0
"BPH2712",316.666666666667,0.002769626962409,250.322690425012,61.3451573899159,766.666666666667,1.01038444497408,13.3333333333333,0.0174259700985332,0.987051063252784,930,30.5505046330389,5.02509486088928e-05,4.57592289607988,2.42541114974333,143.643076176102,0.038069436070782,23.094010767585,0.0156270860313282,0.057654037383155,0,310,0.00278459247140965,248.922306469159,60.3315647801912,710,0.997598085805367,0,0.0153119160576104,0.960466497457367,930,29.652,3.86996635289993e-05,3.42734070359996,1.09802040895255,74.13,0.0255657417566459,0,0.018307719070428,0.0192453712071443,0,30,4.85508289461388e-05,4.41228556793533,2.26099353414222,135,0.0364233953270947,20,0.0155194684014813,0.0528576737350415,0
"BPH2713",443.333333333333,0.00234045603430677,296.265076942289,47.4192809869283,886.666666666667,0.969749814008833,86.6666666666667,0.0528179115177994,0.962299445373741,930,51.3160143944688,5.40769591152439e-05,6.88531288607458,4.55347197399124,75.0555349946514,0.0154851824529416,80.8290376865476,0.00657709713085779,0.0280519066757325,0,430,0.00234943160316194,295.027605667296,48.0146003036755,930,0.973538741426996,100,0.0500488767514572,0.973538741426996,930,44.478,5.93811484331529e-05,7.33174220470763,5.38363478370467,0,0.0140107840782021,88.956,0.00292189019788416,0.0140107840782021,0,50,5.35153891880295e-05,6.801399280429,4.5241908891264,65,0.0151335355210145,80,0.00612434008819144,0.0263090884736523,0
