PAIR_ID	n_snippy	n_noref	n_mask
GP-0001	1	0	0
GP-0002	24	22	0
GP-0003	3	0	0
GP-0004	23	21	1
GP-0005	164	159	45
GP-0006	118	113	48
GP-0007	154	148	70
GP-0008	100	94	52
GP-0009	95	89	29
GP-0010	109	103	45
GP-0011	133	127	41
GP-0012	62	60	2
GP-0013	2	2	2
GP-0014	60	54	52
GP-0015	60	54	52
GP-0016	60	54	52
GP-0017	52	46	46
GP-0018	24	20	16
GP-0019	78	74	68
GP-0020	39	35	33
GP-0021	88	84	79
GP-0022	83	79	75
GP-0023	25	25	17
GP-0024	74	74	66
GP-0025	38	38	31
GP-0026	77	77	74
GP-0027	75	75	72
GP-0028	96	96	87
GP-0029	17	15	5
GP-0030	2	1	0
GP-0031	9	9	6
GP-0032	6	6	6
GP-0033	69	65	0
GP-0034	75	71	5
GP-0035	7	4	1
GP-0036	52	51	1
GP-0037	55	14	1
GP-0038	39	33	2
GP-0039	5	4	2
GP-0040	4	4	1
GP-0041	28	22	0
GP-0042	1	0	0
GP-0043	32	30	29
GP-0044	47	41	30
GP-0045	7	3	2
GP-0046	5	3	2
GP-0047	11	0	0
GP-0048	2	0	0
GP-0049	39	38	38
GP-0050	50	47	47
GP-0051	6	2	2
GP-0052	70	68	67
GP-0053	46	44	44
GP-0054	21	19	18
GP-0055	37	35	35
GP-0056	37	35	35
GP-0057	581	578	577
GP-0058	74	72	70
GP-0059	71	67	65
GP-0060	63	61	59
GP-0061	121	119	33
GP-0062	62	62	58
GP-0063	64	64	60
GP-0064	58	58	56
GP-0065	64	64	61
GP-0066	59	59	56
GP-0067	77	77	70
GP-0068	45	45	42
GP-0069	55	55	51
GP-0070	58	58	55
GP-0071	58	58	55
GP-0072	57	57	53
GP-0073	57	57	54
GP-0074	89	89	82
GP-0075	71	71	67
GP-0076	36	36	32
GP-0077	35	35	33
GP-0078	73	73	70
GP-0079	40	40	37
GP-0080	82	82	78
GP-0081	53	53	51
GP-0082	81	81	79
GP-0083	81	81	78
GP-0084	95	95	93
GP-0085	55	55	54
GP-0086	57	57	54
GP-0087	52	52	49
GP-0088	54	54	50
GP-0089	75	75	72
GP-0090	51	51	48
GP-0091	49	49	46
GP-0092	53	53	51
GP-0093	56	56	54
GP-0094	52	52	50
GP-0095	78	78	74
GP-0096	54	54	51
GP-0097	55	55	53
GP-0098	53	52	47
GP-0099	3	1	0
GP-0100	3	1	0
GP-0101	54	52	51
GP-0102	52	51	47
GP-0103	2	0	0
GP-0104	2	0	0
GP-0105	53	51	51
GP-0106	57	52	47
GP-0107	5	0	0
GP-0108	5	0	0
GP-0109	58	52	52
GP-0110	10	10	9
GP-0111	28	28	25
GP-0112	15	11	9
GP-0113	36	32	30
GP-0114	26	26	24
GP-0115	31	31	29
GP-0116	2	0	0
GP-0117	2	0	0
GP-0118	13	10	0
GP-0119	13	10	0
GP-0120	13	10	0
GP-0121	2	0	0
GP-0122	2	0	0
GP-0123	2	0	0
GP-0124	6	0	0
GP-0125	6	0	0
GP-0126	6	0	0
GP-0127	1	0	0
GP-0128	1	0	0
GP-0129	1	0	0
GP-0130	7	2	2
GP-0131	2	2	2
GP-0132	2	0	0
GP-0133	2	0	0
GP-0134	27	21	0
GP-0135	27	21	0
GP-0136	2	0	0
GP-0137	4	2	0
GP-0138	16	3	0
GP-0139	13	1	0
GP-0140	25	6	0
GP-0141	9	7	0
GP-0142	24	22	0
GP-0143	8	2	0
GP-0144	44	43	42
GP-0145	70	62	1
GP-0146	2	2	1
GP-0147	4	4	1
GP-0148	2	2	1
GP-0149	40	36	35
GP-0150	42	37	36
GP-0151	2	2	1
GP-0152	32	20	2
GP-0153	4	4	0
GP-0154	2	2	0
GP-0155	11	11	1
GP-0156	24	12	2
GP-0157	64	64	60
GP-0158	61	61	59
GP-0159	82	82	77
GP-0160	73	73	71
