well,sample_id,replicate,plate_number
A01,NE823,2,1
A02,NE286,3,1
A03,A477D,1,1
A04,NE282,1,1
A05,NRS384,3,1
A06,NE385,1,1
A07,JE2,2,1
A08,Non infected,1,1
A09,NE564,2,1
A10,NE398,3,1
A11,LAD-63,3,1
A12,NE424,3,1
B01,NE858,2,1
B02,H481N-L466S,1,1
B03,NE858,1,1
B04,NE286,1,1
B05,NE896,3,1
B06,rbf SSR ST8,3,1
B07,NE385,2,1
B08,NE228,3,1
B09,NE282,2,1
B10,NE841,1,1
B11,NE363,3,1
B12,NE286,2,1
C01,LAD-63,2,1
C02,NE1887,1,1
C03,NE823,3,1
C04,NE858,3,1
C05,NE363,1,1
C06,NE81,3,1
C07,NE186,1,1
C08,NE52,1,1
C09,NE52,2,1
C10,BPH2986,3,1
C11,NE564,1,1
C12,SCV,2,1
D01,Non infected,3,1
D02,NE841,2,1
D03,NE564,3,1
D04,NCV,3,1
D05,NE228,2,1
D06,rbf SSR ST8,2,1
D07,A477D,2,1
D08,NE385,3,1
D09,L466S,3,1
D10,NCV,1,1
D11,NE424,1,1
D12,NE841,3,1
E01,SCV,1,1
E02,NE81,2,1
E03,NE683,2,1
E04,NCV,2,1
E05,rbf SSR ST8,1,1
E06,NE81,1,1
E07,NRS384,1,1
E08,H481Y,2,1
E09,L466S,2,1
E10,NE282,3,1
E11,JE2,1,1
E12,NE683,3,1
F01,NE896,1,1
F02,NE683,1,1
F03,NE391,2,1
F04,NE823,1,1
F05,NEB agrA,2,1
F06,NEB agrA,1,1
F07,NE391,3,1
F08,H481Y,3,1
F09,L466S,1,1
F10,NE398,2,1
F11,SCV,3,1
F12,Non infected,2,1
G01,NE363,2,1
G02,NE896,2,1
G03,H481N-L466S,3,1
G04,NE1887,2,1
G05,NEB agrA,3,1
G06,NE391,1,1
G07,NE228,1,1
G08,H481Y,1,1
G09,NE398,1,1
G10,NE186,2,1
G11,A477D,3,1
G12,NE52,3,1
H01,NRS384,2,1
H02,NE1887,3,1
H03,H481N-L466S,2,1
H04,JE2,3,1
H05,NE186,3,1
H06,LAD-63,1,1
H07,BPH2986,2,1
H08,NE424,2,1
H09,BPH2986,1,1
H10,Maximum cell death,1,1
H11,Maximum cell death,2,1
H12,Maximum cell death,3,1
