mdu_id,studyid,plate
AUS0325,BOR-01,1
AUS0328,BOR-01,1
2014-21162,BOR-02,1
2014-21163,BOR-02,1
2014-21165,BOR-02,1
2014-21166,BOR-02,1
BPH3835,BOR-02,1
∆rbf ST5,HM_mutant_ST5,1
LAD-42,HM_mutant_ST5,1
LAD-47,HM_mutant_ST5,1
LAD-65,HM_mutant_ST5,1
LAD-66,HM_mutant_ST5,1
LAD-68,HM_mutant_ST5,1
rbf SSR ST5,HM_mutant_ST5,1
∆rbf ST8,HM_mutant_ST8,1
hsdR SSR ST8,HM_mutant_ST8,1
LAD-44,HM_mutant_ST8,1
LAD-48,HM_mutant_ST8,1
LAD-61,HM_mutant_ST8,1
LAD-62,HM_mutant_ST8,1
LAD-63,HM_mutant_ST8,1
LAD-64,HM_mutant_ST8,1
LAD-67,HM_mutant_ST8,1
mutL SSR ST8,HM_mutant_ST8,1
rbf SSR ST8,HM_mutant_ST8,1
NE1,NEBRASKA,2
NE1183,NEBRASKA,2
NE1189,NEBRASKA,2
NE1246,NEBRASKA,2
NE1253,NEBRASKA,2
NE1261,NEBRASKA,2
NE130,NEBRASKA,2
NE1300,NEBRASKA,2
NE1335,NEBRASKA,2
NE1446,NEBRASKA,2
NE1483,NEBRASKA,2
NE150,NEBRASKA,2
NE1511,NEBRASKA,2
NE1531,NEBRASKA,2
NE154,NEBRASKA,2
NE1558,NEBRASKA,2
NE1686,NEBRASKA,2
NE1687,NEBRASKA,2
NE17,NEBRASKA,2
NE1702,NEBRASKA,2
NE1729,NEBRASKA,2
NE1743,NEBRASKA,2
NE178,NEBRASKA,2
NE1801,NEBRASKA,2
NE1811,NEBRASKA,2
NE1820,NEBRASKA,2
NE1848,NEBRASKA,2
NE185,NEBRASKA,2
NE186,NEBRASKA,3
NE1887,NEBRASKA,3
NE1897,NEBRASKA,3
NE228,NEBRASKA,3
NE242,NEBRASKA,3
NE247,NEBRASKA,3
NE282,NEBRASKA,3
NE286,NEBRASKA,3
NE29,NEBRASKA,3
NE300,NEBRASKA,3
NE302,NEBRASKA,3
NE319,NEBRASKA,3
NE338,NEBRASKA,3
NE346,NEBRASKA,3
NE348,NEBRASKA,3
NE35,NEBRASKA,3
NE354,NEBRASKA,3
NE363,NEBRASKA,3
NE376,NEBRASKA,3
NE382,NEBRASKA,3
NE385,NEBRASKA,3
NE390,NEBRASKA,3
NE391,NEBRASKA,3
NE398,NEBRASKA,3
NE402,NEBRASKA,3
NE424,NEBRASKA,3
NE432,NEBRASKA,3
NE455,NEBRASKA,3
NE46,NEBRASKA,4
NE472,NEBRASKA,4
NE479,NEBRASKA,4
NE488,NEBRASKA,4
NE509,NEBRASKA,4
NE515,NEBRASKA,4
NE52,NEBRASKA,4
NE558,NEBRASKA,4
NE564,NEBRASKA,4
NE567,NEBRASKA,4
NE575,NEBRASKA,4
NE607,NEBRASKA,4
NE683,NEBRASKA,4
NE712,NEBRASKA,4
NE728,NEBRASKA,4
NE741,NEBRASKA,4
NE781,NEBRASKA,4
NE81,NEBRASKA,4
NE822,NEBRASKA,4
NE823,NEBRASKA,4
NE834,NEBRASKA,4
NE841,NEBRASKA,4
NE858,NEBRASKA,4
NE866,NEBRASKA,4
NE872,NEBRASKA,4
NE874,NEBRASKA,4
NE982,NEBRASKA,4
NE896,NEBRASKA,4
NE954,NEBRASKA,1
NE97,NEBRASKA,1
NE89,NEBRASKA,1
