well,sample_id,replicate,plate_number
A01,NE390,2,1
A02,NE1511,3,1
A03,∆rbf ST8,1,1
A04,NE1446,1,1
A05,NE834,3,1
A06,NE154,1,1
A07,LAD-42,2,1
A08,NE822,1,1
A09,NE29,2,1
A10,NE1686,3,1
A11,LAD-61,3,1
A12,NE1702,3,1
B01,NE46,2,1
B02,BPH2986,1,1
B03,NE46,1,1
B04,NE1511,1,1
B05,NE515,3,1
B06,NEB agrA,3,1
B07,NE154,2,1
B08,NE1335,3,1
B09,NE1446,2,1
B10,NE432,1,1
B11,NE1531,3,1
B12,NE1511,2,1
C01,LAD-61,2,1
C02,NE1189,1,1
C03,NE390,3,1
C04,NE46,3,1
C05,NE1531,1,1
C06,NE382,3,1
C07,NE1183,1,1
C08,NE1743,1,1
C09,NE1743,2,1
C10,BPH2819,3,1
C11,NE29,1,1
C12,Non infected,2,1
D01,NE822,3,1
D02,NE432,2,1
D03,NE29,3,1
D04,LAD-65,3,1
D05,NE1335,2,1
D06,NEB agrA,2,1
D07,∆rbf ST8,2,1
D08,NE154,3,1
D09,LAD-47,3,1
D10,LAD-65,1,1
D11,NE1702,1,1
D12,NE432,3,1
E01,Non infected,1,1
E02,NE382,2,1
E03,NE346,2,1
E04,LAD-65,2,1
E05,NEB agrA,1,1
E06,NE382,1,1
E07,NE834,1,1
E08,JE2,2,1
E09,LAD-47,2,1
E10,NE1446,3,1
E11,LAD-42,1,1
E12,NE346,3,1
F01,NE515,1,1
F02,NE346,1,1
F03,NE1558,2,1
F04,NE390,1,1
F05,NE558,2,1
F06,NE558,1,1
F07,NE1558,3,1
F08,JE2,3,1
F09,LAD-47,1,1
F10,NE1686,2,1
F11,Non infected,3,1
F12,NE822,2,1
G01,NE1531,2,1
G02,NE515,2,1
G03,BPH2986,3,1
G04,NE1189,2,1
G05,NE558,3,1
G06,NE1558,1,1
G07,NE1335,1,1
G08,JE2,1,1
G09,NE1686,1,1
G10,NE1183,2,1
G11,∆rbf ST8,3,1
G12,NE1743,3,1
H01,NE834,2,1
H02,NE1189,3,1
H03,BPH2986,2,1
H04,LAD-42,3,1
H05,NE1183,3,1
H06,LAD-61,1,1
H07,BPH2819,2,1
H08,NE1702,2,1
H09,BPH2819,1,1
H10,Maximum cell death,1,1
H11,Maximum cell death,2,1
H12,Maximum cell death,3,1
