variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
EW033_RS00085	2.92E-01	2.53E-02	2.86E-02	3.04E-01	1.38E-01	1.11E-01	
EW033_RS00135	2.07E-02	2.25E-02	1.32E-01	5.10E-01	3.38E-01	7.67E-02	
EW033_RS00630	1.55E-02	7.79E-01	3.56E-01	-3.64E-01	3.94E-01	4.71E-02	
EW033_RS00650	6.72E-02	9.11E-05	1.83E-01	4.25E-01	3.18E-01	6.79E-02	
EW033_RS00655	1.29E-02	1.56E-02	1.03E-01	8.86E-01	5.41E-01	8.31E-02	
EW033_RS00675	1.81E-02	7.71E-02	2.36E-02	7.53E-01	3.31E-01	1.15E-01	
EW033_RS00690	1.55E-02	2.03E-01	5.03E-02	-8.17E-01	4.16E-01	9.96E-02	
EW033_RS00740	4.65E-01	1.14E-02	2.95E-01	4.47E-01	4.26E-01	5.34E-02	
EW033_RS00770	1.03E-02	3.08E-01	6.26E-01	2.18E-01	4.47E-01	2.49E-02	
EW033_RS00785	9.30E-02	1.63E-08	4.12E-02	-1.03E+00	5.03E-01	1.04E-01	
EW033_RS00790	9.04E-02	3.19E-08	1.25E-01	-9.87E-01	6.41E-01	7.82E-02	
EW033_RS00795	1.55E-02	5.07E-01	5.47E-01	2.53E-01	4.20E-01	3.07E-02	
EW033_RS00800	2.07E-02	5.44E-02	1.57E-01	-7.95E-01	5.60E-01	7.22E-02	
EW033_RS00840	1.03E-02	4.75E-02	1.22E-01	-8.65E-01	5.59E-01	7.87E-02	
EW033_RS00895	1.55E-02	5.30E-07	9.55E-02	6.23E-01	3.73E-01	8.49E-02	
EW033_RS00910	4.91E-02	3.55E-02	6.80E-01	9.89E-02	2.40E-01	2.10E-02	
EW033_RS01025	1.81E-02	5.62E-01	7.38E-01	-1.15E-01	3.44E-01	1.71E-02	
EW033_RS01030	8.53E-02	2.22E-06	5.66E-01	2.12E-01	3.69E-01	2.92E-02	
EW033_RS01040	1.55E-02	2.01E-01	1.98E-01	4.63E-01	3.59E-01	6.55E-02	
EW033_RS01045	1.63E-01	6.04E-01	8.94E-02	2.82E-01	1.66E-01	8.65E-02	
EW033_RS01050	6.20E-02	5.03E-01	2.04E-01	-3.59E-01	2.82E-01	6.47E-02	
EW033_RS01080	1.81E-02	7.26E-01	5.60E-01	2.30E-01	3.94E-01	2.97E-02	
EW033_RS01085	1.06E-01	3.46E-06	3.77E-01	3.63E-01	4.10E-01	4.51E-02	
EW033_RS01100	3.10E-02	5.26E-06	4.90E-05	1.40E+00	3.42E-01	2.05E-01	
EW033_RS01105	1.03E-02	4.18E-05	8.49E-03	-1.14E+00	4.32E-01	1.34E-01	
EW033_RS01115	4.13E-02	4.64E-01	7.94E-01	-5.93E-02	2.27E-01	1.33E-02	
EW033_RS01135	1.03E-02	3.12E-02	3.89E-02	9.05E-01	4.37E-01	1.05E-01	
EW033_RS01145	1.55E-02	1.92E-01	3.44E-01	-3.49E-01	3.68E-01	4.83E-02	
EW033_RS01150	3.62E-02	5.07E-01	3.76E-01	-2.32E-01	2.62E-01	4.52E-02	
EW033_RS01155	1.03E-02	5.06E-02	3.70E-01	4.01E-01	4.46E-01	4.57E-02	
EW033_RS01165	1.81E-02	5.80E-01	7.02E-01	-1.48E-01	3.87E-01	1.95E-02	
EW033_RS01175	1.03E-02	3.74E-01	8.91E-02	-9.37E-01	5.50E-01	8.65E-02	
EW033_RS01265	1.29E-02	2.67E-01	3.68E-01	-7.48E-01	8.31E-01	4.59E-02	
EW033_RS01305	1.03E-02	8.78E-02	9.39E-01	5.07E-02	6.63E-01	3.90E-03	
EW033_RS01330	1.03E-01	1.17E-05	6.03E-01	1.77E-01	3.41E-01	2.65E-02	
EW033_RS01345	1.42E-01	3.22E-01	3.20E-02	3.97E-01	1.85E-01	1.09E-01	
EW033_RS01355	3.13E-01	5.33E-06	9.40E-01	2.03E-02	2.69E-01	3.84E-03	
EW033_RS01360	6.20E-02	3.37E-01	3.83E-03	-7.51E-01	2.58E-01	1.47E-01	
EW033_RS01390	1.19E-01	3.14E-01	7.28E-01	-5.79E-02	1.66E-01	1.78E-02	
EW033_RS01435	2.69E-01	1.80E-03	1.13E-01	2.11E-01	1.33E-01	8.06E-02	
EW033_RS01500	9.30E-02	2.14E-07	2.77E-01	-7.06E-01	6.48E-01	5.54E-02	
EW033_RS01535	1.81E-02	7.44E-01	5.06E-02	-7.09E-01	3.62E-01	9.94E-02	
EW033_RS01555	1.03E-02	2.72E-02	1.10E-01	-7.06E-01	4.40E-01	8.14E-02	
EW033_RS01560	3.88E-02	6.66E-03	8.22E-01	-6.38E-02	2.83E-01	1.15E-02	
EW033_RS01575	9.90E-01	3.60E-01	3.32E-01	-4.23E-01	4.35E-01	4.95E-02	
EW033_RS01590	1.03E-02	8.55E-01	5.20E-01	-3.07E-01	4.77E-01	3.28E-02	
EW033_RS01595	1.55E-02	5.36E-01	8.03E-01	9.52E-02	3.81E-01	1.27E-02	
EW033_RS01690	6.59E-01	1.33E-08	9.82E-01	-7.09E-03	3.22E-01	1.12E-03	
EW033_RS01695	1.03E-02	5.38E-01	7.83E-01	1.38E-01	5.02E-01	1.41E-02	
EW033_RS01700	1.03E-02	5.49E-01	4.34E-01	-3.54E-01	4.52E-01	3.99E-02	
EW033_RS01720	1.96E-01	6.47E-01	7.33E-01	1.10E-01	3.21E-01	1.74E-02	
EW033_RS01725	1.03E-02	9.97E-02	2.78E-01	5.48E-01	5.04E-01	5.53E-02	
EW033_RS01730	8.53E-02	6.92E-04	5.94E-01	4.76E-01	8.94E-01	2.71E-02	
EW033_RS01735	5.17E-02	9.26E-04	6.65E-01	2.31E-01	5.33E-01	2.20E-02	
EW033_RS01750	1.03E-02	5.19E-02	6.46E-01	3.02E-01	6.58E-01	2.34E-02	
EW033_RS01755	6.20E-02	1.36E-03	8.94E-01	4.14E-02	3.10E-01	6.80E-03	
EW033_RS01760	1.81E-02	9.06E-02	4.13E-01	-3.12E-01	3.81E-01	4.17E-02	
EW033_RS01785	1.29E-02	1.42E-02	2.62E-01	4.50E-01	4.00E-01	5.72E-02	
EW033_RS01790	7.98E-01	1.29E-12	7.91E-03	5.00E-01	1.87E-01	1.35E-01	
EW033_RS02125	4.70E-01	8.30E-03	2.39E-01	4.43E-01	3.76E-01	6.00E-02	
EW033_RS02130	2.84E-02	3.32E-04	8.64E-03	9.32E-01	3.53E-01	1.33E-01	
EW033_RS02135	8.53E-02	6.92E-04	5.94E-01	4.76E-01	8.94E-01	2.71E-02	
EW033_RS02200	3.62E-02	1.58E-01	2.17E-01	-6.87E-01	5.56E-01	6.29E-02	
EW033_RS02210	4.13E-02	5.24E-02	8.37E-01	1.28E-01	6.22E-01	1.05E-02	
EW033_RS02220	8.27E-02	1.62E-01	9.97E-01	-2.07E-03	5.90E-01	1.79E-04	
EW033_RS02240	7.93E-01	4.49E-12	5.75E-03	4.99E-01	1.80E-01	1.40E-01	
EW033_RS02245	8.79E-02	1.73E-08	9.70E-02	-1.31E+00	7.86E-01	8.45E-02	
EW033_RS02250	9.30E-02	2.17E-01	6.99E-01	-1.80E-01	4.66E-01	1.97E-02	
EW033_RS02255	2.17E-01	1.04E-04	4.05E-01	2.40E-01	2.88E-01	4.25E-02	
EW033_RS02325	2.07E-01	4.82E-01	9.99E-01	3.17E-04	3.22E-01	5.02E-05	
EW033_RS02380	5.48E-01	6.90E-04	7.81E-01	-7.07E-02	2.54E-01	1.42E-02	
EW033_RS02385	4.86E-01	1.24E-04	5.70E-01	1.69E-01	2.97E-01	2.90E-02	
EW033_RS02390	9.82E-02	6.49E-03	4.11E-02	-7.11E-01	3.47E-01	1.04E-01	
EW033_RS02395	9.82E-02	7.23E-03	4.68E-01	2.78E-01	3.82E-01	3.70E-02	
EW033_RS02410	2.12E-01	1.04E-02	5.57E-01	-2.54E-01	4.32E-01	3.00E-02	
EW033_RS02415	1.16E-01	2.76E-05	3.82E-01	-4.12E-01	4.71E-01	4.46E-02	
EW033_RS02425	2.33E-02	2.28E-01	3.21E-01	-4.50E-01	4.53E-01	5.06E-02	
EW033_RS02435	1.81E-02	8.29E-01	7.90E-01	-1.33E-01	4.99E-01	1.36E-02	
EW033_RS02455	3.36E-02	3.78E-02	3.15E-01	5.91E-01	5.88E-01	5.12E-02	
EW033_RS02460	4.57E-01	8.56E-04	8.76E-01	-4.94E-02	3.17E-01	7.95E-03	
EW033_RS02465	2.20E-01	3.48E-04	6.53E-01	1.28E-01	2.85E-01	2.29E-02	
EW033_RS02700	2.58E-02	1.34E-01	4.90E-01	-2.07E-01	2.99E-01	3.52E-02	
EW033_RS02710	1.06E-01	1.96E-02	5.93E-01	-9.57E-02	1.79E-01	2.72E-02	
EW033_RS02760	8.01E-02	1.97E-02	7.37E-01	1.04E-01	3.09E-01	1.71E-02	
EW033_RS02765	1.55E-02	1.63E-01	6.73E-01	1.55E-01	3.67E-01	2.15E-02	
EW033_RS02770	3.80E-01	8.76E-02	8.32E-01	4.63E-02	2.18E-01	1.08E-02	
EW033_RS02815	2.84E-02	6.85E-01	1.31E-01	-4.61E-01	3.05E-01	7.69E-02	
EW033_RS02820	1.29E-02	3.67E-01	7.22E-01	-1.48E-01	4.15E-01	1.82E-02	
EW033_RS02830	4.65E-02	4.15E-03	7.09E-01	1.86E-01	4.98E-01	1.90E-02	
EW033_RS02835	1.16E-01	3.78E-04	9.26E-01	-3.22E-02	3.46E-01	4.74E-03	
EW033_RS02840	1.03E-02	4.62E-01	7.16E-01	1.61E-01	4.41E-01	1.86E-02	
EW033_RS02870	1.03E-02	7.94E-02	1.08E-01	-8.01E-01	4.97E-01	8.18E-02	
EW033_RS02880	1.55E-02	4.93E-01	6.10E-01	1.96E-01	3.83E-01	2.60E-02	
EW033_RS02895	1.37E-01	1.68E-04	9.79E-01	-6.97E-03	2.63E-01	1.35E-03	
EW033_RS02905	5.53E-01	4.34E-08	1.81E-01	4.60E-01	3.43E-01	6.81E-02	
EW033_RS02910	5.53E-01	4.34E-08	1.81E-01	4.60E-01	3.43E-01	6.81E-02	
EW033_RS02915	4.65E-02	8.10E-03	9.93E-01	-2.12E-03	2.48E-01	4.36E-04	
EW033_RS02965	1.03E-02	6.39E-01	7.85E-01	-1.22E-01	4.46E-01	1.39E-02	
EW033_RS03000	9.82E-02	9.22E-05	3.81E-01	4.64E-01	5.29E-01	4.47E-02	
EW033_RS03025	4.73E-01	4.99E-02	3.10E-01	-2.88E-01	2.83E-01	5.17E-02	
EW033_RS03030	2.84E-02	4.66E-02	5.31E-01	2.59E-01	4.13E-01	3.19E-02	
EW033_RS03110	6.46E-02	6.47E-01	4.03E-01	-3.54E-01	4.23E-01	4.26E-02	
EW033_RS03140	3.88E-02	7.26E-01	5.81E-01	-2.85E-01	5.16E-01	2.81E-02	
EW033_RS03170	1.29E-02	1.08E-01	1.08E-02	-1.07E+00	4.17E-01	1.29E-01	
EW033_RS03180	3.62E-02	4.34E-02	8.69E-01	5.42E-02	3.28E-01	8.41E-03	
EW033_RS03325	2.58E-02	5.43E-01	5.17E-02	-6.62E-01	3.39E-01	9.90E-02	
EW033_RS03400	1.55E-02	4.18E-01	4.64E-01	-4.45E-01	6.06E-01	3.74E-02	
EW033_RS03425	4.39E-02	7.67E-01	1.23E-01	-5.07E-01	3.28E-01	7.86E-02	
EW033_RS03485	2.07E-02	3.33E-01	1.97E-03	-1.05E+00	3.36E-01	1.57E-01	
EW033_RS03490	7.75E-02	1.40E-01	3.94E-01	5.15E-01	6.04E-01	4.35E-02	
EW033_RS03500	1.50E-01	5.52E-02	3.77E-01	1.59E-01	1.80E-01	4.50E-02	
EW033_RS03510	4.13E-02	1.54E-01	1.95E-01	-6.09E-01	4.69E-01	6.60E-02	
EW033_RS03555	2.82E-01	7.56E-01	5.94E-01	-1.56E-01	2.92E-01	2.72E-02	
EW033_RS03615	1.03E-02	5.67E-01	4.65E-01	3.22E-01	4.41E-01	3.72E-02	
EW033_RS03620	2.84E-02	4.85E-01	9.78E-01	1.63E-02	6.01E-01	1.38E-03	
EW033_RS03625	1.29E-02	8.25E-01	4.83E-01	-2.90E-01	4.13E-01	3.58E-02	
EW033_RS03640	2.33E-02	9.27E-01	6.08E-01	-2.84E-01	5.53E-01	2.61E-02	
EW033_RS03735	8.01E-02	1.79E-01	7.63E-01	2.36E-01	7.83E-01	1.54E-02	
EW033_RS03740	1.03E-02	7.00E-02	5.81E-01	2.61E-01	4.72E-01	2.81E-02	
EW033_RS03825	1.03E-02	4.60E-02	4.71E-01	4.97E-01	6.88E-01	3.68E-02	
EW033_RS03855	4.19E-01	9.99E-09	9.13E-01	-3.45E-02	3.16E-01	5.56E-03	
EW033_RS04000	4.39E-02	3.70E-02	5.77E-01	2.83E-01	5.07E-01	2.85E-02	
EW033_RS04165	7.24E-02	8.30E-01	3.26E-01	-2.34E-01	2.38E-01	5.00E-02	
EW033_RS04190	9.04E-02	7.21E-09	1.13E-01	-9.17E-01	5.77E-01	8.07E-02	
EW033_RS04200	1.11E-01	3.09E-07	1.22E-01	-2.66E-01	1.72E-01	7.87E-02	
EW033_RS04230	1.86E-01	1.44E-03	1.74E-02	-8.11E-01	3.39E-01	1.21E-01	
EW033_RS04335	4.13E-02	5.24E-02	8.37E-01	1.28E-01	6.22E-01	1.05E-02	
EW033_RS04350	1.03E-02	4.12E-01	8.94E-01	5.82E-02	4.38E-01	6.78E-03	
EW033_RS04485	2.07E-01	3.27E-04	8.49E-01	7.87E-02	4.13E-01	9.71E-03	
EW033_RS04530	1.55E-02	2.27E-01	2.19E-01	-7.38E-01	5.99E-01	6.27E-02	
EW033_RS04535	1.29E-02	2.67E-01	3.68E-01	-7.48E-01	8.31E-01	4.59E-02	
EW033_RS04565	1.81E-02	2.04E-01	8.05E-01	8.74E-02	3.53E-01	1.26E-02	
EW033_RS04615	1.81E-02	5.44E-01	2.63E-01	3.80E-01	3.39E-01	5.70E-02	
EW033_RS04635	1.06E-01	4.97E-03	9.87E-02	-7.52E-01	4.54E-01	8.41E-02	
EW033_RS04815	5.92E-01	1.80E-10	1.06E-01	2.87E-01	1.77E-01	8.24E-02	
EW033_RS04820	1.09E-01	1.80E-06	8.61E-01	-8.31E-02	4.75E-01	8.91E-03	
EW033_RS04825	4.13E-02	2.86E-01	4.93E-01	-2.88E-01	4.20E-01	3.49E-02	
EW033_RS04835	1.03E-02	2.90E-01	6.98E-01	-1.73E-01	4.46E-01	1.98E-02	
EW033_RS04840	2.71E-01	4.13E-01	3.18E-01	-2.95E-01	2.95E-01	5.09E-02	
EW033_RS04865	2.07E-02	1.78E-01	3.60E-01	4.16E-01	4.54E-01	4.66E-02	
EW033_RS04870	7.75E-02	3.14E-03	5.27E-01	-2.98E-01	4.71E-01	3.23E-02	
EW033_RS04880	1.03E-02	7.70E-02	1.49E-03	1.39E+00	4.35E-01	1.61E-01	
EW033_RS04915	2.07E-02	8.85E-02	8.92E-01	4.24E-02	3.13E-01	6.89E-03	
EW033_RS04945	1.63E-01	5.22E-04	9.19E-01	5.58E-02	5.50E-01	5.17E-03	
EW033_RS05135	3.82E-01	8.68E-01	8.25E-01	-5.72E-02	2.59E-01	1.13E-02	
EW033_RS05140	4.24E-01	4.02E-03	9.92E-01	3.04E-03	3.08E-01	5.02E-04	
EW033_RS05145	1.50E-01	2.31E-03	7.75E-01	8.48E-02	2.97E-01	1.46E-02	
EW033_RS05155	7.75E-02	1.39E-02	6.28E-01	1.81E-01	3.72E-01	2.47E-02	
EW033_RS05200	8.79E-02	1.73E-08	9.70E-02	-1.31E+00	7.86E-01	8.45E-02	
EW033_RS05205	2.07E-02	6.77E-01	3.03E-01	4.52E-01	4.38E-01	5.25E-02	
EW033_RS05395	1.01E-01	3.21E-06	3.52E-01	4.95E-01	5.31E-01	4.74E-02	
EW033_RS05430	2.07E-02	9.20E-01	4.41E-01	-2.67E-01	3.46E-01	3.93E-02	
EW033_RS05440	2.33E-02	8.06E-01	9.00E-01	-9.02E-02	7.15E-01	6.43E-03	
EW033_RS05500	5.97E-01	3.54E-07	5.48E-01	2.51E-01	4.17E-01	3.06E-02	
EW033_RS05515	1.03E-02	3.23E-01	1.86E-01	-6.35E-01	4.79E-01	6.73E-02	
EW033_RS05520	1.60E-01	4.31E-01	4.93E-02	3.27E-01	1.66E-01	1.00E-01	
EW033_RS05530	4.91E-02	7.45E-02	7.05E-01	9.65E-02	2.55E-01	1.93E-02	
EW033_RS05535	1.03E-02	5.68E-01	4.04E-01	-4.22E-01	5.05E-01	4.26E-02	
EW033_RS05565	6.23E-01	8.13E-09	3.26E-01	2.27E-01	2.31E-01	5.01E-02	
EW033_RS05570	1.03E-02	5.96E-01	6.72E-01	-2.48E-01	5.86E-01	2.16E-02	
EW033_RS05650	5.68E-02	1.16E-03	3.99E-01	2.59E-01	3.07E-01	4.30E-02	
EW033_RS05670	6.02E-01	3.55E-07	6.70E-01	2.02E-01	4.74E-01	2.18E-02	
EW033_RS05675	6.02E-01	3.55E-07	6.70E-01	2.02E-01	4.74E-01	2.18E-02	
EW033_RS05715	1.03E-02	2.16E-01	2.90E-01	-4.59E-01	4.33E-01	5.39E-02	
EW033_RS05740	1.50E-01	8.19E-03	4.78E-01	2.65E-01	3.73E-01	3.62E-02	
EW033_RS05745	1.37E-01	1.56E-02	1.80E-01	-3.67E-01	2.74E-01	6.82E-02	
EW033_RS05750	2.84E-02	1.52E-01	9.44E-01	2.63E-02	3.76E-01	3.56E-03	
EW033_RS05755	5.53E-01	4.04E-04	3.16E-01	-2.81E-01	2.80E-01	5.12E-02	
EW033_RS05790	1.03E-01	1.25E-06	6.40E-01	-1.71E-01	3.66E-01	2.38E-02	
EW033_RS05795	1.29E-01	3.08E-03	5.89E-01	2.72E-01	5.02E-01	2.76E-02	
EW033_RS05805	8.79E-02	5.83E-03	3.62E-01	3.11E-01	3.41E-01	4.64E-02	
