sample_id,unique_gene_symbol,neb_locus_tag,time_of_max_rate_death_mean,max_rate_death_mean,AUC_death_mean,time_of_max_death_mean,max_death_mean,time_of_min_death_mean,min_death_mean,end_point_death_mean,time_of_max_rate_death_sd,max_rate_death_sd,AUC_death_sd,time_of_max_death_sd,max_death_sd,time_of_min_death_sd,min_death_sd,end_point_death_sd
JE2,wild type,,322.5,0.002767816,174.9479711,669.375,1.001669857,30.625,-0.002664113,0.435474357,113.9862147,0.000634445,13.6034864,70.47986035,0.134674371,53.14652925,0.028333091,0.027042788
NE1,ebh,SAUSA300_1327,336.1111111,0.002241206,157.6255501,686.1111111,0.874892298,20,0.017184678,0.413018295,44.28443419,0.000716532,21.62775918,81.61563031,0.163658285,39.29058411,0.0677145,0.063533166
NE46,SAUSA300_1930,SAUSA300_1930,327.7777778,0.00276786,184.3986185,637.2222222,1.042792741,34.44444444,0.045192828,0.426322218,51.66666667,0.000559287,17.45853424,75.91570618,0.10839126,56.09391926,0.059225646,0.058255448
NE66,secA2,SAUSA300_2584,293.8888889,0.002873674,182.5832627,614.4444444,1.036550126,36.11111111,0.005396914,0.392610701,100.3673807,0.000509225,23.23697543,120.2197063,0.108696479,58.19030083,0.036213446,0.032172202
NE117,cydA,SAUSA300_0986,303.3333333,0.001860198,144.3286976,691.1111111,0.782388561,13.33333333,0.004472416,0.360869678,108.5126721,0.0005105,21.49101842,109.0234429,0.131442969,40,0.043564286,0.054764543
NE119,ausA,SAUSA300_0181,265.5555556,0.001425839,68.34369626,485,0.444187068,483.3333333,0.012952333,0.090068542,48.76246279,0.000379022,25.13854052,32.88236609,0.108111218,702.7801932,0.051754114,0.089080487
NE172,glcA,SAUSA300_0191,297.2222222,0.00264069,171.6156165,614.4444444,0.966098715,24.44444444,0.046629053,0.404435229,122.7067416,0.000639675,14.0115634,75.01851623,0.1012024,48.76246279,0.094188525,0.08473252
NE186,fnbA,SAUSA300_2441,365.5555556,0.003390167,179.9448452,635.5555556,1.110620137,67.22222222,0.004252282,0.409221128,46.93375947,0.000397126,18.38830061,73.461063,0.097877419,53.09844107,0.049039534,0.029947183
NE188,mfd,SAUSA300_0481,432.7777778,0.001662058,146.1861818,838.3333333,0.81866713,32.77777778,0.010278687,0.472090923,132.3610382,0.000474542,19.76079727,88.31760866,0.095290341,50.19406782,0.045693251,0.021232492
NE214,sbnF,SAUSA300_0123,313.8888889,0.002630815,177.865587,678.3333333,1.020872453,17.77777778,0.00857885,0.424359493,44.91504326,0.000717171,25.31874435,142.6753307,0.136212608,40.5517502,0.110610316,0.100305925
NE362,tarL',SAUSA300_0247,269.4444444,0.002364438,161.9591592,654.4444444,0.888327619,20,0.022612214,0.378038255,122.7152304,0.000814706,31.1245796,143.4059893,0.189972345,40.38873605,0.051581959,0.037094338
NE369,guaC,SAUSA300_1235,292.7777778,0.002602111,183.442994,673.8888889,1.003565914,19.44444444,0.005116964,0.466413982,124.4766823,0.000489156,21.60569122,104.5459761,0.119083501,40.19051851,0.05798568,0.064768611
NE440,opp-3A,SAUSA300_0891,288.3333333,0.002777013,174.7029547,616.1111111,0.997256145,24.44444444,-0.031344349,0.37444286,72.67220927,0.000483036,21.32822429,98.98793417,0.097286311,48.76246279,0.065983203,0.04013659
NE472,fmtB,SAUSA300_2109,318.8888889,0.002709855,173.8827515,671.6666667,0.98660006,27.22222222,-0.035137924,0.455595322,73.13419933,0.000615893,22.13387443,95.19716382,0.142503307,46.03742439,0.030364459,0.090316066
NE573,ribA,SAUSA300_1713,353.75,0.002692375,174.3281223,662.5,1.008193573,39.375,0.047399735,0.409249049,40.77376608,0.00051449,17.20939542,81.80988414,0.114917335,56.15269361,0.063504073,0.048238231
NE581,purF,SAUSA300_0972,370,0.002783075,159.9411555,698.3333333,0.920773187,74.44444444,-0.016370304,0.476274785,34.73110997,0.000822827,25.67872375,81.81534086,0.155667169,53.35286101,0.08257075,0.049112474
NE704,araB,SAUSA300_0537,299.4444444,0.001967513,166.5910905,680.5555556,0.861265803,10,0.081667811,0.454635281,85.60244026,0.000458531,19.87027426,85.16324194,0.118326952,30,0.061484786,0.073131042
NE743,SAUSA300_0180,SAUSA300_0180,308.8888889,0.002412914,176.416903,672.7777778,0.944600203,27.77777778,0.047191888,0.462606762,68.27233049,0.000622897,13.82401274,83.48319858,0.115321139,48.67693956,0.082344381,0.055444264
NE873,agrC,SAUSA300_1991,396.6666667,0.00047217,32.74727178,735.5555556,0.195722888,385,0.008177799,0.05512204,107.9641144,0.000119343,8.410894707,24.5515331,0.030041011,588.1166976,0.034552103,0.052784538
NE1020,isdD,SAUSA300_1031,238.8888889,0.00228819,174.0134838,605.5555556,0.911899473,0,0.023820357,0.384057604,74.23685817,0.000490693,20.25639936,69.25696916,0.121028203,0,0.03311353,0.030477991
NE1140,lysA,SAUSA300_1293,329.4444444,0.001861718,131.8382852,691.6666667,0.702397796,25,0.000197367,0.336367791,80.83333333,0.000291823,23.73020664,63.63961031,0.124607647,42.27883631,0.018971775,0.055469618
NE1166,ilvB,SAUSA300_2007,353.5714286,0.001838536,165.4127382,760,0.864531345,10,0.06116985,0.50527172,53.67450401,0.000144106,20.66686804,77.67453465,0.086041852,26.45751311,0.042771617,0.122523606
NE1183,arlS,SAUSA300_1307,301.6666667,0.002211079,175.4838893,650,0.90899135,22.77777778,0.119029285,0.460985864,121.1919964,0.000592723,17.01419412,140.334422,0.122370092,47.24345928,0.066351294,0.059152632
NE1380,thiW,SAUSA300_0978,335.5555556,0.002647686,167.2573944,653.3333333,0.954259568,31.11111111,0.027568449,0.416294962,63.11915539,0.000984074,23.07702527,89.05756565,0.212455229,62.18811069,0.100607065,0.058888151
NE1462,mutS2,SAUSA300_1043,322.7777778,0.00287337,179.7722971,631.6666667,1.037131233,21.66666667,0.008727558,0.415193124,37.00600552,0.000735107,19.94478769,63.54132514,0.164717127,37.16517187,0.062893814,0.04778278
NE1532,agrA,SAUSA300_1992,410.5555556,0.00043179,27.31069457,740,0.169766116,397.7777778,-0.010232568,0.04691436,86.18455649,0.000109228,6.516279364,13.69306394,0.030146915,579.9790466,0.019915444,0.050651899
NE1553,hutG,SAUSA300_2281,306.1111111,0.002398549,164.5740691,652.2222222,0.913953067,11.11111111,0.004542909,0.387112002,74.53094063,0.0005464,21.38596047,96.14803401,0.118177464,33.33333333,0.067518885,0.047520832
NE1561,ebpS,SAUSA300_1370,312.7777778,0.002460462,167.8862197,662.2222222,0.927487528,13.88888889,0.004441525,0.412832077,48.0306615,0.00041579,16.15224836,67.1337802,0.109288789,31.99392303,0.049061867,0.033809876
NE1671,rsmC,SAUSA300_0526,341.1111111,0.002504403,166.7876203,662.2222222,0.950529363,35.55555556,0.018089429,0.389826532,61.68355625,0.000718332,28.83794881,103.3534927,0.168660892,50.46313286,0.078997056,0.05388726
NE1919,stp1,SAUSA300_1112,300.5555556,0.002019572,158.3128002,679.4444444,0.84011927,10,0.008898538,0.419892643,84.86918038,0.000554388,23.47916973,101.3177071,0.125400769,30,0.054628249,0.076427061
