	Database Name	ODA																	
	Database Link	http://localhost/ODA/OdaService.asmx																	
	Evaluation GUID	0cbcdfc6-a078-47ba-a2d9-793290baaf39																	
	Plate Name	210921_THP1_1.5h_n2_A594																	
	Measurement	Measurement1																	
	Evaluation	Evaluation9																	
	Population	Population - Spots																	

	[Data]																		
Cell Type	Strain	Replicate	Row	Column	Plane	Field	Object No	X	Y	Bounding Box	Spots - Relative Spot  Intensity	Spots - Corrected Spot  Intensity	Spots - Uncorrected Spot  Peak Intensity	Spots - Spot Contrast	Spots - Spot Background Intensity	Spots - Spot Area [px²]	Spots - Region Intensity	Spots - Spot To Region Intensity	Spots - Object No in Cells
THP1 (Cas9)	Non-infected	1	2	2	1	1	1	782	887	[779,885,787,892]	0.298459	15.7968	95.5044	0.440103	37.1311	40	23.4048	26.9975	10
THP1 (Cas9)	Non-infected	1	2	2	1	1	2	363	664	[360,658,366,667]	0.2982	18.7493	113.702	0.440837	44.1257	45	31.5258	26.7628	13
THP1 (Cas9)	Non-infected	1	2	2	1	5	1	796	241	[794,239,803,245]	0.301303	18.8495	118.25	0.460234	43.7105	45	33.4033	25.3935	2
THP1 (Cas9)	Non-infected	1	2	2	1	5	2	159	585	[156,580,163,591]	0.363988	38.9852	178.102	0.446674	68.1206	60	31.9359	73.244	6
THP1 (Cas9)	Non-infected	1	2	2	1	6	1	1329	258	[1324,252,1335,264]	0.296105	10.7845	67.708	0.450711	25.6366	72	17.7644	43.7101	3
THP1 (Cas9)	Non-infected	1	2	2	1	6	2	854	533	[847,531,860,537]	0.284968	11.4319	85.2279	0.496375	28.6846	54	17.1728	35.9478	7
THP1 (Cas9)	Non-infected	1	2	2	1	7	1	119	347	[114,342,122,354]	0.302851564	17.55415242	117.9466095	0.489644796	40.40873938	52	18.42965179	49.52974347	8
THP1 (Cas9)	Non-infected	1	2	2	1	8	1	240	403	[237,399,246,406]	0.300792187	33.98037392	194.3755646	0.422096521	78.98922886	51	41.27653515	41.98509064	3
THP1 (Cas9)	Non-infected	1	2	2	1	9	1	797	573	[794,571,800,576]	0.385003394	36.59797058	199.4349213	0.546631873	58.46085521	29	42.72129895	24.84337257	8
THP1 (Cas9)	Non-infected	1	2	2	1	10	1	463	562	[460,559,468,565]	0.306478963	21.29870738	120.9836197	0.430237561	48.19613557	46	28.29282618	34.62858511	20
THP1 (Cas9)	Non-infected	1	2	2	1	11	1	864	223	[859,221,868,227]	0.293623	16.823	90.7895	0.383342	40.4716	48	15.3953	52.4514	21
THP1 (Cas9)	Non-infected	1	2	2	1	11	2	712	319	[710,316,718,322]	0.294671	15.7619	104.242	0.468505	37.7281	41	22.1655	29.1553	28
THP1 (Cas9)	Non-infected	1	2	2	1	11	3	472	520	[470,517,474,523]	0.363296	30.6497	172.157	0.52437	53.7161	28	26.3762	32.5366	41
THP1 (Cas9)	Non-infected	1	2	2	1	11	4	409	618	[404,615,412,624]	0.328226	22.6661	114.905	0.42478	46.3902	66	25.7221	58.1586	48
THP1 (Cas9)	Non-infected	1	2	2	1	11	5	378	690	[376,688,381,693]	0.351102	35.2763	205.62	0.518519	65.1966	26	18.2995	50.1207	56
THP1 (Cas9)	Non-infected	1	2	2	1	11	6	462	866	[459,863,465,871]	0.326588	38.402	208.925	0.450322	79.1835	42	21.8066	73.9633	71
THP1 (Cas9)	Non-infected	1	2	2	1	11	7	534	969	[531,967,537,975]	0.297786	11.5638	86.4848	0.520563	27.2688	42	17.1776	28.2741	72
THP1 (Cas9)	Non-infected	1	2	2	1	12	1	1304	268	[1295,265,1307,272]	0.302841	24.8575	146.234	0.437488	57.2237	73	20.7478	87.4598	9
THP1 (Cas9)	Non-infected	1	2	2	1	12	2	720	658	[717,656,723,661]	0.295691	19.4545	117.991	0.436027	46.3388	36	33.3688	20.9885	23
THP1 (Cas9)	Non-infected	1	2	2	1	13	1	821	700	[817,693,824,705]	0.280199216	18.39592786	101.9457092	0.366538703	47.25710325	59	38.41857637	28.25091001	10
THP1 (Cas9)	Non-infected	2	2	3	1	1	1	729	160	[726,158,732,163]	0.293271	30.8791	203.381	0.464258	74.413	32	43.5219	22.7042	3
THP1 (Cas9)	Non-infected	2	2	3	1	1	2	802	967	[800,965,804,969]	0.392534	168.212	1070.02	0.608645	260.316	13	15.0219	145.571	19
THP1 (Cas9)	Non-infected	2	2	3	1	2	1	694	704	[690,701,702,707]	0.292501	15.0359	97.6491	0.457256	36.3686	69	30.5637	33.9448	13
