			Database Name	ODA																
			Database Link	http://localhost/ODA/OdaService.asmx																
			Evaluation GUID	7b069eed-6e5c-4de4-bd81-f076b7463017																
			Plate Name	210921_THP1_24h_n2_A594																
			Measurement	Measurement1																
			Evaluation	Evaluation2																
			Population	Population - Spots																

			[Data]																	
Cell Type	Strain	Replicate	Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Spots - Relative Spot  Intensity	Spots - Corrected Spot  Intensity	Spots - Uncorrected Spot  Peak Intensity	Spots - Spot Contrast	Spots - Spot Background Intensity	Spots - Spot Area [px²]	Spots - Region Intensity	Spots - Spot To Region Intensity	Spots - Object No in Cells
THP1 (Cas9)	non-infected	1	2	2	1	0	1	1	1344	221	[1342,219,1348,225]	0.286478	14.9674	97.2895	0.445949	37.2788	35	21.157	24.7605	3
THP1 (Cas9)	non-infected	1	2	2	1	0	1	2	882	525	[874,520,889,528]	0.313453	44.7063	290.963	0.496408	97.9191	74	53.4703	61.8711	6
THP1 (Cas9)	non-infected	1	2	2	1	0	1	3	269	616	[266,612,273,619]	0.303186	41.6313	244.582	0.437605	95.6812	38	51.8124	30.533	8
THP1 (Cas9)	non-infected	1	2	2	1	0	1	4	554	654	[552,652,557,663]	0.315684	50.5112	288.784	0.450163	109.494	56	43.816	64.557	9
THP1 (Cas9)	non-infected	1	2	2	1	0	1	5	384	698	[381,695,388,704]	0.328923	53.6934	354.461	0.527824	109.547	47	101.175	24.9429	10
THP1 (Cas9)	non-infected	1	2	2	1	0	1	6	1141	784	[1138,780,1146,788]	0.337593	37.7645	185.442	0.428997	74.0995	51	45.7204	42.1253	12
THP1 (Cas9)	non-infected	1	2	2	1	0	1	7	1154	788	[1148,785,1157,792]	0.378426	30.2804	165.636	0.538135	49.7364	41	45.7204	27.1541	12
THP1 (Cas9)	non-infected	1	2	2	1	0	1	8	1196	859	[1193,853,1200,862]	0.362158	56.9995	327.085	0.530316	100.389	55	63.2534	49.5621	13
THP1 (Cas9)	non-infected	1	2	2	1	0	2	1	484	345	[479,343,490,349]	0.285374	19.6317	147.084	0.498982	49.1612	56	19.0432	57.7307	4
THP1 (Cas9)	non-infected	1	2	2	1	0	2	2	348	366	[345,363,352,369]	0.412267	85.2361	412.111	0.544573	121.514	37	35.6446	88.4772	6
THP1 (Cas9)	non-infected	1	2	2	1	0	2	3	342	582	[340,580,349,585]	0.327493	25.0427	146.548	0.480485	51.425	42	21.1123	49.8188	8
THP1 (Cas9)	non-infected	1	2	2	1	0	2	4	25	774	[23,772,27,778]	0.356337	55.1627	306.813	0.509702	99.6423	27	31.1629	47.7937	9
THP1 (Cas9)	non-infected	1	2	2	1	0	3	1	255	334	[252,331,258,343]	0.339403782	56.5233344	269.4284363	0.420128882	110.0138034	66	35.85727374	104.0385863	4
THP1 (Cas9)	non-infected	1	2	2	1	0	4	1	1231	299	[1229,297,1236,302]	0.348051	27.7596	158.413	0.50575	51.9977	33	22.9469	39.9211	4
THP1 (Cas9)	non-infected	1	2	2	1	0	4	2	1229	321	[1226,319,1234,325]	0.339062	19.2461	110.015	0.491407	37.5168	39	22.9469	32.7102	4
THP1 (Cas9)	non-infected	1	2	2	1	0	4	3	821	516	[817,510,825,520]	0.299918	11.7632	71.9488	0.447562	27.458	58	16.1138	42.3403	7
THP1 (Cas9)	non-infected	1	2	2	1	0	4	4	302	549	[299,546,307,552]	0.402276	3554.08	14687	0.471063	5280.86	53	430.834	437.213	8
THP1 (Cas9)	non-infected	1	2	2	1	0	4	5	966	995	[962,993,968,998]	0.290591	17.2566	105.236	0.428248	42.1279	30	17.7115	29.2294	15
THP1 (Cas9)	non-infected	1	2	2	1	0	5	1	254	14	[252,12,258,17]	0.303079	39.1996	222.847	0.424011	90.1381	33	41.9263	30.8538	2
THP1 (Cas9)	non-infected	1	2	2	1	0	5	2	1352	399	[1349,397,1355,402]	0.293875	20.0771	126.211	0.446938	48.2416	26	38.869	13.4299	3
