Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation GUID	cf821d98-4a73-40f1-8859-36e8f6c528ef
Plate Name	210317 GP3 HeLa 24h n1
Measurement	Measurement1
Evaluation	Evaluation1
Population	Population - Spots

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Vananz GP2 3H n1	HeLa	15000 cells	3h infection	Spots - Relative Spot  Intensity	Spots - Corrected Spot  Intensity	Spots - Uncorrected Spot  Peak Intensity	Spots - Spot Contrast	Spots - Spot Background Intensity	Spots - Spot Area [px²]	Spots - Region Intensity	Spots - Spot To Region Intensity	Spots - Object No in Cells	
1	1	1	0	1	1	1075	111	[1072,107,1079,114]					0.162224	319.286	2756	0.251337	1648.89	40	1115.31	11.451	11	
1	1	1	0	1	2	1176	201	[1173,197,1179,205]					0.129622	241.171	2995	0.29811	1619.4	42	958.129	10.5719	14	
1	1	1	0	1	3	1123	270	[1120,268,1130,274]					0.146106	258.085	2797	0.299319	1508.33	55	958.129	14.815	14	
1	1	1	0	1	4	901	236	[898,234,904,239]					0.130537	223.797	2637	0.277727	1490.64	25	1004.42	5.57029	15	
1	1	1	0	1	5	748	401	[745,398,751,406]					0.126468	228.854	2637	0.250436	1580.73	43	1230.81	7.9953	17	
1	1	1	0	1	6	910	448	[908,445,912,452]					0.102556	140.509	1738	0.171332	1229.56	28	1042.58	3.77356	19	
1	1	1	0	1	7	539	637	[538,636,543,641]					0.143825	224.996	2590	0.318273	1339.38	21	980.632	4.81824	27	
1	1	1	0	1	8	660	709	[659,708,664,712]					0.12734	175.498	2572	0.36276	1202.69	21	1184.02	3.11267	36	
1	1	1	0	1	9	1021	909	[1018,906,1023,912]					0.103878	119.332	1782	0.267679	1029.44	26	876.804	3.53856	40	
1	1	1	0	2	1	883	901	[880,898,887,904]					0.138552765844	239.674242424	2502	0.253454682086	1490.16666667	44	1165.25186104	9.0501178494	46	
1	1	1	0	4	1	598	34	[595,32,602,36]					0.114413	189.957	2420	0.244116	1470.31	26	1118.86	4.41418	5	
1	1	1	0	4	2	685	329	[682,325,688,332]					0.12137	191.577	2052	0.193411	1386.88	37	855.973	8.28104	17	
1	1	1	0	4	3	962	431	[958,428,966,434]					0.103321	174.658	2323	0.210281	1515.78	39	1099.27	6.19655	19	
1	1	1	0	4	4	348	497	[346,495,350,500]					0.106016	129.518	2003	0.294276	1092.17	19	1036.29	2.37465	22	
1	1	1	0	4	5	336	509	[334,507,339,512]					0.112623	203.265	2671	0.250304	1601.56	29	1036.29	5.68825	22	
1	1	1	0	4	6	802	967	[801,966,803,968]					0.299582	459.958	5215	0.658089	1075.38	9	839.941	4.92847	29	
1	1	1	0	4	7	61	764	[58,761,63,769]					0.143069	333.181	3675	0.296152	1995.63	32	1900.76	5.60922	31	
1	1	1	0	5	1	761	6	[759,3,765,9]					0.100194	299.625	4186	0.217423	2690.82	29	1069.43	8.12504	6	
1	1	1	0	5	2	1179	18	[1173,13,1183,24]					0.117589	136.13	1704	0.250389	1021.55	66	1147.14	7.83217	7	
1	1	1	0	5	3	1277	38	[1274,36,1279,43]					0.122705	192.985	2199	0.228911	1379.78	38	1040.77	7.04619	8	
1	1	1	0	5	4	1223	130	[1222,129,1226,133]					0.12026	158.718	2155	0.299731	1161.07	19	1078.28	2.79673	10	
1	1	1	0	5	5	1349	885	[1346,883,1353,888]					0.130043	236.215	3116	0.327024	1580.22	32	1144.72	6.60328	27	
1	1	1	0	5	6	781	1011	[779,1009,783,1014]					0.171726	253.446	2530	0.34846	1222.43	24	974.142	6.24417	36	
1	1	1	0	5	7	797	1012	[795,1010,801,1017]					0.101976	159.432	2085	0.195185	1404	37	974.142	6.05558	36	
1	1	1	0	6	1	860	45	[858,43,863,49]					0.153168	267.967	2599	0.273853	1481.53	30	1138.06	7.06379	7	
1	1	1	0	6	2	630	63	[626,57,633,69]					0.121398	176.284	2447	0.314592	1275.83	63	940.02	11.8145	16	
1	1	1	0	6	3	642	141	[641,139,644,143]					0.131158	157.614	1708	0.241234	1044.1	14	940.02	2.3474	16	
1	1	1	0	6	4	1341	198	[1339,195,1343,201]					0.162523	249.952	2521	0.323707	1288	21	1025.63	5.11782	21	
