Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	cf821d98-4a73-40f1-8859-36e8f6c528ef
Plate Name	210317 GP3 HeLa 24h n1
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Vananz GP2 3H n1	HeLa	15000 cells	3h infection	
1	1	1	0	66	341	0.193548387097	9	0	0					
1	2	1	0	58	359	0.161559888579	9	0	0					
1	3	1	0	59	150	0.393333333333	9	0	0					
1	4	1	0	50	201	0.248756218905	9	0	0					
1	5	1	0	53	266	0.199248120301	9	0	0					
1	6	1	0	70	153	0.457516339869	9	0	0					
1	7	1	0	34	169	0.201183431953	9	0	0					
1	8	1	0	19	88	0.215909090909	9	0	0					
1	9	1	0	249	205	1.21463414634	9	0	0					
1	10	1	0	35	129	0.271317829457	9	0	0					
1	11	1	0	27	141	0.191489361702	9	0	0					
1	12	1	0	71	226	0.314159292035	9	0	0					
2	1	1	0	44	309	0.142394822006	9	0	0					
2	2	1	0	43	458	0.0938864628821	9	0	0					
2	3	1	0	30	267	0.112359550562	9	0	0					
2	4	1	0	1	2	0.5	9	0	0					
2	5	1	0	410	492	0.833333333333	9	0	0					
2	6	1	0	35	127	0.275590551181	9	0	0					
2	7	1	0	82	369	0.222222222222	9	0	0					
2	8	1	0	35	402	0.0870646766169	9	0	0					
2	9	1	0	86	373	0.230563002681	9	0	0					
2	10	1	0	229	295	0.776271186441	9	0	0					
2	11	1	0	40	247	0.161943319838	9	0	0					
2	12	1	0	35	117	0.299145299145	9	0	0					
3	1	1	0	18	67	0.268656716418	9	0	0					
3	2	1	0	101	270	0.374074074074	9	0	0					
3	3	1	0	172	414	0.415458937198	9	0	0					
3	4	1	0	33	255	0.129411764706	9	0	0					
3	5	1	0	68	558	0.121863799283	9	0	0					
3	6	1	0	581	457	1.27133479212	9	0	0					
3	7	1	0	53	156	0.339743589744	9	0	0					
3	8	1	0	76	348	0.218390804598	9	0	0					
3	9	1	0	39	195	0.2	9	0	0					
3	10	1	0	56	260	0.215384615385	9	0	0					
3	11	1	0	219	161	1.3602484472	9	0	0					
3	12	1	0	29	165	0.175757575758	9	0	0					
4	1	1	0	44	208	0.211538461538	9	0	0					
4	2	1	0	551	688	0.800872093023	9	0	0					
4	3	1	0	170	287	0.592334494774	9	0	0					
4	4	1	0	1	10	0.1	9	0	0					
4	5	1	0	70	998	0.0701402805611	9	0	0					
4	6	1	0	364	934	0.389721627409	9	0	0					
4	7	1	0	117	707	0.165487977369	9	0	0					
4	8	1	0	80	555	0.144144144144	9	0	0					
4	9	1	0	63	549	0.114754098361	9	0	0					
4	10	1	0	55	256	0.21484375	9	0	0					
4	11	1	0	67	252	0.265873015873	9	0	0					
4	12	1	0	305	379	0.804749340369	9	0	0					
5	1	1	0	46	337	0.13649851632	9	0	0					
5	2	1	0	393	666	0.59009009009	9	0	0					
5	3	1	0	78	665	0.117293233083	9	0	0					
5	4	1	0	86	622	0.138263665595	9	0	0					
5	5	1	0	558	972	0.574074074074	9	0	0					
5	6	1	0	701	879	0.797497155859	9	0	0					
5	7	1	0	40	917	0.0436205016358	9	0	0					
5	8	1	0	51	362	0.140883977901	9	0	0					
5	9	1	0	41	713	0.0575035063114	9	0	0					
5	10	1	0	38	295	0.128813559322	9	0	0					
5	11	1	0	36	159	0.22641509434	9	0	0					
5	12	1	0	0	4	0	9	0	0					
6	1	1	0	443	568	0.779929577465	9	0	0					
6	2	1	0	51	418	0.122009569378	9	0	0					
6	3	1	0	60	320	0.1875	9	0	0					
6	4	1	0	118	871	0.135476463835	9	0	0					
6	5	1	0	55	614	0.0895765472313	9	0	0					
6	6	1	0	61	736	0.0828804347826	9	0	0					
6	7	1	0	42	261	0.16091954023	9	0	0					
6	8	1	0	41	348	0.117816091954	9	0	0					
6	9	1	0	74	473	0.15644820296	9	0	0					
6	10	1	0	45	215	0.209302325581	9	0	0					
6	11	1	0	57	325	0.175384615385	9	0	0					
6	12	1	0	2	4	0.5	9	0	0					
7	1	1	0	18	335	0.0537313432836	9	0	0					
7	2	1	0	471	415	1.13493975904	9	0	0					
7	3	1	0	36	469	0.0767590618337	9	0	0					
7	4	1	0	59	269	0.219330855019	9	0	0					
7	5	1	0	43	260	0.165384615385	9	0	0					
7	6	1	0	44	309	0.142394822006	9	0	0					
7	7	1	0	48	355	0.135211267606	9	0	0					
7	8	1	0	44	245	0.179591836735	9	0	0					
7	9	1	0	61	218	0.279816513761	9	0	0					
7	10	1	0	64	257	0.249027237354	9	0	0					
7	11	1	0	48	174	0.275862068966	9	0	0					
7	12	1	0	36	50	0.72	9	0	0					
8	1	1	0	49	505	0.0970297029703	9	0	0					
8	2	1	0	60	330	0.181818181818	9	0	0					
8	3	1	0	42	522	0.0804597701149	9	0	0					
8	4	1	0	26	128	0.203125	9	0	0					
8	5	1	0	75	340	0.220588235294	9	0	0					
8	6	1	0	18	106	0.169811320755	9	0	0					
8	7	1	0	62	509	0.121807465619	9	0	0					
8	8	1	0	36	178	0.202247191011	9	0	0					
8	9	1	0	33	255	0.129411764706	9	0	0					
8	10	1	0	42	217	0.193548387097	9	0	0					
8	11	1	0	35	150	0.233333333333	9	0	0					
8	12	1	0	38	263	0.144486692015	9	0	0					
