Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	c5c1cac1-9c52-4117-b67a-163d4b61809e
Plate Name	Abdou 210330 GPV-1_HeLa_24h_20x _3ch _n1
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Vananz GP2 3H n1	HeLa	15000 cells	3h infection	
1	1	1	0	44	225	0.195555555556	9	0	0					
1	2	1	0	40	149	0.268456375839	9	0	0					
1	3	1	0	25	79	0.316455696203	9	0	0					
1	4	1	0	47	171	0.27485380117	9	0	0					
1	5	1	0	116	262	0.442748091603	9	0	0					
1	6	1	0	62	298	0.208053691275	9	0	0					
1	7	1	0	45	138	0.326086956522	9	0	0					
1	8	1	0	36	119	0.302521008403	9	0	0					
1	9	1	0	63	428	0.147196261682	9	0	0					
1	10	1	0	75	226	0.33185840708	9	0	0					
1	11	1	0	58	304	0.190789473684	9	0	0					
1	12	1	0	7	16	0.4375	9	0	0					
2	1	1	0	50	207	0.24154589372	9	0	0					
2	2	1	0	72	276	0.260869565217	9	0	0					
2	3	1	0	87	152	0.572368421053	9	0	0					
2	4	1	0	55	200	0.275	9	0	0					
2	5	1	0	450	540	0.833333333333	9	0	0					
2	6	1	0	781	820	0.95243902439	9	0	0					
2	7	1	0	30	130	0.230769230769	9	0	0					
2	8	1	0	2329	1024	2.2744140625	9	0	0					
2	9	1	0	72	310	0.232258064516	9	0	0					
2	10	1	0	74	275	0.269090909091	9	0	0					
2	11	1	0	101	332	0.30421686747	9	0	0					
2	12	1	0	75	272	0.275735294118	9	0	0					
3	1	1	0	103	540	0.190740740741	9	0	0					
3	2	1	0	63	262	0.240458015267	9	0	0					
3	3	1	0	87	359	0.242339832869	9	0	0					
3	4	1	0	134	454	0.295154185022	9	0	0					
3	5	1	0	108	321	0.336448598131	9	0	0					
3	6	1	0	92	471	0.195329087049	9	0	0					
3	7	1	0	80	247	0.323886639676	9	0	0					
3	8	1	0	78	295	0.264406779661	9	0	0					
3	9	1	0	137	490	0.279591836735	9	0	0					
3	10	1	0	81	305	0.265573770492	9	0	0					
3	11	1	0	100	411	0.243309002433	9	0	0					
3	12	1	0	57	965	0.059067357513	9	0	0					
4	1	1	0	138	338	0.408284023669	9	0	0					
4	2	1	0	165	513	0.321637426901	9	0	0					
4	3	1	0	134	311	0.430868167203	9	0	0					
4	4	1	0	1139	1580	0.720886075949	9	0	0					
4	5	1	0	5449	1741	3.12981045376	9	0	0					
4	6	1	0	2334	1862	1.25349087003	9	0	0					
4	7	1	0	151	382	0.395287958115	9	0	0					
4	8	1	0	0	1	0	9	0	0					
4	9	1	0	208	696	0.298850574713	9	0	0					
4	10	1	0	1108	1379	0.803480783176	9	0	0					
4	11	1	0	264	342	0.771929824561	9	0	0					
4	12	1	0	6	14	0.428571428571	9	0	0					
5	1	1	0	85	623	0.136436597111	9	0	0					
5	2	1	0	126	422	0.298578199052	9	0	0					
5	3	1	0	85	139	0.611510791367	9	0	0					
5	4	1	0	1120	1258	0.890302066773	9	0	0					
5	5	1	0	2258	1610	1.40248447205	9	0	0					
5	6	1	0	4	3	1.33333333333	9	0	0					
5	7	1	0	181	571	0.316987740806	9	0	0					
5	8	1	0	306	657	0.465753424658	9	0	0					
5	9	1	0	185	730	0.253424657534	9	0	0					
5	10	1	0	103	281	0.366548042705	9	0	0					
5	11	1	0	145	427	0.339578454333	9	0	0					
5	12	1	0	138	420	0.328571428571	9	0	0					
6	1	1	0	466	1056	0.441287878788	9	0	0					
6	2	1	0	111	324	0.342592592593	9	0	0					
6	3	1	0	183	681	0.26872246696	9	0	0					
6	4	1	0	185	340	0.544117647059	9	0	0					
6	5	1	0	119	342	0.347953216374	9	0	0					
6	6	1	0	132	329	0.401215805471	9	0	0					
6	7	1	0	231	540	0.427777777778	9	0	0					
6	8	1	0	59	41	1.43902439024	9	0	0					
6	9	1	0	166	492	0.337398373984	9	0	0					
6	10	1	0	151	164	0.920731707317	9	0	0					
6	11	1	0	74	840	0.0880952380952	9	0	0					
6	12	1	0	5	7	0.714285714286	9	0	0					
7	1	1	0	95	421	0.225653206651	9	0	0					
7	2	1	0	360	692	0.520231213873	9	0	0					
7	3	1	0	107	243	0.440329218107	9	0	0					
7	4	1	0	169	414	0.408212560386	9	0	0					
7	5	1	0	69	142	0.485915492958	9	0	0					
7	6	1	0	169	569	0.297012302285	9	0	0					
7	7	1	0	462	618	0.747572815534	9	0	0					
7	8	1	0	17	5	3.4	9	0	0					
7	9	1	0	170	342	0.497076023392	9	0	0					
7	10	1	0	159	370	0.42972972973	9	0	0					
7	11	1	0	124	204	0.607843137255	9	0	0					
7	12	1	0	130	358	0.36312849162	9	0	0					
8	1	1	0	60	395	0.151898734177	9	0	0					
8	2	1	0	2	329	0.00607902735562	9	0	0					
8	3	1	0	84	415	0.202409638554	9	0	0					
8	4	1	0	31	62	0.5	9	0	0					
8	5	1	0	5	4	1.25	9	0	0					
8	6	1	0	22	7	3.14285714286	9	0	0					
8	7	1	0	125	295	0.423728813559	9	0	0					
8	8	1	0	0	0	NaN	9	0	0					
8	9	1	0	77	261	0.295019157088	9	0	0					
8	10	1	0	113	519	0.217726396917	9	0	0					
8	11	1	0	117	503	0.232604373757	9	0	0					
8	12	1	0	187	746	0.250670241287	9	0	0					
