Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	1f995c04-508b-4d31-824b-994796fbf4a9
Plate Name	Abdou 210331 GPV-1_HeLa_24h_20x _3ch _n2
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Vananz GP2 3H n1	HeLa	15000 cells	3h infection	
1	1	1	0	70	336	0.208333333333	9	0	0					
1	2	1	0	33	158	0.208860759494	9	0	0					
1	3	1	0	6	42	0.142857142857	9	0	0					
1	4	1	0	0	11	0	9	0	0					
1	5	1	0	12	78	0.153846153846	9	0	0					
1	6	1	0	13	44	0.295454545455	9	0	0					
1	7	1	0	25	33	0.757575757576	9	0	0					
1	8	1	0	35	107	0.327102803738	9	0	0					
1	9	1	0	10	22	0.454545454545	9	0	0					
1	10	1	0	28	45	0.622222222222	9	0	0					
1	11	1	0	16	67	0.238805970149	9	0	0					
1	12	1	0	7	23	0.304347826087	9	0	0					
2	1	1	0	69	255	0.270588235294	9	0	0					
2	2	1	0	90	438	0.205479452055	9	0	0					
2	3	1	0	16	29	0.551724137931	9	0	0					
2	4	1	0	11	10	1.1	9	0	0					
2	5	1	0	284	780	0.364102564103	9	0	0					
2	6	1	0	3862	1934	1.99689762151	9	0	0					
2	7	1	0	99	236	0.419491525424	9	0	0					
2	8	1	0	2714	1687	1.60877296977	9	0	0					
2	9	1	0	113	328	0.344512195122	9	0	0					
2	10	1	0	65	154	0.422077922078	9	0	0					
2	11	1	0	52	185	0.281081081081	9	0	0					
2	12	1	0	6	13	0.461538461538	9	0	0					
3	1	1	0	37	159	0.232704402516	9	0	0					
3	2	1	0	112	268	0.417910447761	9	0	0					
3	3	1	0	94	215	0.437209302326	9	0	0					
3	4	1	0	15	23	0.652173913043	9	0	0					
3	5	1	0	151	412	0.366504854369	9	0	0					
3	6	1	0	120	241	0.497925311203	9	0	0					
3	7	1	0	26	25	1.04	9	0	0					
3	8	1	0	171	369	0.463414634146	9	0	0					
3	9	1	0	120	272	0.441176470588	9	0	0					
3	10	1	0	90	193	0.466321243523	9	0	0					
3	11	1	0	75	105	0.714285714286	9	0	0					
3	12	1	0	163	1073	0.151910531221	9	0	0					
4	1	1	0	148	171	0.865497076023	9	0	0					
4	2	1	0	198	286	0.692307692308	9	0	0					
4	3	1	0	15	20	0.75	9	0	0					
4	4	1	0	764	1768	0.432126696833	9	0	0					
4	5	1	0	1876	1814	1.0341786108	9	0	0					
4	6	1	0	3296	1818	1.81298129813	9	0	0					
4	7	1	0	109	137	0.795620437956	9	0	0					
4	8	1	0	235	400	0.5875	9	0	0					
4	9	1	0	343	437	0.784897025172	9	0	0					
4	10	1	0	2289	1509	1.51689860835	9	0	0					
4	11	1	0	181	263	0.688212927757	9	0	0					
4	12	1	0	6	11	0.545454545455	9	0	0					
5	1	1	0	100	1134	0.0881834215168	9	0	0					
5	2	1	0	207	194	1.06701030928	9	0	0					
5	3	1	0	20	20	1	9	0	0					
5	4	1	0	756	1556	0.485861182519	9	0	0					
5	5	1	0	1326	1689	0.785079928952	9	0	0					
5	6	1	0	402	439	0.915717539863	9	0	0					
5	7	1	0	244	285	0.856140350877	9	0	0					
5	8	1	0	663	1032	0.642441860465	9	0	0					
5	9	1	0	289	224	1.29017857143	9	0	0					
5	10	1	0	298	258	1.15503875969	9	0	0					
5	11	1	0	252	237	1.06329113924	9	0	0					
5	12	1	0	52	38	1.36842105263	9	0	0					
6	1	1	0	345	386	0.89378238342	9	0	0					
6	2	1	0	312	346	0.901734104046	9	0	0					
6	3	1	0	257	403	0.637717121588	9	0	0					
6	4	1	0	443	396	1.11868686869	9	0	0					
6	5	1	0	235	270	0.87037037037	9	0	0					
6	6	1	0	222	233	0.952789699571	9	0	0					
6	7	1	0	290	681	0.425844346549	9	0	0					
6	8	1	0	574	845	0.679289940828	9	0	0					
6	9	1	0	512	355	1.44225352113	9	0	0					
6	10	1	0	197	176	1.11931818182	9	0	0					
6	11	1	0	74	1413	0.0523708421798	9	0	0					
6	12	1	0	18	23	0.782608695652	9	0	0					
7	1	1	0	189	310	0.609677419355	9	0	0					
7	2	1	0	276	262	1.0534351145	9	0	0					
7	3	1	0	227	285	0.79649122807	9	0	0					
7	4	1	0	19	12	1.58333333333	9	0	0					
7	5	1	0	162	215	0.753488372093	9	0	0					
7	6	1	0	69	58	1.18965517241	9	0	0					
7	7	1	0	1824	1197	1.52380952381	9	0	0					
7	8	1	0	668	844	0.791469194313	9	0	0					
7	9	1	0	308	389	0.79177377892	9	0	0					
7	10	1	0	132	74	1.78378378378	9	0	0					
7	11	1	0	195	161	1.21118012422	9	0	0					
7	12	1	0	48	45	1.06666666667	9	0	0					
8	1	1	0	134	248	0.540322580645	9	0	0					
8	2	1	0	181	262	0.690839694656	9	0	0					
8	3	1	0	221	351	0.62962962963	9	0	0					
8	4	1	0	230	260	0.884615384615	9	0	0					
8	5	1	0	68	142	0.478873239437	9	0	0					
8	6	1	0	172	236	0.728813559322	9	0	0					
8	7	1	0	232	274	0.846715328467	9	0	0					
8	8	1	0	339	402	0.84328358209	9	0	0					
8	9	1	0	287	365	0.786301369863	9	0	0					
8	10	1	0	164	1067	0.153701968135	9	0	0					
8	11	1	0	152	1060	0.143396226415	9	0	0					
8	12	1	0	188	934	0.201284796574	9	0	0					
