Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	c1d4bd51-2ac0-4c50-a8be-ee3a9a213e46
Plate Name	Abdou 210331 GPV-1_HeLa_3h_20x _3ch _n2
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	527	634	0.831230283912	9	0	0					
1	2	1	0	586	489	1.19836400818	9	0	0					
1	3	1	0	869	359	2.42061281337	9	0	0					
1	4	1	0	1315	551	2.38656987296	9	0	0					
1	5	1	0	886	544	1.62867647059	9	0	0					
1	6	1	0	1094	536	2.04104477612	9	0	0					
1	7	1	0	1131	368	3.07336956522	9	0	0					
1	8	1	0	1342	478	2.80753138075	9	0	0					
1	9	1	0	1223	443	2.76072234763	9	0	0					
1	10	1	0	868	588	1.47619047619	9	0	0					
1	11	1	0	351	105	3.34285714286	9	0	0					
1	12	1	0	216	82	2.63414634146	9	0	0					
2	1	1	0	574	471	1.2186836518	9	0	0					
2	2	1	0	1176	645	1.82325581395	9	0	0					
2	3	1	0	1806	770	2.34545454545	9	0	0					
2	4	1	0	1753	578	3.03287197232	9	0	0					
2	5	1	0	1876	716	2.62011173184	9	0	0					
2	6	1	0	3133	817	3.83476132191	9	0	0					
2	7	1	0	2522	656	3.84451219512	9	0	0					
2	8	1	0	4925	784	6.2818877551	9	0	0					
2	9	1	0	2012	735	2.73741496599	9	0	0					
2	10	1	0	1579	661	2.38880484115	9	0	0					
2	11	1	0	868	454	1.91189427313	9	0	0					
2	12	1	0	457	181	2.52486187845	9	0	0					
3	1	1	0	1258	615	2.04552845528	9	0	0					
3	2	1	0	585	614	0.952768729642	9	0	0					
3	3	1	0	2282	879	2.59613196815	9	0	0					
3	4	1	0	2626	820	3.20243902439	9	0	0					
3	5	1	0	1222	847	1.4427390791	9	0	0					
3	6	1	0	1744	729	2.39231824417	9	0	0					
3	7	1	0	1754	346	5.06936416185	9	0	0					
3	8	1	0	2397	509	4.70923379175	9	0	0					
3	9	1	0	1846	789	2.33967046895	9	0	0					
3	10	1	0	1972	712	2.76966292135	9	0	0					
3	11	1	0	1787	766	2.33289817232	9	0	0					
3	12	1	0	69	713	0.0967741935484	9	0	0					
4	1	1	0	1013	576	1.75868055556	9	0	0					
4	2	1	0	1150	736	1.5625	9	0	0					
4	3	1	0	2392	906	2.64017660044	9	0	0					
4	4	1	0	3272	1003	3.26221335992	9	0	0					
4	5	1	0	2267	918	2.46949891068	9	0	0					
4	6	1	0	4478	1023	4.37732160313	9	0	0					
4	7	1	0	2466	924	2.66883116883	9	0	0					
4	8	1	0	3339	882	3.78571428571	9	0	0					
4	9	1	0	2370	952	2.48949579832	9	0	0					
4	10	1	0	3972	814	4.87960687961	9	0	0					
4	11	1	0	2577	812	3.1736453202	9	0	0					
4	12	1	0	559	166	3.36746987952	9	0	0					
5	1	1	0	122	584	0.208904109589	9	0	0					
5	2	1	0	1037	325	3.19076923077	9	0	0					
5	3	1	0	2164	1068	2.02621722846	9	0	0					
5	4	1	0	2566	985	2.60507614213	9	0	0					
5	5	1	0	2428	917	2.64776444929	9	0	0					
5	6	1	0	1481	783	1.89144316731	9	0	0					
5	7	1	0	2570	875	2.93714285714	9	0	0					
5	8	1	0	1891	910	2.07802197802	9	0	0					
5	9	1	0	1703	847	2.0106257379	9	0	0					
5	10	1	0	2245	879	2.55403868032	9	0	0					
5	11	1	0	1336	717	1.86331938633	9	0	0					
5	12	1	0	638	777	0.821106821107	9	0	0					
6	1	1	0	1104	782	1.41176470588	9	0	0					
6	2	1	0	2287	840	2.72261904762	9	0	0					
6	3	1	0	1750	921	1.90010857763	9	0	0					
6	4	1	0	2924	863	3.38818076477	9	0	0					
6	5	1	0	1315	942	1.39596602972	9	0	0					
6	6	1	0	1560	745	2.09395973154	9	0	0					
6	7	1	0	1520	936	1.62393162393	9	0	0					
6	8	1	0	3003	634	4.73659305994	9	0	0					
6	9	1	0	1722	854	2.01639344262	9	0	0					
6	10	1	0	2756	581	4.74354561102	9	0	0					
6	11	1	0	148	763	0.193971166448	9	0	0					
6	12	1	0	398	684	0.581871345029	9	0	0					
7	1	1	0	647	653	0.990811638591	9	0	0					
7	2	1	0	662	509	1.30058939096	9	0	0					
7	3	1	0	797	821	0.970767356882	9	0	0					
7	4	1	0	2331	990	2.35454545455	9	0	0					
7	5	1	0	865	798	1.08395989975	9	0	0					
7	6	1	0	1564	751	2.08255659121	9	0	0					
7	7	1	0	5106	939	5.43769968051	9	0	0					
7	8	1	0	1692	689	2.4557329463	9	0	0					
7	9	1	0	889	694	1.28097982709	9	0	0					
7	10	1	0	1122	255	4.4	9	0	0					
7	11	1	0	1172	576	2.03472222222	9	0	0					
7	12	1	0	597	613	0.973898858075	9	0	0					
8	1	1	0	269	646	0.416408668731	9	0	0					
8	2	1	0	478	538	0.888475836431	9	0	0					
8	3	1	0	570	728	0.782967032967	9	0	0					
8	4	1	0	1136	612	1.85620915033	9	0	0					
8	5	1	0	390	552	0.70652173913	9	0	0					
8	6	1	0	1032	615	1.67804878049	9	0	0					
8	7	1	0	381	338	1.12721893491	9	0	0					
8	8	1	0	744	342	2.17543859649	9	0	0					
8	9	1	0	154	433	0.355658198614	9	0	0					
8	10	1	0	189	616	0.306818181818	9	0	0					
8	11	1	0	221	539	0.410018552876	9	0	0					
8	12	1	0	170	629	0.27027027027	9	0	0					
