sample_id	sample_id2	phensim
zero	zero	-28.8939
1	1	-5.18741
2	2	43.606
3	3	-9.71657
4	4	-3.05003
5	5	12.3222
6	6	7.30935
7	7	-26.4005
8	8	0.0291773
9	9	-7.94669
10	10	2.68661
11	11	2.85033
12	12	-15.0524
13	13	-2.98256
14	14	-24.5119
15	15	22.1742
16	16	0.319384
17	17	-7.91761
18	18	17.8765
19	19	-33.2711
20	20	18.0401
21	21	12.7343
22	22	-15.7858
23	23	18.4427
24	24	10.7048
25	25	4.12188
26	26	21.5512
27	27	9.05736
28	28	-28.0997
29	29	-4.15538
30	30	-17.7862
31	31	9.4032
32	32	-17.4797
33	33	-10.7431
34	34	-10.7133
35	35	2.18483
36	36	-0.405059
37	37	23.1456
38	38	32.7835
39	39	-7.98297
40	40	-17.6294
41	41	-24.7088
42	42	-25.4465
43	43	-12.6256
44	44	9.43613
45	45	4.30869
46	46	1.2513
47	47	-7.80775
48	48	18.3745
49	49	-6.2893
50	50	-17.0812
51	51	-43.4665
52	52	-9.97073
53	53	31.1779
54	54	-21.5438
55	55	-14.4693
56	56	-11.7023
57	57	-4.80054
58	58	5.52412
59	59	15.0325
60	60	-8.94705
61	61	37.4321
62	62	6.28818
63	63	-7.18426
64	64	3.81264
65	65	-17.3253
66	66	4.63831
67	67	10.1463
68	68	-9.40216
69	69	7.58003
70	70	16.2849
71	71	2.94213
72	72	-1.84172
73	73	-14.8924
74	74	0.736793
75	75	17.0176
76	76	-11.1428
77	77	9.40114
78	78	-20.9757
79	79	-22.4605
80	80	16.1917
81	81	28.1646
82	82	26.3143
83	83	-5.48124
84	84	-1.91652
85	85	-1.7611
86	86	-5.63517
87	87	-9.90087
88	88	14.6673
89	89	20.9336
90	90	-3.26693
91	91	-23.9732
92	92	12.8183
93	93	-10.6373
94	94	-6.22571
95	95	30.9995
96	96	-15.0174
97	97	-32.012
98	98	-4.96102
99	99	30.711
100	100	-7.64743
101	101	-41.6402
102	102	-24.3326
103	103	-3.39027
104	104	0.249196
105	105	-3.12423
106	106	-33.547
107	107	5.94035
108	108	37.6897
109	109	-12.3665
110	110	-2.28181
111	111	-17.2013
112	112	4.95973
113	113	1.06858
114	114	-3.64419
115	115	25.9748
116	116	37.9068
117	117	7.77064
118	118	-4.65469
119	119	19.0538
120	120	-19.1446
121	121	-14.1096
122	122	4.72517
123	123	-14.224
124	124	-20.2787
125	125	5.43264
126	126	12.7462
127	127	-24.3107
128	128	-3.7194
129	129	-27.2963
130	130	7.68463
131	131	-0.562906
132	132	-5.69248
133	133	9.91867
134	134	-7.68358
135	135	-21.4588
136	136	1.86797
137	137	11.9728
138	138	19.6494
139	139	20.7431
140	140	-7.21802
141	141	17.2597
142	142	8.36387
143	143	4.80574
144	144	32.8671
145	145	20.2933
146	146	-8.94755
147	147	19.4575
148	148	14.5473
149	149	-15.2316
150	150	-7.41401
151	151	-13.9778
152	152	19.8037
153	153	-15.624
154	154	9.78581
155	155	-25.1355
156	156	-12.4759
157	157	17.0117
158	158	-29.5539
159	159	12.7305
160	160	-8.56998
161	161	27.7671
162	162	-5.66119
163	163	32.1733
164	164	-30.7433
165	165	39.6853
166	166	-7.86274
167	167	-13.5878
168	168	47.1878
169	169	18.2133
170	170	-16.7573
171	171	-12.5951
172	172	8.24886
173	173	2.43036
174	174	6.3072
175	175	-14.702
176	176	12.905
177	177	9.4081
178	178	14.5499
179	179	3.97713
180	180	34.1317
181	181	-12.9829
182	182	-17.2867
183	183	-0.0799954
184	184	7.3581
185	185	-6.65797
186	186	-9.8638
187	187	-10.4909
188	188	23.4576
189	189	-11.2225
190	190	10.7208
191	191	2.79379
192	192	-10.8058
193	193	9.76187
194	194	6.04053
195	195	7.4012
196	196	0.595721
197	197	-28.725
198	198	-36.7238
199	199	-25.1655
200	200	0.091363
201	201	0.09212
202	202	1.52547
203	203	-1.94365
204	204	13.0652
205	205	13.1646
206	206	4.97197
207	207	18.4384
208	208	-25.8082
209	209	18.5416
210	210	-0.108661
211	211	-1.78841
212	212	-31.2948
213	213	19.1096
214	214	43.1346
215	215	-11.3625
216	216	-21.1142
217	217	-5.05354
218	218	25.412
219	219	-3.23376
220	220	11.1183
221	221	-15.0964
222	222	4.52765
223	223	-15.7939
224	224	-22.513
225	225	-7.5878
226	226	-15.2992
227	227	-24.6433
228	228	2.6742
229	229	-12.8568
230	230	10.9423
231	231	19.1395
232	232	-6.18714
233	233	-11.784
234	234	-0.375717
235	235	-15.3346
236	236	3.2484
237	237	49.345
238	238	-6.09238
239	239	31.5665
240	240	5.36936
241	241	39.5639
242	242	-1.77893
243	243	49.3167
244	244	-8.3318
245	245	-16.393
246	246	2.20545
247	247	-38.093
248	248	20.5842
249	249	6.22811
250	250	-13.6204
251	251	-30.831
252	252	13.935
253	253	-10.7564
254	254	-6.99304
255	255	-22.2479
256	256	49.2666
257	257	-5.33191
258	258	-9.54816
259	259	10.5057
260	260	20.3231
261	261	-20.5633
262	262	-19.3396
263	263	-29.9672
264	264	-18.1505
265	265	-11.653
266	266	0.599633
267	267	9.71285
268	268	8.65779
269	269	3.97923
270	270	-23.8174
271	271	20.0935
272	272	2.31844
273	273	22.8812
274	274	-33.3995
275	275	-1.35624
276	276	4.07667
277	277	-10.1472
278	278	-25.2883
279	279	-13.1802
280	280	1.88545
281	281	31.0355
282	282	-13.6032
283	283	-22.7806
284	284	-0.500009
285	285	-19.0512
286	286	14.4763
287	287	-3.86481
288	288	-19.4836
289	289	26.3877
290	290	21.4
291	291	32.8387
292	292	-18.2126
293	293	-12.3569
294	294	-14.2241
295	295	-12.0931
296	296	-10.1344
297	297	5.08815
298	298	2.39175
299	299	-10.1489
300	300	17.4111
301	301	-18.1933
302	302	-18.2609
303	303	10.2328
304	304	-0.0998033
305	305	-10.6956
306	306	11.2291
307	307	-11.2736
308	308	42.4843
309	309	-5.02445
310	310	-6.78334
311	311	-7.15891
312	312	8.97067
313	313	11.8139
314	314	-21.8865
315	315	-2.16797
316	316	3.86123
317	317	-13.3952
318	318	3.39447
319	319	-3.00247
320	320	6.45957
321	321	-10.964
322	322	-12.2141
323	323	-25.0309
324	324	-7.40573
325	325	-11.6898
326	326	-24.4635
327	327	10.0877
328	328	-17.7459
329	329	0.15464
330	330	3.92977
331	331	-22.8301
332	332	-17.1644
333	333	23.335
334	334	-8.36989
335	335	6.76788
336	336	-3.66532
337	337	3.0822
338	338	17.2593
339	339	4.03515
340	340	16.7757
341	341	4.67559
342	342	-29.4087
343	343	-31.1468
344	344	-42.2113
345	345	-17.2978
346	346	-24.7834
347	347	12.4931
348	348	26.3771
349	349	10.0729
350	350	-5.1856
351	351	-2.36688
352	352	-9.11067
