sample_id	sample_id2	phensim
zero	zero	-32.4406
1	1	-3.16515
2	2	8.48839
3	3	33.3462
4	4	17.879
5	5	-6.27351
6	6	-5.67061
7	7	5.55008
8	8	17.5451
9	9	22.351
10	10	10.3614
11	11	-3.84953
12	12	-26.4841
13	13	6.77174
14	14	-19.0638
15	15	-4.11117
16	16	21.8772
17	17	-1.34589
18	18	-25.1915
19	19	-7.5036
20	20	36.5165
21	21	33.381
22	22	-19.4997
23	23	6.75998
24	24	18.8724
25	25	-27.0737
26	26	-18.953
27	27	-3.25535
28	28	-4.39598
29	29	13.4112
30	30	-35.3117
31	31	25.392
32	32	12.7115
33	33	-34.2983
34	34	7.55226
35	35	-23.7375
36	36	10.0677
37	37	-5.2999
38	38	-10.3083
39	39	16.9135
40	40	28.1848
41	41	38.5409
42	42	18.6432
43	43	20.8746
44	44	16.3984
45	45	-11.0301
46	46	-18.1939
47	47	19.7609
48	48	-35.3526
49	49	13.819
50	50	-1.95063
51	51	-11.0155
52	52	-7.69473
53	53	15.9889
54	54	-6.71985
55	55	-21.4426
56	56	22.0466
57	57	-1.0312
58	58	-20.2369
59	59	13.4429
60	60	31.54
61	61	7.8329
62	62	-20.5459
63	63	-28.7087
64	64	2.61125
65	65	21.8162
66	66	-11.0153
67	67	-11.298
68	68	10.7335
69	69	16.84
70	70	-19.6371
71	71	6.93032
72	72	-10.3442
73	73	-12.0329
74	74	-0.970436
75	75	-9.37173
76	76	3.10211
77	77	12.7749
78	78	0.623758
79	79	-11.7034
80	80	-4.30305
81	81	-21.2376
82	82	26.541
83	83	16.0309
84	84	-30.892
85	85	24.9986
86	86	7.55788
87	87	6.23474
88	88	4.6936
89	89	11.7904
90	90	-1.79672
91	91	17.1098
92	92	8.51849
93	93	13.68
94	94	13.0184
95	95	7.03944
96	96	-13.9466
97	97	21.492
98	98	41.7138
99	99	2.56961
100	100	-20.3439
101	101	-31.0485
102	102	14.7291
103	103	-29.449
104	104	6.86406
105	105	-24.8998
106	106	-1.17313
107	107	-6.78236
108	108	-2.44831
109	109	7.23295
110	110	-10.5147
111	111	-1.17626
112	112	4.3892
113	113	-23.5452
114	114	-31.1999
115	115	-7.3618
116	116	9.23748
117	117	-5.85781
118	118	-11.7234
119	119	-32.9458
120	120	-25.1313
121	121	28.2324
122	122	10.1207
123	123	3.4565
124	124	15.8218
125	125	12.0517
126	126	-3.38995
127	127	-17.9934
128	128	-13.7486
129	129	4.66505
130	130	5.81414
131	131	-44.4585
132	132	50.5836
133	133	-22.3574
134	134	17.0465
135	135	23.2047
136	136	-6.99824
137	137	7.61458
138	138	-11.581
139	139	3.5146
140	140	11.6172
141	141	17.6241
142	142	-17.6838
143	143	-46.9271
144	144	-23.9004
145	145	1.18841
146	146	-41.5402
147	147	14.7274
148	148	30.8656
149	149	9.20416
150	150	-13.7445
151	151	22.2496
152	152	-35.2362
153	153	0.839239
154	154	-6.90847
155	155	-45.9374
156	156	-8.32932
157	157	2.73835
158	158	15.2187
159	159	-17.1229
160	160	6.73676
161	161	-2.60237
162	162	3.36069
163	163	16.9259
164	164	-41.7575
165	165	-5.74583
166	166	-7.76472
167	167	38.1055
168	168	-2.71481
169	169	-4.13124
170	170	3.46786
171	171	-37.5274
172	172	4.87664
173	173	2.92041
174	174	-11.7689
175	175	8.22974
176	176	-34.1314
177	177	-12.72
178	178	12.3558
179	179	8.43496
180	180	6.05252
181	181	33.2842
182	182	12.3228
183	183	-25.2337
184	184	-22.6264
185	185	6.12071
186	186	-9.31986
187	187	-33.1793
188	188	-26.6832
189	189	-29.931
190	190	19.9303
191	191	14.3057
192	192	-10.956
193	193	1.96951
194	194	8.24379
195	195	15.421
196	196	-6.9682
197	197	-7.37239
198	198	45.5044
199	199	-38.0836
200	200	31.9671
201	201	14.5613
202	202	6.32756
203	203	-4.18828
204	204	7.8523
205	205	7.65896
206	206	22.9212
207	207	-18.5058
208	208	-9.90469
209	209	-4.51853
210	210	-0.769835
211	211	-4.25353
212	212	18.5114
213	213	1.17929
214	214	-6.42199
215	215	14.1495
216	216	-27.397
217	217	6.077
218	218	14.7472
219	219	22.6199
220	220	9.56185
221	221	6.93694
222	222	0.472393
223	223	-26.7361
224	224	-14.5701
225	225	-36.4735
226	226	14.5516
227	227	-14.8286
228	228	-5.50201
229	229	40.8672
230	230	-14.5962
231	231	24.421
232	232	12.6245
233	233	-28.2195
234	234	14.8717
235	235	-26.8556
236	236	22.309
237	237	26.0498
238	238	-19.5206
239	239	27.1072
240	240	15.5018
241	241	8.01967
242	242	29.3385
243	243	-17.0788
244	244	5.03697
245	245	-8.45703
246	246	31.4578
247	247	1.30965
248	248	7.39139
249	249	-31.0763
250	250	23.5801
251	251	3.45286
252	252	-11.1992
253	253	-10.6971
254	254	13.6836
255	255	-25.3941
256	256	24.0105
257	257	-23.1069
258	258	-1.22798
259	259	21.846
260	260	-21.945
261	261	-8.58744
262	262	28.9673
263	263	28.2217
264	264	18.0973
265	265	-10.3103
266	266	-12.6421
267	267	-28.181
268	268	0.790282
269	269	36.039
270	270	-11.9728
271	271	18.2841
272	272	-11.8601
273	273	-33.993
274	274	5.41859
275	275	-4.31645
276	276	-28.4921
277	277	11.835
278	278	10.4512
279	279	-3.03125
280	280	41.603
281	281	-10.168
282	282	-13.1968
283	283	-7.96874
284	284	-7.48072
285	285	-3.72197
286	286	-18.0602
287	287	1.25874
288	288	8.65935
289	289	-18.8922
290	290	-10.0638
291	291	5.98077
292	292	16.5791
293	293	-19.0454
294	294	22.955
