variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
EW033_RS00005	1.29E-02	4.69E-01	9.48E-01	-2.60E-02	4.02E-01	3.30E-03	
EW033_RS00010	2.58E-02	1.60E-05	5.99E-02	6.16E-01	3.26E-01	9.57E-02	
EW033_RS00015	1.55E-02	2.09E-01	2.17E-01	5.61E-01	4.53E-01	6.29E-02	
EW033_RS00020	1.55E-02	4.67E-01	3.82E-02	-9.24E-01	4.44E-01	1.05E-01	
EW033_RS00025	3.10E-02	5.58E-01	6.54E-01	1.33E-01	2.97E-01	2.29E-02	
EW033_RS00030	6.46E-02	7.60E-01	2.51E-01	-2.27E-01	1.97E-01	5.86E-02	
EW033_RS00040	9.56E-02	2.40E-01	3.67E-01	-1.65E-01	1.82E-01	4.60E-02	
EW033_RS00050	3.88E-02	3.73E-01	9.45E-02	-4.79E-01	2.86E-01	8.51E-02	
EW033_RS00055	2.58E-02	3.36E-03	5.06E-01	2.50E-01	3.76E-01	3.39E-02	
EW033_RS00060	3.10E-02	8.86E-03	8.99E-02	4.93E-01	2.90E-01	8.63E-02	
EW033_RS00065	3.36E-02	1.44E-01	6.46E-01	1.40E-01	3.04E-01	2.34E-02	
EW033_RS00070	4.91E-02	3.65E-01	3.78E-02	-5.42E-01	2.60E-01	1.06E-01	
EW033_RS00075	4.13E-02	2.76E-01	7.31E-01	8.57E-02	2.49E-01	1.75E-02	
EW033_RS00080	1.29E-02	2.23E-01	4.61E-01	3.44E-01	4.66E-01	3.76E-02	
EW033_RS00085	4.91E-02	4.10E-02	4.75E-01	1.72E-01	2.41E-01	3.64E-02	
EW033_RS00095	1.03E-02	4.02E-02	9.37E-03	1.17E+00	4.47E-01	1.32E-01	
EW033_RS00110	1.29E-02	1.34E-01	8.50E-01	7.63E-02	4.03E-01	9.65E-03	
EW033_RS00115	3.10E-02	8.64E-01	5.63E-01	-1.70E-01	2.94E-01	2.95E-02	
EW033_RS00120	5.17E-02	6.99E-01	6.94E-01	-8.72E-02	2.22E-01	2.01E-02	
EW033_RS00125	5.94E-02	9.42E-01	3.55E-01	-1.94E-01	2.10E-01	4.71E-02	
EW033_RS00130	1.81E-02	4.35E-01	8.26E-01	9.43E-02	4.28E-01	1.12E-02	
EW033_RS00135	1.11E-01	3.00E-01	1.96E-01	-2.17E-01	1.68E-01	6.58E-02	
EW033_RS00140	3.62E-02	8.16E-01	7.52E-02	-5.02E-01	2.81E-01	9.06E-02	
EW033_RS00615	3.10E-02	4.74E-01	9.06E-01	-3.85E-02	3.25E-01	6.04E-03	
EW033_RS00620	1.55E-02	5.01E-01	3.59E-02	-9.69E-01	4.60E-01	1.07E-01	
EW033_RS00625	2.33E-02	1.62E-01	1.36E-01	-5.49E-01	3.67E-01	7.59E-02	
EW033_RS00630	3.36E-02	5.62E-01	6.76E-01	-1.17E-01	2.79E-01	2.13E-02	
EW033_RS00640	3.36E-02	6.99E-01	4.81E-02	-5.83E-01	2.94E-01	1.01E-01	
EW033_RS00645	7.49E-02	5.47E-01	2.43E-01	-2.25E-01	1.93E-01	5.95E-02	
EW033_RS00650	2.33E-02	7.29E-01	4.81E-01	-2.64E-01	3.74E-01	3.59E-02	
EW033_RS00655	1.01E-01	9.19E-02	7.56E-01	5.51E-02	1.77E-01	1.58E-02	
EW033_RS00660	2.33E-02	4.65E-02	5.19E-01	2.08E-01	3.22E-01	3.29E-02	
EW033_RS00665	5.94E-02	4.86E-01	1.03E-02	-5.55E-01	2.15E-01	1.30E-01	
EW033_RS00675	5.43E-02	6.39E-01	3.98E-02	-4.71E-01	2.28E-01	1.05E-01	
EW033_RS00680	2.33E-02	1.05E-01	5.93E-01	-2.23E-01	4.17E-01	2.72E-02	
EW033_RS00685	3.62E-02	3.94E-02	2.38E-01	2.88E-01	2.44E-01	6.01E-02	
EW033_RS00690	9.30E-02	4.03E-01	8.23E-01	-3.84E-02	1.72E-01	1.14E-02	
EW033_RS00700	1.81E-02	3.27E-02	4.76E-03	-1.02E+00	3.60E-01	1.43E-01	
EW033_RS00705	2.84E-02	4.58E-01	6.37E-02	-6.68E-01	3.59E-01	9.43E-02	
EW033_RS00710	4.13E-02	5.63E-01	5.09E-01	-1.69E-01	2.56E-01	3.37E-02	
EW033_RS00715	3.62E-02	6.62E-01	8.62E-01	-4.58E-02	2.63E-01	8.87E-03	
EW033_RS00720	1.55E-02	2.08E-01	6.64E-01	-1.83E-01	4.20E-01	2.22E-02	
EW033_RS00725	2.84E-02	4.50E-01	8.60E-01	5.52E-02	3.13E-01	8.99E-03	
EW033_RS00730	6.98E-02	1.03E-03	2.13E-01	2.56E-01	2.05E-01	6.34E-02	
EW033_RS00735	4.39E-02	2.97E-01	9.01E-01	-3.34E-02	2.69E-01	6.34E-03	
EW033_RS00740	4.91E-02	1.84E-02	9.88E-01	-3.97E-03	2.68E-01	7.54E-04	
EW033_RS00745	6.46E-02	1.43E-01	6.45E-01	9.17E-02	1.99E-01	2.35E-02	
EW033_RS00750	3.10E-02	3.46E-02	6.20E-01	-1.71E-01	3.45E-01	2.53E-02	
EW033_RS00755	5.17E-02	3.88E-02	4.86E-01	1.74E-01	2.50E-01	3.55E-02	
EW033_RS00760	1.29E-02	4.09E-01	5.39E-01	2.76E-01	4.49E-01	3.13E-02	
EW033_RS00770	3.62E-02	1.85E-01	7.61E-01	8.30E-02	2.73E-01	1.55E-02	
EW033_RS00785	2.58E-02	7.89E-01	5.16E-01	-2.06E-01	3.17E-01	3.31E-02	
EW033_RS00790	1.55E-02	7.98E-01	1.59E-01	-5.53E-01	3.92E-01	7.17E-02	
EW033_RS00795	3.88E-02	3.71E-01	7.68E-01	-7.92E-02	2.69E-01	1.50E-02	
EW033_RS00800	4.13E-02	5.82E-01	9.61E-02	-4.73E-01	2.84E-01	8.47E-02	
EW033_RS00805	6.46E-02	2.10E-01	7.80E-01	-5.78E-02	2.07E-01	1.42E-02	
EW033_RS00820	1.29E-02	1.43E-01	7.73E-01	1.48E-01	5.14E-01	1.47E-02	
EW033_RS00830	2.84E-02	2.05E-02	2.62E-01	-3.57E-01	3.18E-01	5.72E-02	
EW033_RS00835	2.84E-02	6.57E-01	3.43E-01	2.96E-01	3.12E-01	4.83E-02	
EW033_RS00840	1.81E-02	3.76E-02	6.98E-01	1.69E-01	4.34E-01	1.98E-02	
EW033_RS00845	3.10E-02	2.52E-01	2.22E-01	3.50E-01	2.86E-01	6.23E-02	
EW033_RS00850	4.13E-02	4.34E-01	4.73E-01	1.80E-01	2.51E-01	3.66E-02	
EW033_RS00855	2.33E-02	6.38E-01	2.69E-01	-3.80E-01	3.43E-01	5.63E-02	
EW033_RS00860	4.91E-02	1.43E-01	9.74E-01	-7.48E-03	2.30E-01	1.66E-03	
EW033_RS00865	2.84E-02	3.15E-02	1.88E-01	3.96E-01	3.00E-01	6.71E-02	
EW033_RS00870	4.65E-02	1.07E-01	3.66E-01	2.13E-01	2.36E-01	4.61E-02	
EW033_RS00875	5.17E-02	4.00E-01	7.21E-01	-8.77E-02	2.46E-01	1.82E-02	
EW033_RS00890	6.20E-02	4.52E-01	8.30E-01	4.89E-02	2.27E-01	1.10E-02	
EW033_RS00895	4.65E-02	1.53E-01	1.69E-01	3.10E-01	2.25E-01	7.01E-02	
EW033_RS00900	1.03E-02	7.11E-01	9.24E-01	-5.33E-02	5.56E-01	4.89E-03	
EW033_RS00905	2.58E-02	5.36E-01	5.79E-01	-1.94E-01	3.50E-01	2.83E-02	
EW033_RS00910	1.06E-01	4.15E-01	4.54E-01	-1.15E-01	1.54E-01	3.81E-02	
EW033_RS00915	2.33E-02	6.12E-01	5.71E-01	1.68E-01	2.96E-01	2.89E-02	
EW033_RS00920	6.20E-02	2.56E-02	4.79E-01	-1.54E-01	2.16E-01	3.61E-02	
