GP-0001	BPH2704	BPH2705
GP-0002	BPH2705	BPH2704
GP-0003	BPH2708	BPH2709
GP-0004	BPH2709	BPH2708
GP-0005	BPH2710	BPH2780
GP-0006	BPH2710	BPH2896
GP-0007	BPH2710	BPH3372
GP-0008	BPH2710	BPH3376
GP-0009	BPH2710	BPH3382
GP-0010	BPH2710	BPH3435
GP-0011	BPH2710	BPH3483
GP-0012	BPH2713	BPH2714
GP-0013	BPH2714	BPH2713
GP-0014	BPH2718	BPH2798
GP-0015	BPH2718	BPH2799
GP-0016	BPH2718	BPH2800
GP-0017	BPH2718	BPH2946
GP-0018	BPH2726	BPH2727
GP-0019	BPH2726	BPH3372
GP-0020	BPH2726	BPH3376
GP-0021	BPH2726	BPH3382
GP-0022	BPH2726	BPH3435
GP-0023	BPH2727	BPH2726
GP-0024	BPH2727	BPH3372
GP-0025	BPH2727	BPH3376
GP-0026	BPH2727	BPH3382
GP-0027	BPH2727	BPH3435
GP-0028	BPH2727	BPH3483
GP-0029	BPH2728	BPH2729
GP-0030	BPH2728	BPH2730
GP-0031	BPH2729	BPH2728
GP-0032	BPH2729	BPH2730
GP-0033	BPH2730	BPH2728
GP-0034	BPH2730	BPH2729
GP-0035	BPH2737	BPH2738
GP-0036	BPH2738	BPH2737
GP-0037	BPH2747	BPH2748
GP-0038	BPH2748	BPH2747
GP-0039	BPH2750	BPH2751
GP-0040	BPH2751	BPH2750
GP-0041	BPH2754	BPH2755
GP-0042	BPH2755	BPH2754
GP-0043	BPH2763	BPH2764
GP-0044	BPH2764	BPH2763
GP-0045	BPH2770	BPH2771
GP-0046	BPH2771	BPH2770
GP-0047	BPH2777	BPH2778
GP-0048	BPH2778	BPH2777
GP-0049	BPH2779	BPH3394
GP-0050	BPH2780	BPH2710
GP-0051	BPH2780	BPH2896
GP-0052	BPH2780	BPH3372
GP-0053	BPH2780	BPH3376
GP-0054	BPH2780	BPH3382
GP-0055	BPH2780	BPH3435
GP-0056	BPH2780	BPH3483
GP-0057	BPH2781	BPH2982
GP-0058	BPH2781	BPH3376
GP-0059	BPH2781	BPH3382
GP-0060	BPH2781	BPH3435
GP-0061	BPH2783	BPH2847
GP-0062	BPH2787	BPH2869
GP-0063	BPH2787	BPH3202
GP-0064	BPH2787	BPH3636
GP-0065	BPH2787	BPH3638
GP-0066	BPH2787	BPH3640
GP-0067	BPH2787	BPH3643
GP-0068	BPH2787	BPH3644
GP-0069	BPH2787	BPH3646
GP-0070	BPH2787	BPH3648
GP-0071	BPH2787	BPH3650
GP-0072	BPH2787	BPH3652
GP-0073	BPH2787	BPH3658
GP-0074	BPH2787	BPH3660
GP-0075	BPH2787	BPH3662
GP-0076	BPH2787	BPH3666
GP-0077	BPH2787	BPH3668
GP-0078	BPH2787	BPH3670
GP-0079	BPH2787	BPH3672
GP-0080	BPH2787	BPH3674
GP-0081	BPH2787	BPH3676
GP-0082	BPH2787	BPH3682
GP-0083	BPH2787	BPH3684
GP-0084	BPH2787	BPH3686
GP-0085	BPH2787	BPH3688
GP-0086	BPH2787	BPH3692
GP-0087	BPH2787	BPH3694
GP-0088	BPH2787	BPH3698
GP-0089	BPH2787	BPH3700
GP-0090	BPH2787	BPH3702
GP-0091	BPH2787	BPH3704
GP-0092	BPH2787	BPH3706
GP-0093	BPH2787	BPH3710
GP-0094	BPH2787	BPH3712
GP-0095	BPH2787	BPH3753
GP-0096	BPH2787	BPH3755
GP-0097	BPH2787	BPH3757
