variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
EW033_RS00085	3.21E-01	4.90E-01	7.39E-01	-1.16E-01	3.48E-01	4.54E-02	
EW033_RS00650	3.57E-02	9.68E-01	8.67E-01	-1.54E-01	9.12E-01	2.30E-02	
EW033_RS00655	3.57E-02	2.16E-01	4.77E-01	6.75E-01	9.43E-01	9.69E-02	
EW033_RS00740	3.93E-01	1.17E-02	5.55E-02	7.97E-01	4.07E-01	2.57E-01	
EW033_RS00770	3.57E-02	7.72E-01	8.45E-01	1.81E-01	9.20E-01	2.68E-02	
EW033_RS00785	1.07E-01	9.99E-01	7.76E-01	-1.83E-01	6.40E-01	3.90E-02	
EW033_RS00790	1.07E-01	9.99E-01	7.76E-01	-1.83E-01	6.40E-01	3.90E-02	
EW033_RS00830	3.57E-02	4.79E-01	3.11E-01	-8.80E-01	8.60E-01	1.38E-01	
EW033_RS00860	3.57E-02	7.72E-01	8.45E-01	1.81E-01	9.20E-01	2.68E-02	
EW033_RS01025	3.57E-02	7.90E-01	9.72E-01	-2.84E-02	8.17E-01	4.72E-03	
EW033_RS01030	1.07E-01	9.99E-01	7.76E-01	-1.83E-01	6.40E-01	3.90E-02	
EW033_RS01045	2.86E-01	4.65E-01	7.88E-01	-9.84E-02	3.65E-01	3.67E-02	
EW033_RS01050	8.93E-02	7.23E-01	5.79E-01	-3.62E-01	6.48E-01	7.58E-02	
EW033_RS01080	3.57E-02	6.82E-02	2.62E-01	9.59E-01	8.46E-01	1.52E-01	
EW033_RS01085	8.93E-02	2.07E-01	2.54E-01	6.62E-01	5.74E-01	1.55E-01	
EW033_RS01090	3.57E-02	2.16E-01	4.77E-01	6.75E-01	9.43E-01	9.69E-02	
EW033_RS01100	3.57E-02	2.16E-01	4.77E-01	6.75E-01	9.43E-01	9.69E-02	
EW033_RS01105	3.57E-02	6.40E-06	1.91E-01	-1.08E+00	8.16E-01	1.77E-01	
EW033_RS01115	7.14E-02	3.45E-01	4.23E-01	5.35E-01	6.63E-01	1.09E-01	
EW033_RS01165	3.57E-02	2.83E-01	6.04E-01	4.46E-01	8.54E-01	7.08E-02	
EW033_RS01305	3.57E-02	2.16E-01	4.77E-01	6.75E-01	9.43E-01	9.69E-02	
EW033_RS01330	1.07E-01	9.99E-01	7.76E-01	-1.83E-01	6.40E-01	3.90E-02	
EW033_RS01345	2.50E-01	2.65E-01	5.68E-01	-2.20E-01	3.83E-01	7.80E-02	
EW033_RS01355	1.79E-01	2.59E-01	4.76E-01	3.36E-01	4.68E-01	9.72E-02	
EW033_RS01360	7.14E-02	7.55E-01	8.92E-01	8.69E-02	6.34E-01	1.86E-02	
EW033_RS01390	2.68E-01	2.29E-01	4.72E-01	-2.67E-01	3.69E-01	9.80E-02	
EW033_RS01435	3.04E-01	1.04E-01	3.51E-01	3.73E-01	3.97E-01	1.27E-01	
EW033_RS01500	1.07E-01	9.99E-01	7.76E-01	-1.83E-01	6.40E-01	3.90E-02	
EW033_RS01535	3.57E-02	9.83E-01	8.50E-01	-1.65E-01	8.65E-01	2.59E-02	
EW033_RS01590	3.57E-02	8.88E-01	8.54E-01	1.69E-01	9.12E-01	2.51E-02	
EW033_RS01595	3.57E-02	7.72E-01	8.45E-01	1.81E-01	9.20E-01	2.68E-02	
EW033_RS01690	5.18E-01	3.21E-02	1.86E-01	5.47E-01	4.09E-01	1.79E-01	
EW033_RS01720	2.14E-01	9.69E-01	6.88E-01	-1.92E-01	4.76E-01	5.48E-02	
EW033_RS01725	3.57E-02	4.66E-01	2.70E-01	9.45E-01	8.49E-01	1.50E-01	
EW033_RS01730	7.14E-02	9.80E-01	8.90E-01	-1.09E-01	7.81E-01	1.89E-02	
