variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
SAUSA300_2094	3.57E-02	6.75E-02	4.66E-02	-1.65E+00	8.09E-01	-2.73E-01		
SAUSA300_1235	3.57E-02	2.40E-01	1.02E-01	-1.36E+00	8.18E-01	-2.83E-01		
SAUSA300_1991	5.36E-02	2.42E-02	4.19E-02	-1.39E+00	6.65E-01	-2.58E-01		
SAUSA300_0891	5.36E-02	9.23E-06	9.68E-03	-1.74E+00	6.50E-01	-2.39E-01		
SAUSA300_0180	3.57E-02	1.34E-01	1.21E-01	-1.29E+00	8.21E-01	-2.86E-01		
SAUSA300_2431	3.57E-02	1.55E-03	2.16E-01	-1.04E+00	8.27E-01	-2.95E-01		
SAUSA300_1250	3.57E-02	4.41E-07	2.77E-01	-9.11E-01	8.30E-01	-2.99E-01		
SAUSA300_1293	3.57E-02	8.73E-05	3.22E-01	-8.32E-01	8.32E-01	-3.02E-01		
SAUSA300_0191	5.36E-02	4.44E-08	8.98E-02	-1.16E+00	6.73E-01	-2.70E-01		
SAUSA300_0181	5.36E-02	1.86E-01	2.35E-01	-8.20E-01	6.83E-01	-2.88E-01		
SAUSA300_1112	3.57E-02	6.45E-01	5.33E-01	-5.25E-01	8.36E-01	-3.13E-01		
SAUSA300_1992	1.61E-01	5.35E-05	1.85E-05	-1.68E+00	3.57E-01	-6.22E-02		
SAUSA300_1123	3.57E-02	5.30E-01	6.15E-01	-4.23E-01	8.37E-01	-3.17E-01		
SAUSA300_0200	3.57E-02	5.21E-01	5.15E-01	-5.48E-01	8.36E-01	-3.12E-01		
SAUSA300_0247	3.57E-02	5.39E-01	6.83E-01	-3.44E-01	8.38E-01	-3.20E-01		
SAUSA300_0756	3.57E-02	5.36E-01	6.66E-01	-3.64E-01	8.38E-01	-3.19E-01		
SAUSA300_0123	3.57E-02	5.30E-01	6.15E-01	-4.23E-01	8.37E-01	-3.17E-01		
SAUSA300_0113	3.57E-02	5.30E-01	6.15E-01	-4.23E-01	8.37E-01	-3.17E-01		
SAUSA300_2589	3.57E-02	5.30E-01	6.15E-01	-4.23E-01	8.37E-01	-3.17E-01		
SAUSA300_1902	3.57E-02	5.21E-01	5.15E-01	-5.48E-01	8.36E-01	-3.12E-01		
SAUSA300_2109	3.57E-02	5.30E-01	6.15E-01	-4.23E-01	8.37E-01	-3.17E-01		
SAUSA300_2297	3.57E-02	5.20E-01	5.02E-01	-5.65E-01	8.36E-01	-3.12E-01		
SAUSA300_1713	5.36E-02	2.34E-01	2.45E-01	-8.03E-01	6.83E-01	-2.89E-01		
SAUSA300_2001	3.57E-02	5.23E-01	5.46E-01	-5.08E-01	8.36E-01	-3.14E-01		
SAUSA300_0537	3.57E-02	2.57E-02	2.40E-01	-9.85E-01	8.28E-01	-2.97E-01		
SAUSA300_0972	3.57E-02	1.05E-08	1.77E-01	-1.13E+00	8.25E-01	-2.92E-01		
SAUSA300_1886	3.57E-02	1.62E-03	2.12E-01	-1.04E+00	8.27E-01	-2.95E-01		
SAUSA300_0911	3.57E-02	3.94E-02	8.65E-02	-1.43E+00	8.16E-01	-2.81E-01		
SAUSA300_1075	3.57E-02	5.24E-04	1.47E-01	-1.21E+00	8.23E-01	-2.89E-01		
SAUSA300_2281	3.57E-02	7.44E-01	7.94E-01	-2.20E-01	8.39E-01	-3.24E-01		
SAUSA300_2007	3.57E-02	2.59E-05	2.33E-01	-9.99E-01	8.28E-01	-2.96E-01		
SAUSA300_0481	5.36E-02	2.42E-02	9.33E-02	-1.15E+00	6.74E-01	-2.70E-01		
SAUSA300_0237	3.57E-02	2.59E-05	2.33E-01	-9.99E-01	8.28E-01	-2.96E-01		
SAUSA300_1307	3.57E-02	2.02E-02	7.89E-02	-1.46E+00	8.15E-01	-2.80E-01		
SAUSA300_0764	3.57E-02	1.18E-07	9.18E-02	-1.40E+00	8.17E-01	-2.82E-01		
SAUSA300_0978	3.57E-02	9.53E-02	2.14E-01	-1.04E+00	8.27E-01	-2.95E-01		
SAUSA300_1327	7.14E-02	1.34E-03	1.56E-02	-1.43E+00	5.73E-01	-2.30E-01		
SAUSA300_2584	3.57E-02	1.78E-08	1.75E-01	-1.13E+00	8.25E-01	-2.91E-01		
SAUSA300_0244	3.57E-02	1.54E-02	2.73E-01	-9.20E-01	8.30E-01	-2.99E-01		
SAUSA300_0630	3.57E-02	1.78E-08	1.75E-01	-1.13E+00	8.25E-01	-2.91E-01		
SAUSA300_0986	3.57E-02	7.52E-09	1.79E-01	-1.12E+00	8.25E-01	-2.92E-01		
SAUSA300_1370	3.57E-02	3.88E-02	2.52E-01	-9.60E-01	8.29E-01	-2.98E-01		
SAUSA300_2441	3.57E-02	7.99E-10	1.60E-01	-1.17E+00	8.24E-01	-2.90E-01		
