well,sample,wave_length,f_signal_endpoint,experiment,plate
A01,Sample X1,WL493,42806,exp190831,2
A01,Sample X1,WL535,31890,exp190831,2
A02,Sample X2,WL493,41946,exp190831,2
A02,Sample X2,WL535,31312,exp190831,2
A03,Sample X3,WL493,44661,exp190831,2
A03,Sample X3,WL535,34600,exp190831,2
A04,Sample X4,WL493,38306,exp190831,2
A04,Sample X4,WL535,24254,exp190831,2
A05,Sample X5,WL493,39001,exp190831,2
A05,Sample X5,WL535,23219,exp190831,2
A06,Sample X6,WL493,38294,exp190831,2
A06,Sample X6,WL535,23618,exp190831,2
A07,Sample X7,WL493,43864,exp190831,2
A07,Sample X7,WL535,36180,exp190831,2
A08,Sample X8,WL493,43664,exp190831,2
A08,Sample X8,WL535,36474,exp190831,2
A09,Sample X9,WL493,43334,exp190831,2
A09,Sample X9,WL535,33962,exp190831,2
A10,Sample X10,WL493,44293,exp190831,2
A10,Sample X10,WL535,37416,exp190831,2
A11,Sample X11,WL493,38205,exp190831,2
A11,Sample X11,WL535,24113,exp190831,2
A12,Sample X12,WL493,42085,exp190831,2
A12,Sample X12,WL535,31845,exp190831,2
B01,Sample X13,WL493,40358,exp190831,2
B01,Sample X13,WL535,30059,exp190831,2
B02,Sample X14,WL493,41651,exp190831,2
B02,Sample X14,WL535,32851,exp190831,2
B03,Sample X15,WL493,38896,exp190831,2
B03,Sample X15,WL535,26757,exp190831,2
B04,Sample X16,WL493,39658,exp190831,2
B04,Sample X16,WL535,28099,exp190831,2
B05,Sample X17,WL493,45146,exp190831,2
B05,Sample X17,WL535,44315,exp190831,2
B06,Sample X18,WL493,36864,exp190831,2
B06,Sample X18,WL535,21557,exp190831,2
B07,Sample X19,WL493,36613,exp190831,2
B07,Sample X19,WL535,22083,exp190831,2
B08,Sample X20,WL493,36839,exp190831,2
B08,Sample X20,WL535,22568,exp190831,2
B09,Sample X21,WL493,37522,exp190831,2
B09,Sample X21,WL535,21335,exp190831,2
B10,Sample X22,WL493,39951,exp190831,2
B10,Sample X22,WL535,29842,exp190831,2
B11,Sample X23,WL493,40126,exp190831,2
B11,Sample X23,WL535,31293,exp190831,2
B12,Sample X24,WL493,42226,exp190831,2
B12,Sample X24,WL535,33071,exp190831,2
C01,Sample X25,WL493,36828,exp190831,2
C01,Sample X25,WL535,23159,exp190831,2
C02,Sample X26,WL493,36510,exp190831,2
C02,Sample X26,WL535,23111,exp190831,2
C03,Sample X27,WL493,38561,exp190831,2
C03,Sample X27,WL535,27460,exp190831,2
C04,Sample X28,WL493,37511,exp190831,2
C04,Sample X28,WL535,25149,exp190831,2
C05,Sample X29,WL493,38656,exp190831,2
C05,Sample X29,WL535,28215,exp190831,2
C06,Sample X30,WL493,40416,exp190831,2
C06,Sample X30,WL535,32205,exp190831,2
C07,Sample X31,WL493,37670,exp190831,2
C07,Sample X31,WL535,25370,exp190831,2
C08,Sample X32,WL493,40179,exp190831,2
