inoculum_OD,well,inoculum_OD_blank_normalised,experiment,plate
NA,H10,TRUE,310831,2
NA,H11,TRUE,310831,2
NA,H12,TRUE,310831,2
0.528,A01,TRUE,310831,2
0.795,A02,TRUE,310831,2
0.71,A03,TRUE,310831,2
0.786,A04,TRUE,310831,2
0.001,A05,TRUE,310831,2
0.55,A06,TRUE,310831,2
0.636,A07,TRUE,310831,2
0.533,A08,TRUE,310831,2
0.651,A09,TRUE,310831,2
0.59,A10,TRUE,310831,2
0.416,A11,TRUE,310831,2
0.602,A12,TRUE,310831,2
0.577,B01,TRUE,310831,2
0.569,B02,TRUE,310831,2
0.497,B03,TRUE,310831,2
0.537,B04,TRUE,310831,2
0.592,B05,TRUE,310831,2
0.494,B06,TRUE,310831,2
0.521,B07,TRUE,310831,2
0.543,B08,TRUE,310831,2
0.644,B09,TRUE,310831,2
0.451,B10,TRUE,310831,2
0.366,B11,TRUE,310831,2
0.665,B12,TRUE,310831,2
0.389,C01,TRUE,310831,2
0.712,C02,TRUE,310831,2
0.379,C03,TRUE,310831,2
0.435,C04,TRUE,310831,2
0.358,C05,TRUE,310831,2
0.427,C06,TRUE,310831,2
0.399,C07,TRUE,310831,2
0.463,C08,TRUE,310831,2
0.472,C09,TRUE,310831,2
0.381,C10,TRUE,310831,2
0.454,C11,TRUE,310831,2
0.513,C12,TRUE,310831,2
0.525,D01,TRUE,310831,2
0.419,D02,TRUE,310831,2
0.504,D03,TRUE,310831,2
0.383,D04,TRUE,310831,2
0.468,D05,TRUE,310831,2
0.494,D06,TRUE,310831,2
0.419,D07,TRUE,310831,2
0.456,D08,TRUE,310831,2
0.386,D09,TRUE,310831,2
0.373,D10,TRUE,310831,2
0.413,D11,TRUE,310831,2
0.441,D12,TRUE,310831,2
0.444,E01,TRUE,310831,2
0.459,E02,TRUE,310831,2
0.542,E03,TRUE,310831,2
0.395,E04,TRUE,310831,2
0.462,E05,TRUE,310831,2
0.464,E06,TRUE,310831,2
-6e-4,E07,TRUE,310831,2
0.382,E08,TRUE,310831,2
0.459,E09,TRUE,310831,2
0.497,E10,TRUE,310831,2
0.399,E11,TRUE,310831,2
0.648,E12,TRUE,310831,2
0.633,F01,TRUE,310831,2
0.568,F02,TRUE,310831,2
0.367,F03,TRUE,310831,2
0.439,F04,TRUE,310831,2
0.424,F05,TRUE,310831,2
0.364,F06,TRUE,310831,2
0.387,F07,TRUE,310831,2
0.433,F08,TRUE,310831,2
0.442,F09,TRUE,310831,2
0.463,F10,TRUE,310831,2
0.448,F11,TRUE,310831,2
0.47,F12,TRUE,310831,2
0.408,G01,TRUE,310831,2
0.437,G02,TRUE,310831,2
0.534,G03,TRUE,310831,2
0.518,G04,TRUE,310831,2
0.454,G05,TRUE,310831,2
0.402,G06,TRUE,310831,2
0.409,G07,TRUE,310831,2
0.414,G08,TRUE,310831,2
0.488,G09,TRUE,310831,2
0.446,G10,TRUE,310831,2
0.465,G11,TRUE,310831,2
0.608,G12,TRUE,310831,2
0.001,H01,TRUE,310831,2
0.62,H02,TRUE,310831,2
0.546,H03,TRUE,310831,2
0.54,H04,TRUE,310831,2
0.565,H05,TRUE,310831,2
0.355,H06,TRUE,310831,2
0.414,H07,TRUE,310831,2
0.476,H08,TRUE,310831,2
0.361,H09,TRUE,310831,2
NA,A05,TRUE,310905,2
NA,E07,TRUE,310905,2
NA,H01,TRUE,310905,2
0.615,A01,TRUE,310905,2
0.577,A02,TRUE,310905,2
0.496,A03,TRUE,310905,2
0.539,A04,TRUE,310905,2
0.448,A06,TRUE,310905,2
0.45,A07,TRUE,310905,2
0.603,A08,TRUE,310905,2
0.591,A09,TRUE,310905,2
0.429,A10,TRUE,310905,2
0.395,A11,TRUE,310905,2
0.6,A12,TRUE,310905,2
0.595,B01,TRUE,310905,2
0.356,B02,TRUE,310905,2
0.342,B03,TRUE,310905,2
0.349,B04,TRUE,310905,2
0.434,B05,TRUE,310905,2
0.382,B06,TRUE,310905,2
0.361,B07,TRUE,310905,2
0.353,B08,TRUE,310905,2
0.584,B09,TRUE,310905,2
0.518,B10,TRUE,310905,2
0.348,B11,TRUE,310905,2
0.651,B12,TRUE,310905,2
0.556,C01,TRUE,310905,2
0.502,C02,TRUE,310905,2
0.298,C03,TRUE,310905,2
0.337,C04,TRUE,310905,2
0.271,C05,TRUE,310905,2
0.444,C06,TRUE,310905,2
0.375,C07,TRUE,310905,2
0.431,C08,TRUE,310905,2
0.426,C09,TRUE,310905,2
0.34,C10,TRUE,310905,2
0.444,C11,TRUE,310905,2
0.453,C12,TRUE,310905,2
0.586,D01,TRUE,310905,2
0.41,D02,TRUE,310905,2
0.429,D03,TRUE,310905,2
0.313,D04,TRUE,310905,2
0.346,D05,TRUE,310905,2
0.309,D06,TRUE,310905,2
0.381,D07,TRUE,310905,2
0.299,D08,TRUE,310905,2
0.337,D09,TRUE,310905,2
0.371,D10,TRUE,310905,2
0.302,D11,TRUE,310905,2
0.323,D12,TRUE,310905,2
0.593,E01,TRUE,310905,2
0.394,E02,TRUE,310905,2
0.47,E03,TRUE,310905,2
0.332,E04,TRUE,310905,2
0.359,E05,TRUE,310905,2
0.388,E06,TRUE,310905,2
0.324,E08,TRUE,310905,2
0.348,E09,TRUE,310905,2
0.573,E10,TRUE,310905,2
0.423,E11,TRUE,310905,2
0.527,E12,TRUE,310905,2
0.558,F01,TRUE,310905,2
0.468,F02,TRUE,310905,2
0.38,F03,TRUE,310905,2
0.399,F04,TRUE,310905,2
0.374,F05,TRUE,310905,2
0.338,F06,TRUE,310905,2
0.374,F07,TRUE,310905,2
0.382,F08,TRUE,310905,2
0.369,F09,TRUE,310905,2
0.452,F10,TRUE,310905,2
0.508,F11,TRUE,310905,2
0.446,F12,TRUE,310905,2
0.521,G01,TRUE,310905,2
0.48,G02,TRUE,310905,2
0.588,G03,TRUE,310905,2
0.563,G04,TRUE,310905,2
0.371,G05,TRUE,310905,2
0.35,G06,TRUE,310905,2
0.418,G07,TRUE,310905,2
0.426,G08,TRUE,310905,2
0.474,G09,TRUE,310905,2
0.438,G10,TRUE,310905,2
0.541,G11,TRUE,310905,2
0.649,G12,TRUE,310905,2
0.613,H02,TRUE,310905,2
0.571,H03,TRUE,310905,2
0.542,H04,TRUE,310905,2
0.574,H05,TRUE,310905,2
0.356,H06,TRUE,310905,2
0.425,H07,TRUE,310905,2
