well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
B03,11788,0,B,03,exp200226,40000,P2,exp200226_P2_B03,BPH2904,1,VAN-160
B04,11387,0,B,04,exp200226,40000,P2,exp200226_P2_B04,BPH3734,3,VSS-138
B05,11805,0,B,05,exp200226,40000,P2,exp200226_P2_B05,BPH2902,1,VAN-160
B06,11756,0,B,06,exp200226,40000,P2,exp200226_P2_B06,BPH3733,1,VSS-137
B07,11711,0,B,07,exp200226,40000,P2,exp200226_P2_B07,BPH3337,2,VSS-138
B08,11727,0,B,08,exp200226,40000,P2,exp200226_P2_B08,BPH3752,1,VSS-339
B09,11577,0,B,09,exp200226,40000,P2,exp200226_P2_B09,BPH2962,2,VAN-207
B10,12128,0,B,10,exp200226,40000,P2,exp200226_P2_B10,BPH2963,3,VAN-207
B11,12530,0,B,11,exp200226,40000,P2,exp200226_P2_B11,BPH3706,3,VSS-541
C02,12032,0,C,02,exp200226,40000,P2,exp200226_P2_C02,BPH3336,3,VSS-137
C03,11919,0,C,03,exp200226,40000,P2,exp200226_P2_C03,BPH3757,2,VSS-541
C04,12362,0,C,04,exp200226,40000,P2,exp200226_P2_C04,BPH3747,3,VSS-231
C05,11957,0,C,05,exp200226,40000,P2,exp200226_P2_C05,BPH2943,1,VAN-192
C06,11843,0,C,06,exp200226,40000,P2,exp200226_P2_C06,BPH2942,1,VAN-192
C07,12512,0,C,07,exp200226,40000,P2,exp200226_P2_C07,BPH2942,3,VAN-192
C08,11858,0,C,08,exp200226,40000,P2,exp200226_P2_C08,BPH2962,3,VAN-207
C09,12397,0,C,09,exp200226,40000,P2,exp200226_P2_C09,BPH3757,1,VSS-541
C10,11619,0,C,10,exp200226,40000,P2,exp200226_P2_C10,BPH3734,1,VSS-138
C11,12395,0,C,11,exp200226,40000,P2,exp200226_P2_C11,BPH3427,1,VSS-231
D02,12221,0,D,02,exp200226,40000,P2,exp200226_P2_D02,TOX-4,1,NA
D03,11596,0,D,03,exp200226,40000,P2,exp200226_P2_D03,Non infected,2,NA
D04,12043,0,D,04,exp200226,40000,P2,exp200226_P2_D04,BPH3734,2,VSS-138
D05,12816,0,D,05,exp200226,40000,P2,exp200226_P2_D05,BPH3747,2,VSS-231
D06,11750,0,D,06,exp200226,40000,P2,exp200226_P2_D06,BPH3757,3,VSS-541
D07,12161,0,D,07,exp200226,40000,P2,exp200226_P2_D07,BPH3336,2,VSS-137
D08,11903,0,D,08,exp200226,40000,P2,exp200226_P2_D08,BPH2902,3,VAN-160
D09,12187,0,D,09,exp200226,40000,P2,exp200226_P2_D09,BPH2904,3,VAN-160
D10,12599,0,D,10,exp200226,40000,P2,exp200226_P2_D10,BPH3752,2,VSS-339
D11,12125,0,D,11,exp200226,40000,P2,exp200226_P2_D11,BPH3535,2,VSS-339
E02,12600,0,E,02,exp200226,40000,P2,exp200226_P2_E02,BPH3535,3,VSS-339
E03,12226,0,E,03,exp200226,40000,P2,exp200226_P2_E03,BPH3733,3,VSS-137
E04,12127,0,E,04,exp200226,40000,P2,exp200226_P2_E04,BPH3706,2,VSS-541
E05,11899,0,E,05,exp200226,40000,P2,exp200226_P2_E05,BPH3733,2,VSS-137
E06,11890,0,E,06,exp200226,40000,P2,exp200226_P2_E06,BPH2943,3,VAN-192
E07,12293,0,E,07,exp200226,40000,P2,exp200226_P2_E07,BPH3427,3,VSS-231
E08,12213,0,E,08,exp200226,40000,P2,exp200226_P2_E08,BPH2942,2,VAN-192
E09,11481,0,E,09,exp200226,40000,P2,exp200226_P2_E09,Non infected,1,NA
E10,12083,0,E,10,exp200226,40000,P2,exp200226_P2_E10,BPH3337,1,VSS-138
E11,12723,0,E,11,exp200226,40000,P2,exp200226_P2_E11,JE2,3,NA
F02,12461,0,F,02,exp200226,40000,P2,exp200226_P2_F02,BPH3535,1,VSS-339
F03,11992,0,F,03,exp200226,40000,P2,exp200226_P2_F03,BPH3336,1,VSS-137
F04,12256,0,F,04,exp200226,40000,P2,exp200226_P2_F04,BPH3747,1,VSS-231
F05,11758,0,F,05,exp200226,40000,P2,exp200226_P2_F05,JE2,2,NA
F06,11651,0,F,06,exp200226,40000,P2,exp200226_P2_F06,BPH2902,2,VAN-160
F07,11836,0,F,07,exp200226,40000,P2,exp200226_P2_F07,BPH2962,1,VAN-207
