well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,0,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,15,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,30,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,45,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,60,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,75,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,90,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,105,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,120,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,135,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,150,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,165,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,180,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,195,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,210,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,225,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,240,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,255,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,270,Complete lysis,1,CONTROL
H,10,NA,H10,TRUE,exp190905,2,exp190905_2_H10,285,Complete lysis,1,CONTROL
