well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A01,A,1,-6.66667e-4,TRUE,exp191107,2,exp191107_2_A01,0,BPH2750,2,VAN-040
A01,A,1,0.004,TRUE,exp191107,2,exp191107_2_A01,5,BPH2750,2,VAN-040
A01,A,1,0.003,TRUE,exp191107,2,exp191107_2_A01,10,BPH2750,2,VAN-040
A01,A,1,0.008,TRUE,exp191107,2,exp191107_2_A01,15,BPH2750,2,VAN-040
A01,A,1,0.008,TRUE,exp191107,2,exp191107_2_A01,20,BPH2750,2,VAN-040
A01,A,1,0.015,TRUE,exp191107,2,exp191107_2_A01,25,BPH2750,2,VAN-040
A01,A,1,0.011,TRUE,exp191107,2,exp191107_2_A01,30,BPH2750,2,VAN-040
A01,A,1,0.009,TRUE,exp191107,2,exp191107_2_A01,35,BPH2750,2,VAN-040
A01,A,1,0.011,TRUE,exp191107,2,exp191107_2_A01,40,BPH2750,2,VAN-040
A01,A,1,0.013,TRUE,exp191107,2,exp191107_2_A01,45,BPH2750,2,VAN-040
A01,A,1,0.011,TRUE,exp191107,2,exp191107_2_A01,50,BPH2750,2,VAN-040
A01,A,1,0.01,TRUE,exp191107,2,exp191107_2_A01,55,BPH2750,2,VAN-040
A01,A,1,0.006,TRUE,exp191107,2,exp191107_2_A01,60,BPH2750,2,VAN-040
A01,A,1,0.012,TRUE,exp191107,2,exp191107_2_A01,65,BPH2750,2,VAN-040
A01,A,1,0.01,TRUE,exp191107,2,exp191107_2_A01,70,BPH2750,2,VAN-040
A01,A,1,0.012,TRUE,exp191107,2,exp191107_2_A01,75,BPH2750,2,VAN-040
A01,A,1,0.012,TRUE,exp191107,2,exp191107_2_A01,80,BPH2750,2,VAN-040
A01,A,1,0.01,TRUE,exp191107,2,exp191107_2_A01,85,BPH2750,2,VAN-040
A01,A,1,0.013,TRUE,exp191107,2,exp191107_2_A01,90,BPH2750,2,VAN-040
A01,A,1,0.008,TRUE,exp191107,2,exp191107_2_A01,95,BPH2750,2,VAN-040
A01,A,1,0.006,TRUE,exp191107,2,exp191107_2_A01,100,BPH2750,2,VAN-040
A01,A,1,0.008,TRUE,exp191107,2,exp191107_2_A01,105,BPH2750,2,VAN-040
A01,A,1,0.011,TRUE,exp191107,2,exp191107_2_A01,110,BPH2750,2,VAN-040
A01,A,1,0.01,TRUE,exp191107,2,exp191107_2_A01,115,BPH2750,2,VAN-040
A01,A,1,0.012,TRUE,exp191107,2,exp191107_2_A01,120,BPH2750,2,VAN-040
A01,A,1,0.016,TRUE,exp191107,2,exp191107_2_A01,125,BPH2750,2,VAN-040
A01,A,1,0.016,TRUE,exp191107,2,exp191107_2_A01,130,BPH2750,2,VAN-040
A01,A,1,0.005,TRUE,exp191107,2,exp191107_2_A01,135,BPH2750,2,VAN-040
A01,A,1,0.008,TRUE,exp191107,2,exp191107_2_A01,140,BPH2750,2,VAN-040
A01,A,1,0.016,TRUE,exp191107,2,exp191107_2_A01,145,BPH2750,2,VAN-040
A01,A,1,0.018,TRUE,exp191107,2,exp191107_2_A01,150,BPH2750,2,VAN-040
