well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
A01,19120,0,A,01,exp191130,40000,5,exp191130_5_A01,BPH2835,2,VAN-106
A02,18720,0,A,02,exp191130,40000,5,exp191130_5_A02,BPH2824,3,VAN-098
A03,18761,0,A,03,exp191130,40000,5,exp191130_5_A03,BPH2812,1,VAN-090
A04,18578,0,A,04,exp191130,40000,5,exp191130_5_A04,BPH2823,1,VAN-097
A05,18881,0,A,05,exp191130,40000,5,exp191130_5_A05,TOX-4,3,CONTROL
A06,18095,0,A,06,exp191130,40000,5,exp191130_5_A06,BPH2827,1,VAN-100
A07,18832,0,A,07,exp191130,40000,5,exp191130_5_A07,BPH2816,2,VAN-091
A08,18985,0,A,08,exp191130,40000,5,exp191130_5_A08,Non infected,1,CONTROL
A09,18136,0,A,09,exp191130,40000,5,exp191130_5_A09,BPH2832,2,VAN-104
A10,19327,0,A,10,exp191130,40000,5,exp191130_5_A10,BPH2829,3,VAN-102
A11,18031,0,A,11,exp191130,40000,5,exp191130_5_A11,BPH2818,3,VAN-093
A12,17814,0,A,12,exp191130,40000,5,exp191130_5_A12,BPH2830,3,VAN-103
B01,18506,0,B,01,exp191130,40000,5,exp191130_5_B01,BPH2837,2,VAN-108
B02,18360,0,B,02,exp191130,40000,5,exp191130_5_B02,BPH2814,1,VAN-090
B03,18235,0,B,03,exp191130,40000,5,exp191130_5_B03,BPH2837,1,VAN-108
B04,18265,0,B,04,exp191130,40000,5,exp191130_5_B04,BPH2824,1,VAN-098
B05,18272,0,B,05,exp191130,40000,5,exp191130_5_B05,BPH2838,3,VAN-109
B06,17977,0,B,06,exp191130,40000,5,exp191130_5_B06,JE2,3,CONTROL
B07,18672,0,B,07,exp191130,40000,5,exp191130_5_B07,BPH2827,2,VAN-100
B08,18122,0,B,08,exp191130,40000,5,exp191130_5_B08,BPH2822,3,VAN-096
B09,17775,0,B,09,exp191130,40000,5,exp191130_5_B09,BPH2823,2,VAN-097
B10,18254,0,B,10,exp191130,40000,5,exp191130_5_B10,BPH2836,1,VAN-107
B11,17934,0,B,11,exp191130,40000,5,exp191130_5_B11,BPH2825,3,VAN-098
B12,18128,0,B,12,exp191130,40000,5,exp191130_5_B12,BPH2824,2,VAN-098
C01,18439,0,C,01,exp191130,40000,5,exp191130_5_C01,BPH2818,2,VAN-093
C02,17634,0,C,02,exp191130,40000,5,exp191130_5_C02,BPH2821,1,VAN-095
C03,18144,0,C,03,exp191130,40000,5,exp191130_5_C03,BPH2835,3,VAN-106
C04,18069,0,C,04,exp191130,40000,5,exp191130_5_C04,BPH2837,3,VAN-108
C05,17133,0,C,05,exp191130,40000,5,exp191130_5_C05,BPH2825,1,VAN-098
C06,17551,0,C,06,exp191130,40000,5,exp191130_5_C06,BPH2834,3,VAN-105
C07,17260,0,C,07,exp191130,40000,5,exp191130_5_C07,BPH2820,1,VAN-094
C08,16899,0,C,08,exp191130,40000,5,exp191130_5_C08,BPH2831,1,VAN-104
C09,17648,0,C,09,exp191130,40000,5,exp191130_5_C09,BPH2831,2,VAN-104
C10,17962,0,C,10,exp191130,40000,5,exp191130_5_C10,BPH2813,3,VAN-090
C11,17448,0,C,11,exp191130,40000,5,exp191130_5_C11,BPH2832,1,VAN-104
C12,18125,0,C,12,exp191130,40000,5,exp191130_5_C12,Blank,2,NA
D01,19183,0,D,01,exp191130,40000,5,exp191130_5_D01,Non infected,3,CONTROL
D02,18580,0,D,02,exp191130,40000,5,exp191130_5_D02,BPH2836,2,VAN-107
D03,17986,0,D,03,exp191130,40000,5,exp191130_5_D03,BPH2832,3,VAN-104
D04,18297,0,D,04,exp191130,40000,5,exp191130_5_D04,BPH2819,3,VAN-094
D05,18216,0,D,05,exp191130,40000,5,exp191130_5_D05,BPH2822,2,VAN-096
D06,17713,0,D,06,exp191130,40000,5,exp191130_5_D06,JE2,2,CONTROL
D07,18304,0,D,07,exp191130,40000,5,exp191130_5_D07,BPH2812,2,VAN-090
D08,17799,0,D,08,exp191130,40000,5,exp191130_5_D08,BPH2827,3,VAN-100
D09,17824,0,D,09,exp191130,40000,5,exp191130_5_D09,BPH2817,3,VAN-092
D10,17871,0,D,10,exp191130,40000,5,exp191130_5_D10,BPH2819,1,VAN-094
D11,17409,0,D,11,exp191130,40000,5,exp191130_5_D11,BPH2830,1,VAN-103
D12,18755,0,D,12,exp191130,40000,5,exp191130_5_D12,BPH2836,3,VAN-107
E01,18444,0,E,01,exp191130,40000,5,exp191130_5_E01,Blank,1,NA
