well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
A01,13735,0,A,01,exp200730,40000,GP1,exp200730_GP1_A01,BPH2898,2,VAN-156
A02,14183,0,A,02,exp200730,40000,GP1,exp200730_GP1_A02,BPH2876,3,VAN-140
A03,13861,0,A,03,exp200730,40000,GP1,exp200730_GP1_A03,BPH2787,1,VAN-071
A04,14115,0,A,04,exp200730,40000,GP1,exp200730_GP1_A04,BPH2873,1,VAN-137
A05,13005,0,A,05,exp200730,40000,GP1,exp200730_GP1_A05,Non infected,3,CONTROL
A06,15563,0,A,06,exp200730,40000,GP1,exp200730_GP1_A06,BPH2881,1,VAN-144
A07,13794,0,A,07,exp200730,40000,GP1,exp200730_GP1_A07,BPH2801,2,VAN-083
A08,13226,0,A,08,exp200730,40000,GP1,exp200730_GP1_A08,Non infected,1,CONTROL
A09,14936,0,A,09,exp200730,40000,GP1,exp200730_GP1_A09,BPH2890,2,VAN-150
A10,13788,0,A,10,exp200730,40000,GP1,exp200730_GP1_A10,BPH2883,3,VAN-145
A11,13996,0,A,11,exp200730,40000,GP1,exp200730_GP1_A11,BPH2803,3,VAN-083
A12,14070,0,A,12,exp200730,40000,GP1,exp200730_GP1_A12,BPH2884,3,VAN-145
B01,13838,0,B,01,exp200730,40000,GP1,exp200730_GP1_B01,JE2,2,CONTROL
B02,14066,0,B,02,exp200730,40000,GP1,exp200730_GP1_B02,BPH2799,1,VAN-082
B03,13842,0,B,03,exp200730,40000,GP1,exp200730_GP1_B03,JE2,1,CONTROL
B04,16481,0,B,04,exp200730,40000,GP1,exp200730_GP1_B04,BPH2876,1,VAN-140
B05,14210,0,B,05,exp200730,40000,GP1,exp200730_GP1_B05,Non infected,3,CONTROL
B06,14791,0,B,06,exp200730,40000,GP1,exp200730_GP1_B06,Non infected,3,CONTROL
B07,14841,0,B,07,exp200730,40000,GP1,exp200730_GP1_B07,BPH2881,2,VAN-144
B08,14460,0,B,08,exp200730,40000,GP1,exp200730_GP1_B08,BPH2872,3,VAN-137
B09,14493,0,B,09,exp200730,40000,GP1,exp200730_GP1_B09,BPH2873,2,VAN-137
B10,14150,0,B,10,exp200730,40000,GP1,exp200730_GP1_B10,BPH2907,1,VAN-162
B11,15074,0,B,11,exp200730,40000,GP1,exp200730_GP1_B11,BPH2877,3,VAN-140
B12,15788,0,B,12,exp200730,40000,GP1,exp200730_GP1_B12,BPH2876,2,VAN-140
C01,14744,0,C,01,exp200730,40000,GP1,exp200730_GP1_C01,BPH2803,2,VAN-083
C02,14753,0,C,02,exp200730,40000,GP1,exp200730_GP1_C02,BPH2869,1,VAN-134
C03,14246,0,C,03,exp200730,40000,GP1,exp200730_GP1_C03,BPH2898,3,VAN-156
C04,14542,0,C,04,exp200730,40000,GP1,exp200730_GP1_C04,JE2,3,CONTROL
C05,14906,0,C,05,exp200730,40000,GP1,exp200730_GP1_C05,BPH2877,1,VAN-140
C06,14763,0,C,06,exp200730,40000,GP1,exp200730_GP1_C06,BPH2897,3,VAN-156
C07,14321,0,C,07,exp200730,40000,GP1,exp200730_GP1_C07,BPH2808,1,VAN-086
C08,14466,0,C,08,exp200730,40000,GP1,exp200730_GP1_C08,BPH2888,1,VAN-148
C09,14946,0,C,09,exp200730,40000,GP1,exp200730_GP1_C09,BPH2888,2,VAN-148
C10,14690,0,C,10,exp200730,40000,GP1,exp200730_GP1_C10,BPH2798,3,VAN-082
C11,14579,0,C,11,exp200730,40000,GP1,exp200730_GP1_C11,BPH2890,1,VAN-150
C12,13802,0,C,12,exp200730,40000,GP1,exp200730_GP1_C12,Non infected,2,CONTROL
