well_row,well_col,OD,well,experiment,plate,OD_blank_normalised,well_id,timepoint,sample_id,replicate,strain_group
A,1,0.004,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,0,BPH2898,2,VAN-156
A,1,0.012,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,10,BPH2898,2,VAN-156
A,1,0.004,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,20,BPH2898,2,VAN-156
A,1,0.009,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,30,BPH2898,2,VAN-156
A,1,-0.005,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,40,BPH2898,2,VAN-156
A,1,-0.005,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,50,BPH2898,2,VAN-156
A,1,0.009,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,60,BPH2898,2,VAN-156
A,1,0.004,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,70,BPH2898,2,VAN-156
A,1,0.002,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,80,BPH2898,2,VAN-156
A,1,-0.013,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,90,BPH2898,2,VAN-156
A,1,-0.007,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,100,BPH2898,2,VAN-156
A,1,-0.008,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,110,BPH2898,2,VAN-156
A,1,-0.008,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,120,BPH2898,2,VAN-156
A,1,-0.007,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,130,BPH2898,2,VAN-156
A,1,-0.005,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,140,BPH2898,2,VAN-156
A,1,-0.005,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,150,BPH2898,2,VAN-156
A,1,-0.005,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,160,BPH2898,2,VAN-156
A,1,-5.33333e-4,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,170,BPH2898,2,VAN-156
A,1,-0.004,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,180,BPH2898,2,VAN-156
A,1,-5e-4,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,190,BPH2898,2,VAN-156
A,1,2.66667e-4,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,200,BPH2898,2,VAN-156
A,1,0.003,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,210,BPH2898,2,VAN-156
A,1,0.008,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,220,BPH2898,2,VAN-156
A,1,0.007,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,230,BPH2898,2,VAN-156
A,1,0.014,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,240,BPH2898,2,VAN-156
A,1,0.017,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,250,BPH2898,2,VAN-156
A,1,0.024,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,260,BPH2898,2,VAN-156
A,1,0.026,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,270,BPH2898,2,VAN-156
A,1,0.039,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,280,BPH2898,2,VAN-156
A,1,0.057,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,290,BPH2898,2,VAN-156
A,1,0.078,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,300,BPH2898,2,VAN-156
A,1,0.096,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,310,BPH2898,2,VAN-156
A,1,0.123,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,320,BPH2898,2,VAN-156
A,1,0.155,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,330,BPH2898,2,VAN-156
A,1,0.212,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,340,BPH2898,2,VAN-156
A,1,0.258,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,350,BPH2898,2,VAN-156
A,1,0.338,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,360,BPH2898,2,VAN-156
A,1,0.403,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,370,BPH2898,2,VAN-156
A,1,0.496,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,380,BPH2898,2,VAN-156
A,1,0.611,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,390,BPH2898,2,VAN-156
A,1,0.715,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,400,BPH2898,2,VAN-156
A,1,0.874,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,410,BPH2898,2,VAN-156
A,1,1.06,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,420,BPH2898,2,VAN-156
A,1,1.24,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,430,BPH2898,2,VAN-156
A,1,1.535,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,440,BPH2898,2,VAN-156
A,1,1.706,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,450,BPH2898,2,VAN-156
A,1,1.95,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,460,BPH2898,2,VAN-156
A,1,2.157,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,470,BPH2898,2,VAN-156
A,1,2.38,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,480,BPH2898,2,VAN-156
A,1,2.542,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,490,BPH2898,2,VAN-156
A,1,2.703,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,500,BPH2898,2,VAN-156
A,1,2.845,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,510,BPH2898,2,VAN-156
A,1,3.013,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,520,BPH2898,2,VAN-156
A,1,3.097,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,530,BPH2898,2,VAN-156
A,1,3.225,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,540,BPH2898,2,VAN-156
A,1,3.346,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,550,BPH2898,2,VAN-156
A,1,3.405,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,560,BPH2898,2,VAN-156
A,1,3.495,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,570,BPH2898,2,VAN-156
A,1,3.576,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,580,BPH2898,2,VAN-156
A,1,3.617,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,590,BPH2898,2,VAN-156
A,1,3.675,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,600,BPH2898,2,VAN-156
A,1,3.787,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,610,BPH2898,2,VAN-156
A,1,3.796,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,620,BPH2898,2,VAN-156
A,1,3.828,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,630,BPH2898,2,VAN-156
A,1,3.619,A01,exp200731,GP1,TRUE,exp200731_GP1_A01,650,BPH2898,2,VAN-156
