well_row,well_col,OD,well,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A,1,0.014,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,0,BPH2991,2,VAN-223
A,1,0.015,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,10,BPH2991,2,VAN-223
A,1,0.013,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,20,BPH2991,2,VAN-223
A,1,0.01,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,30,BPH2991,2,VAN-223
A,1,0.011,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,40,BPH2991,2,VAN-223
A,1,0.009,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,50,BPH2991,2,VAN-223
A,1,0.011,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,60,BPH2991,2,VAN-223
A,1,0.012,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,70,BPH2991,2,VAN-223
A,1,0.016,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,80,BPH2991,2,VAN-223
A,1,0.009,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,90,BPH2991,2,VAN-223
A,1,0.015,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,100,BPH2991,2,VAN-223
A,1,0.017,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,110,BPH2991,2,VAN-223
A,1,0.026,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,120,BPH2991,2,VAN-223
A,1,0.027,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,130,BPH2991,2,VAN-223
A,1,0.029,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,140,BPH2991,2,VAN-223
A,1,0.036,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,150,BPH2991,2,VAN-223
A,1,0.039,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,160,BPH2991,2,VAN-223
A,1,0.048,A01,TRUE,exp200731,GP2,exp200731_GP2_A01,170,BPH2991,2,VAN-223
