well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
A01,1491,0,A,01,exp200913,40000,GP7,exp200913_GP7_A01,Non infected,2,CONTROL
A02,1469,0,A,02,exp200913,40000,GP7,exp200913_GP7_A02,BPH3710,3,VSS-545
A03,1440,0,A,03,exp200913,40000,GP7,exp200913_GP7_A03,BPH3672,1,VSS-491
A04,1484,0,A,04,exp200913,40000,GP7,exp200913_GP7_A04,BPH3704,1,VSS-539
A05,1455,0,A,05,exp200913,40000,GP7,exp200913_GP7_A05,Non infected,3,CONTROL
A06,1471,0,A,06,exp200913,40000,GP7,exp200913_GP7_A06,BPH3754,1,VSS-515
A07,1467,0,A,07,exp200913,40000,GP7,exp200913_GP7_A07,BPH3686,2,VSS-509
A08,1460,0,A,08,exp200913,40000,GP7,exp200913_GP7_A08,Non infected,1,CONTROL
A09,1398,0,A,09,exp200913,40000,GP7,exp200913_GP7_A09,Non infected,2,CONTROL
A10,1449,0,A,10,exp200913,40000,GP7,exp200913_GP7_A10,JE2,3,CONTROL
A11,1464,0,A,11,exp200913,40000,GP7,exp200913_GP7_A11,BPH3692,3,VSS-521
A12,1468,0,A,12,exp200913,40000,GP7,exp200913_GP7_A12,Non infected,3,CONTROL
B01,1477,0,B,01,exp200913,40000,GP7,exp200913_GP7_B01,Non infected,2,CONTROL
B02,1448,0,B,02,exp200913,40000,GP7,exp200913_GP7_B02,BPH3682,1,VSS-505
B03,1431,0,B,03,exp200913,40000,GP7,exp200913_GP7_B03,NE1354,1,NEBRASKA
B04,1491,0,B,04,exp200913,40000,GP7,exp200913_GP7_B04,BPH3710,1,VSS-545
B05,1446,0,B,05,exp200913,40000,GP7,exp200913_GP7_B05,Non infected,3,CONTROL
B06,1427,0,B,06,exp200913,40000,GP7,exp200913_GP7_B06,Non infected,3,CONTROL
B07,1449,0,B,07,exp200913,40000,GP7,exp200913_GP7_B07,BPH3754,2,VSS-515
B08,1466,0,B,08,exp200913,40000,GP7,exp200913_GP7_B08,BPH3702,3,VSS-535
B09,1439,0,B,09,exp200913,40000,GP7,exp200913_GP7_B09,BPH3704,2,VSS-539
B10,1464,0,B,10,exp200913,40000,GP7,exp200913_GP7_B10,NE1354,2,NEBRASKA
