well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A01,A,1,0.024,TRUE,exp201030,GP7,exp201030_GP7_A01,0,Non infected,2,CONTROL
A01,A,1,0.026,TRUE,exp201030,GP7,exp201030_GP7_A01,10,Non infected,2,CONTROL
A01,A,1,-0.005,TRUE,exp201030,GP7,exp201030_GP7_A01,20,Non infected,2,CONTROL
A01,A,1,0.012,TRUE,exp201030,GP7,exp201030_GP7_A01,30,Non infected,2,CONTROL
A01,A,1,0.019,TRUE,exp201030,GP7,exp201030_GP7_A01,40,Non infected,2,CONTROL
A01,A,1,0.021,TRUE,exp201030,GP7,exp201030_GP7_A01,50,Non infected,2,CONTROL
A01,A,1,0.016,TRUE,exp201030,GP7,exp201030_GP7_A01,60,Non infected,2,CONTROL
A01,A,1,0.007,TRUE,exp201030,GP7,exp201030_GP7_A01,70,Non infected,2,CONTROL
A01,A,1,0.018,TRUE,exp201030,GP7,exp201030_GP7_A01,80,Non infected,2,CONTROL
A01,A,1,0.012,TRUE,exp201030,GP7,exp201030_GP7_A01,90,Non infected,2,CONTROL
A01,A,1,0.031,TRUE,exp201030,GP7,exp201030_GP7_A01,100,Non infected,2,CONTROL
A01,A,1,7e-4,TRUE,exp201030,GP7,exp201030_GP7_A01,110,Non infected,2,CONTROL
A01,A,1,0.006,TRUE,exp201030,GP7,exp201030_GP7_A01,120,Non infected,2,CONTROL
A01,A,1,0.015,TRUE,exp201030,GP7,exp201030_GP7_A01,130,Non infected,2,CONTROL
A01,A,1,7.33333e-4,TRUE,exp201030,GP7,exp201030_GP7_A01,140,Non infected,2,CONTROL
A01,A,1,0.021,TRUE,exp201030,GP7,exp201030_GP7_A01,150,Non infected,2,CONTROL
A01,A,1,0.014,TRUE,exp201030,GP7,exp201030_GP7_A01,160,Non infected,2,CONTROL
A01,A,1,0.02,TRUE,exp201030,GP7,exp201030_GP7_A01,170,Non infected,2,CONTROL
A01,A,1,-0.009,TRUE,exp201030,GP7,exp201030_GP7_A01,180,Non infected,2,CONTROL
A01,A,1,0.012,TRUE,exp201030,GP7,exp201030_GP7_A01,190,Non infected,2,CONTROL
A01,A,1,0.014,TRUE,exp201030,GP7,exp201030_GP7_A01,200,Non infected,2,CONTROL
A01,A,1,0.006,TRUE,exp201030,GP7,exp201030_GP7_A01,210,Non infected,2,CONTROL
A01,A,1,0.034,TRUE,exp201030,GP7,exp201030_GP7_A01,220,Non infected,2,CONTROL
A01,A,1,4.66667e-4,TRUE,exp201030,GP7,exp201030_GP7_A01,230,Non infected,2,CONTROL
A01,A,1,0.023,TRUE,exp201030,GP7,exp201030_GP7_A01,240,Non infected,2,CONTROL
A01,A,1,-0.004,TRUE,exp201030,GP7,exp201030_GP7_A01,250,Non infected,2,CONTROL
A01,A,1,0.009,TRUE,exp201030,GP7,exp201030_GP7_A01,260,Non infected,2,CONTROL
A01,A,1,0.026,TRUE,exp201030,GP7,exp201030_GP7_A01,270,Non infected,2,CONTROL
A01,A,1,0.007,TRUE,exp201030,GP7,exp201030_GP7_A01,280,Non infected,2,CONTROL
A01,A,1,0.016,TRUE,exp201030,GP7,exp201030_GP7_A01,290,Non infected,2,CONTROL
A01,A,1,0.003,TRUE,exp201030,GP7,exp201030_GP7_A01,300,Non infected,2,CONTROL
A01,A,1,0.012,TRUE,exp201030,GP7,exp201030_GP7_A01,310,Non infected,2,CONTROL
A01,A,1,0.022,TRUE,exp201030,GP7,exp201030_GP7_A01,320,Non infected,2,CONTROL
A01,A,1,0.022,TRUE,exp201030,GP7,exp201030_GP7_A01,330,Non infected,2,CONTROL
A01,A,1,0.031,TRUE,exp201030,GP7,exp201030_GP7_A01,340,Non infected,2,CONTROL
A01,A,1,0.045,TRUE,exp201030,GP7,exp201030_GP7_A01,350,Non infected,2,CONTROL
A01,A,1,0.029,TRUE,exp201030,GP7,exp201030_GP7_A01,360,Non infected,2,CONTROL
A01,A,1,0.004,TRUE,exp201030,GP7,exp201030_GP7_A01,370,Non infected,2,CONTROL
A01,A,1,0.006,TRUE,exp201030,GP7,exp201030_GP7_A01,380,Non infected,2,CONTROL
A01,A,1,0.014,TRUE,exp201030,GP7,exp201030_GP7_A01,390,Non infected,2,CONTROL
A01,A,1,0.037,TRUE,exp201030,GP7,exp201030_GP7_A01,400,Non infected,2,CONTROL
A01,A,1,0.028,TRUE,exp201030,GP7,exp201030_GP7_A01,410,Non infected,2,CONTROL
A01,A,1,0.022,TRUE,exp201030,GP7,exp201030_GP7_A01,420,Non infected,2,CONTROL
A01,A,1,0.025,TRUE,exp201030,GP7,exp201030_GP7_A01,430,Non infected,2,CONTROL
A01,A,1,0.017,TRUE,exp201030,GP7,exp201030_GP7_A01,440,Non infected,2,CONTROL
A01,A,1,0.03,TRUE,exp201030,GP7,exp201030_GP7_A01,450,Non infected,2,CONTROL
A01,A,1,0.028,TRUE,exp201030,GP7,exp201030_GP7_A01,460,Non infected,2,CONTROL
A01,A,1,0.028,TRUE,exp201030,GP7,exp201030_GP7_A01,470,Non infected,2,CONTROL
A01,A,1,0.019,TRUE,exp201030,GP7,exp201030_GP7_A01,480,Non infected,2,CONTROL
A01,A,1,0.016,TRUE,exp201030,GP7,exp201030_GP7_A01,490,Non infected,2,CONTROL
A01,A,1,0.038,TRUE,exp201030,GP7,exp201030_GP7_A01,500,Non infected,2,CONTROL
A01,A,1,0.04,TRUE,exp201030,GP7,exp201030_GP7_A01,510,Non infected,2,CONTROL
A01,A,1,0.023,TRUE,exp201030,GP7,exp201030_GP7_A01,520,Non infected,2,CONTROL
A01,A,1,0.048,TRUE,exp201030,GP7,exp201030_GP7_A01,530,Non infected,2,CONTROL
A01,A,1,0.034,TRUE,exp201030,GP7,exp201030_GP7_A01,540,Non infected,2,CONTROL
A01,A,1,0.033,TRUE,exp201030,GP7,exp201030_GP7_A01,550,Non infected,2,CONTROL
A01,A,1,0.033,TRUE,exp201030,GP7,exp201030_GP7_A01,560,Non infected,2,CONTROL
A01,A,1,0.018,TRUE,exp201030,GP7,exp201030_GP7_A01,570,Non infected,2,CONTROL
A01,A,1,0.052,TRUE,exp201030,GP7,exp201030_GP7_A01,580,Non infected,2,CONTROL
A01,A,1,0.026,TRUE,exp201030,GP7,exp201030_GP7_A01,590,Non infected,2,CONTROL
A01,A,1,0.05,TRUE,exp201030,GP7,exp201030_GP7_A01,600,Non infected,2,CONTROL
A01,A,1,0.03,TRUE,exp201030,GP7,exp201030_GP7_A01,610,Non infected,2,CONTROL
A01,A,1,0.023,TRUE,exp201030,GP7,exp201030_GP7_A01,620,Non infected,2,CONTROL
A01,A,1,0.044,TRUE,exp201030,GP7,exp201030_GP7_A01,630,Non infected,2,CONTROL
