well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
A01,14413,0,A,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_A01,NE46,NEBRASKA
A02,15073,0,A,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_A02,NE1561,NEBRASKA
A03,15014,0,A,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_A03,JE2,CONTROL
A04,14863,0,A,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_A04,NE1553,NEBRASKA
A05,14504,0,A,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_A05,NE743,NEBRASKA
A06,14868,0,A,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_A06,NE172,NEBRASKA
A07,14231,0,A,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_A07,NE1166,NEBRASKA
A08,14541,0,A,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_A08,NE704,NEBRASKA
A09,15200,0,A,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_A09,NE362,NEBRASKA
A10,16882,0,A,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_A10,NE188,NEBRASKA
A11,15443,0,A,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_A11,NE1183,NEBRASKA
A12,15264,0,A,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_A12,NE1919,NEBRASKA
B01,14734,0,B,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_B01,NE573,NEBRASKA
B02,15019,0,B,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_B02,NE1020,NEBRASKA
B03,14736,0,B,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_B03,NE573,NEBRASKA
B04,13721,0,B,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_B04,NE1561,NEBRASKA
B05,13600,0,B,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_B05,NE581,NEBRASKA
B06,14101,0,B,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_B06,NE873,NEBRASKA
B07,13875,0,B,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_B07,NE172,NEBRASKA
B08,13918,0,B,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_B08,NE1532,NEBRASKA
B09,13875,0,B,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_B09,NE1553,NEBRASKA
B10,13317,0,B,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_B10,NE472,NEBRASKA
B11,14687,0,B,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_B11,NE1671,NEBRASKA
B12,15139,0,B,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_B12,NE1561,NEBRASKA
C01,14300,0,C,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_C01,NE1183,NEBRASKA
C02,13633,0,C,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_C02,NE1462,NEBRASKA
C03,13701,0,C,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_C03,NE46,NEBRASKA
C04,14373,0,C,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_C04,NE573,NEBRASKA
C05,13537,0,C,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_C05,NE1671,NEBRASKA
C06,13762,0,C,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_C06,NE440,NEBRASKA
C07,13555,0,C,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_C07,NE1380,NEBRASKA
C08,15195,0,C,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_C08,NE214,NEBRASKA
C09,13563,0,C,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_C09,NE214,NEBRASKA
C10,13114,0,C,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_C10,NE1,NEBRASKA
C11,14545,0,C,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_C11,NE362,NEBRASKA
C12,12519,0,C,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_C12,Non infected,CONTROL
D01,14767,0,D,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_D01,NE704,NEBRASKA
D02,13942,0,D,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_D02,NE472,NEBRASKA
D03,13736,0,D,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_D03,NE362,NEBRASKA
D04,13882,0,D,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_D04,NE119,NEBRASKA
D05,13825,0,D,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_D05,NE1532,NEBRASKA
D06,13711,0,D,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_D06,NE873,NEBRASKA
D07,14363,0,D,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_D07,JE2,CONTROL
D08,14007,0,D,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_D08,NE172,NEBRASKA
D09,14039,0,D,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_D09,NE117,NEBRASKA
D10,13105,0,D,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_D10,NE119,NEBRASKA
D11,14466,0,D,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_D11,NE1919,NEBRASKA
D12,14511,0,D,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_D12,NE472,NEBRASKA
E01,13386,0,E,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_E01,Non infected,CONTROL
E02,13433,0,E,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_E02,NE440,NEBRASKA
E03,13952,0,E,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_E03,NE369,NEBRASKA
E04,14024,0,E,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_E04,NE119,NEBRASKA
E05,13871,0,E,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_E05,NE873,NEBRASKA
E06,13261,0,E,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_E06,NE440,NEBRASKA
E07,14066,0,E,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_E07,NE743,NEBRASKA
E08,14601,0,E,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_E08,NE1140,NEBRASKA
E09,15041,0,E,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_E09,NE117,NEBRASKA
E10,13591,0,E,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_E10,NE1553,NEBRASKA
E11,14646,0,E,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_E11,NE1166,NEBRASKA
