well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A01,A,1,0.034,TRUE,exp210222,M1,exp210222_M1_A01,0,BPH3423,2,VSS-227
A01,A,1,0.004,TRUE,exp210222,M1,exp210222_M1_A01,10,BPH3423,2,VSS-227
A01,A,1,0.012,TRUE,exp210222,M1,exp210222_M1_A01,20,BPH3423,2,VSS-227
A01,A,1,0.015,TRUE,exp210222,M1,exp210222_M1_A01,30,BPH3423,2,VSS-227
A01,A,1,0.018,TRUE,exp210222,M1,exp210222_M1_A01,40,BPH3423,2,VSS-227
A01,A,1,0.01,TRUE,exp210222,M1,exp210222_M1_A01,50,BPH3423,2,VSS-227
A01,A,1,0.019,TRUE,exp210222,M1,exp210222_M1_A01,60,BPH3423,2,VSS-227
A01,A,1,0.018,TRUE,exp210222,M1,exp210222_M1_A01,70,BPH3423,2,VSS-227
A01,A,1,0.042,TRUE,exp210222,M1,exp210222_M1_A01,80,BPH3423,2,VSS-227
A01,A,1,0.037,TRUE,exp210222,M1,exp210222_M1_A01,90,BPH3423,2,VSS-227
A01,A,1,0.028,TRUE,exp210222,M1,exp210222_M1_A01,100,BPH3423,2,VSS-227
A01,A,1,0.067,TRUE,exp210222,M1,exp210222_M1_A01,110,BPH3423,2,VSS-227
A01,A,1,0.045,TRUE,exp210222,M1,exp210222_M1_A01,120,BPH3423,2,VSS-227
A01,A,1,0.062,TRUE,exp210222,M1,exp210222_M1_A01,130,BPH3423,2,VSS-227
A01,A,1,0.065,TRUE,exp210222,M1,exp210222_M1_A01,140,BPH3423,2,VSS-227
A01,A,1,0.077,TRUE,exp210222,M1,exp210222_M1_A01,150,BPH3423,2,VSS-227
A01,A,1,0.111,TRUE,exp210222,M1,exp210222_M1_A01,160,BPH3423,2,VSS-227
A01,A,1,0.148,TRUE,exp210222,M1,exp210222_M1_A01,170,BPH3423,2,VSS-227
A01,A,1,0.15,TRUE,exp210222,M1,exp210222_M1_A01,180,BPH3423,2,VSS-227
A01,A,1,0.174,TRUE,exp210222,M1,exp210222_M1_A01,190,BPH3423,2,VSS-227
A01,A,1,0.21,TRUE,exp210222,M1,exp210222_M1_A01,200,BPH3423,2,VSS-227
A01,A,1,0.269,TRUE,exp210222,M1,exp210222_M1_A01,210,BPH3423,2,VSS-227
A01,A,1,0.288,TRUE,exp210222,M1,exp210222_M1_A01,220,BPH3423,2,VSS-227
A01,A,1,0.336,TRUE,exp210222,M1,exp210222_M1_A01,230,BPH3423,2,VSS-227
A01,A,1,0.355,TRUE,exp210222,M1,exp210222_M1_A01,240,BPH3423,2,VSS-227
A01,A,1,0.404,TRUE,exp210222,M1,exp210222_M1_A01,250,BPH3423,2,VSS-227
A01,A,1,0.426,TRUE,exp210222,M1,exp210222_M1_A01,260,BPH3423,2,VSS-227
A01,A,1,0.451,TRUE,exp210222,M1,exp210222_M1_A01,270,BPH3423,2,VSS-227
A01,A,1,0.484,TRUE,exp210222,M1,exp210222_M1_A01,280,BPH3423,2,VSS-227
A01,A,1,0.503,TRUE,exp210222,M1,exp210222_M1_A01,290,BPH3423,2,VSS-227
A01,A,1,0.512,TRUE,exp210222,M1,exp210222_M1_A01,300,BPH3423,2,VSS-227
A01,A,1,0.533,TRUE,exp210222,M1,exp210222_M1_A01,310,BPH3423,2,VSS-227
A01,A,1,0.558,TRUE,exp210222,M1,exp210222_M1_A01,320,BPH3423,2,VSS-227
A01,A,1,0.566,TRUE,exp210222,M1,exp210222_M1_A01,330,BPH3423,2,VSS-227
A01,A,1,0.564,TRUE,exp210222,M1,exp210222_M1_A01,340,BPH3423,2,VSS-227
A01,A,1,0.586,TRUE,exp210222,M1,exp210222_M1_A01,350,BPH3423,2,VSS-227
A01,A,1,0.559,TRUE,exp210222,M1,exp210222_M1_A01,360,BPH3423,2,VSS-227
A01,A,1,0.592,TRUE,exp210222,M1,exp210222_M1_A01,370,BPH3423,2,VSS-227
A01,A,1,0.603,TRUE,exp210222,M1,exp210222_M1_A01,380,BPH3423,2,VSS-227
A01,A,1,0.602,TRUE,exp210222,M1,exp210222_M1_A01,390,BPH3423,2,VSS-227
A01,A,1,0.607,TRUE,exp210222,M1,exp210222_M1_A01,400,BPH3423,2,VSS-227
A01,A,1,0.614,TRUE,exp210222,M1,exp210222_M1_A01,410,BPH3423,2,VSS-227
A01,A,1,0.625,TRUE,exp210222,M1,exp210222_M1_A01,420,BPH3423,2,VSS-227
A01,A,1,0.628,TRUE,exp210222,M1,exp210222_M1_A01,430,BPH3423,2,VSS-227
A01,A,1,0.618,TRUE,exp210222,M1,exp210222_M1_A01,440,BPH3423,2,VSS-227
A01,A,1,0.625,TRUE,exp210222,M1,exp210222_M1_A01,450,BPH3423,2,VSS-227
A01,A,1,0.647,TRUE,exp210222,M1,exp210222_M1_A01,460,BPH3423,2,VSS-227
A01,A,1,0.656,TRUE,exp210222,M1,exp210222_M1_A01,470,BPH3423,2,VSS-227
A01,A,1,0.652,TRUE,exp210222,M1,exp210222_M1_A01,480,BPH3423,2,VSS-227
A01,A,1,0.666,TRUE,exp210222,M1,exp210222_M1_A01,490,BPH3423,2,VSS-227
A01,A,1,0.659,TRUE,exp210222,M1,exp210222_M1_A01,500,BPH3423,2,VSS-227
A01,A,1,0.664,TRUE,exp210222,M1,exp210222_M1_A01,510,BPH3423,2,VSS-227
A01,A,1,0.668,TRUE,exp210222,M1,exp210222_M1_A01,520,BPH3423,2,VSS-227
A01,A,1,0.685,TRUE,exp210222,M1,exp210222_M1_A01,530,BPH3423,2,VSS-227
A01,A,1,0.697,TRUE,exp210222,M1,exp210222_M1_A01,540,BPH3423,2,VSS-227
A01,A,1,0.694,TRUE,exp210222,M1,exp210222_M1_A01,550,BPH3423,2,VSS-227
A01,A,1,0.692,TRUE,exp210222,M1,exp210222_M1_A01,560,BPH3423,2,VSS-227
A01,A,1,0.703,TRUE,exp210222,M1,exp210222_M1_A01,570,BPH3423,2,VSS-227
A01,A,1,0.693,TRUE,exp210222,M1,exp210222_M1_A01,580,BPH3423,2,VSS-227
A01,A,1,0.695,TRUE,exp210222,M1,exp210222_M1_A01,590,BPH3423,2,VSS-227
A01,A,1,0.707,TRUE,exp210222,M1,exp210222_M1_A01,600,BPH3423,2,VSS-227
A01,A,1,0.704,TRUE,exp210222,M1,exp210222_M1_A01,610,BPH3423,2,VSS-227
A01,A,1,0.703,TRUE,exp210222,M1,exp210222_M1_A01,620,BPH3423,2,VSS-227
A01,A,1,0.725,TRUE,exp210222,M1,exp210222_M1_A01,630,BPH3423,2,VSS-227
A01,A,1,0.707,TRUE,exp210222,M1,exp210222_M1_A01,640,BPH3423,2,VSS-227
A01,A,1,0.716,TRUE,exp210222,M1,exp210222_M1_A01,650,BPH3423,2,VSS-227
A01,A,1,0.738,TRUE,exp210222,M1,exp210222_M1_A01,660,BPH3423,2,VSS-227
A01,A,1,0.721,TRUE,exp210222,M1,exp210222_M1_A01,670,BPH3423,2,VSS-227
A01,A,1,0.731,TRUE,exp210222,M1,exp210222_M1_A01,680,BPH3423,2,VSS-227
A01,A,1,0.725,TRUE,exp210222,M1,exp210222_M1_A01,690,BPH3423,2,VSS-227
A01,A,1,0.726,TRUE,exp210222,M1,exp210222_M1_A01,700,BPH3423,2,VSS-227
A01,A,1,0.734,TRUE,exp210222,M1,exp210222_M1_A01,710,BPH3423,2,VSS-227
A01,A,1,0.748,TRUE,exp210222,M1,exp210222_M1_A01,720,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,730,BPH3423,2,VSS-227
A01,A,1,0.74,TRUE,exp210222,M1,exp210222_M1_A01,740,BPH3423,2,VSS-227
A01,A,1,0.743,TRUE,exp210222,M1,exp210222_M1_A01,750,BPH3423,2,VSS-227
A01,A,1,0.743,TRUE,exp210222,M1,exp210222_M1_A01,760,BPH3423,2,VSS-227
A01,A,1,0.722,TRUE,exp210222,M1,exp210222_M1_A01,770,BPH3423,2,VSS-227
A01,A,1,0.736,TRUE,exp210222,M1,exp210222_M1_A01,780,BPH3423,2,VSS-227
A01,A,1,0.746,TRUE,exp210222,M1,exp210222_M1_A01,790,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,800,BPH3423,2,VSS-227
A01,A,1,0.746,TRUE,exp210222,M1,exp210222_M1_A01,810,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,820,BPH3423,2,VSS-227
A01,A,1,0.74,TRUE,exp210222,M1,exp210222_M1_A01,830,BPH3423,2,VSS-227
A01,A,1,0.736,TRUE,exp210222,M1,exp210222_M1_A01,840,BPH3423,2,VSS-227
A01,A,1,0.742,TRUE,exp210222,M1,exp210222_M1_A01,850,BPH3423,2,VSS-227
A01,A,1,0.762,TRUE,exp210222,M1,exp210222_M1_A01,860,BPH3423,2,VSS-227
