well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
A01,16919,0,A,01,exp200313,40000,M2,exp200313_M2_A01,BPH3690,2,VSS-515
A02,15376,0,A,02,exp200313,40000,M2,exp200313_M2_A02,BPH3563,3,VSS-370
A03,16218,0,A,03,exp200313,40000,M2,exp200313_M2_A03,BPH3455,1,VSS-259
A04,15520,0,A,04,exp200313,40000,M2,exp200313_M2_A04,BPH3560,1,VSS-367
A05,17739,0,A,05,exp200313,40000,M2,exp200313_M2_A05,JE2,3,CONTROL
A06,17267,0,A,06,exp200313,40000,M2,exp200313_M2_A06,BPH3594,1,VSS-403
A07,17369,0,A,07,exp200313,40000,M2,exp200313_M2_A07,BPH3506,2,VSS-310
A08,16409,0,A,08,exp200313,40000,M2,exp200313_M2_A08,BPH3725,1,VSS-560
A09,16554,0,A,09,exp200313,40000,M2,exp200313_M2_A09,BPH3676,2,VSS-497
A10,15338,0,A,10,exp200313,40000,M2,exp200313_M2_A10,BPH3627,3,VSS-446
A11,18793,0,A,11,exp200313,40000,M2,exp200313_M2_A11,BPH3521,3,VSS-325
A12,15598,0,A,12,exp200313,40000,M2,exp200313_M2_A12,BPH3644,3,VSS-463
B01,17569,0,B,01,exp200313,40000,M2,exp200313_M2_B01,BPH3708,2,VSS-543
B02,17075,0,B,02,exp200313,40000,M2,exp200313_M2_B02,BPH3483,1,VSS-287
B03,17779,0,B,03,exp200313,40000,M2,exp200313_M2_B03,BPH3708,1,VSS-543
B04,16112,0,B,04,exp200313,40000,M2,exp200313_M2_B04,BPH3563,1,VSS-370
B05,16267,0,B,05,exp200313,40000,M2,exp200313_M2_B05,BPH3712,3,VSS-547
B06,15637,0,B,06,exp200313,40000,M2,exp200313_M2_B06,Non infected,3,CONTROL
B07,16511,0,B,07,exp200313,40000,M2,exp200313_M2_B07,BPH3594,2,VSS-403
B08,18047,0,B,08,exp200313,40000,M2,exp200313_M2_B08,BPH3549,3,VSS-353
B09,16831,0,B,09,exp200313,40000,M2,exp200313_M2_B09,BPH3560,2,VSS-367
B10,16102,0,B,10,exp200313,40000,M2,exp200313_M2_B10,BPH3698,1,VSS-531
B11,18296,0,B,11,exp200313,40000,M2,exp200313_M2_B11,BPH3572,3,VSS-379
B12,15278,0,B,12,exp200313,40000,M2,exp200313_M2_B12,BPH3563,2,VSS-370
C01,17825,0,C,01,exp200313,40000,M2,exp200313_M2_C01,BPH3521,2,VSS-325
C02,20892,0,C,02,exp200313,40000,M2,exp200313_M2_C02,BPH3541,1,VSS-345
C03,17484,0,C,03,exp200313,40000,M2,exp200313_M2_C03,BPH3690,3,VSS-515
C04,18195,0,C,04,exp200313,40000,M2,exp200313_M2_C04,BPH3708,3,VSS-543
C05,18382,0,C,05,exp200313,40000,M2,exp200313_M2_C05,BPH3572,1,VSS-379
C06,17067,0,C,06,exp200313,40000,M2,exp200313_M2_C06,BPH3681,3,VSS-504
C07,20436,0,C,07,exp200313,40000,M2,exp200313_M2_C07,BPH3533,1,VSS-337
C08,17060,0,C,08,exp200313,40000,M2,exp200313_M2_C08,BPH3646,1,VSS-465
C09,16420,0,C,09,exp200313,40000,M2,exp200313_M2_C09,BPH3646,2,VSS-465
C10,16199,0,C,10,exp200313,40000,M2,exp200313_M2_C10,BPH3478,3,VSS-282
C11,15550,0,C,11,exp200313,40000,M2,exp200313_M2_C11,BPH3676,1,VSS-497
C12,15451,0,C,12,exp200313,40000,M2,exp200313_M2_C12,TOX-4,2,CONTROL
D01,16656,0,D,01,exp200313,40000,M2,exp200313_M2_D01,BPH3725,3,VSS-560
D02,16105,0,D,02,exp200313,40000,M2,exp200313_M2_D02,BPH3698,2,VSS-531
D03,17060,0,D,03,exp200313,40000,M2,exp200313_M2_D03,BPH3676,3,VSS-497
D04,16479,0,D,04,exp200313,40000,M2,exp200313_M2_D04,BPH3525,3,VSS-329
D05,17144,0,D,05,exp200313,40000,M2,exp200313_M2_D05,BPH3549,2,VSS-353
D06,15140,0,D,06,exp200313,40000,M2,exp200313_M2_D06,Non infected,2,CONTROL
D07,17814,0,D,07,exp200313,40000,M2,exp200313_M2_D07,BPH3455,2,VSS-259
D08,17033,0,D,08,exp200313,40000,M2,exp200313_M2_D08,BPH3594,3,VSS-403
D09,17105,0,D,09,exp200313,40000,M2,exp200313_M2_D09,BPH3515,3,VSS-319
D10,16324,0,D,10,exp200313,40000,M2,exp200313_M2_D10,BPH3525,1,VSS-329
D11,16982,0,D,11,exp200313,40000,M2,exp200313_M2_D11,BPH3644,1,VSS-463
D12,15985,0,D,12,exp200313,40000,M2,exp200313_M2_D12,BPH3698,3,VSS-531
E01,17138,0,E,01,exp200313,40000,M2,exp200313_M2_E01,TOX-4,1,CONTROL
E02,16992,0,E,02,exp200313,40000,M2,exp200313_M2_E02,BPH3681,2,VSS-504
E03,16939,0,E,03,exp200313,40000,M2,exp200313_M2_E03,BPH3680,2,VSS-503
E04,17363,0,E,04,exp200313,40000,M2,exp200313_M2_E04,BPH3525,2,VSS-329
E05,15985,0,E,05,exp200313,40000,M2,exp200313_M2_E05,Non infected,1,CONTROL
E06,16362,0,E,06,exp200313,40000,M2,exp200313_M2_E06,BPH3681,1,VSS-504
E07,17053,0,E,07,exp200313,40000,M2,exp200313_M2_E07,JE2,1,CONTROL
E08,17452,0,E,08,exp200313,40000,M2,exp200313_M2_E08,BPH3504,2,VSS-308
E09,16350,0,E,09,exp200313,40000,M2,exp200313_M2_E09,BPH3515,2,VSS-319
E10,15871,0,E,10,exp200313,40000,M2,exp200313_M2_E10,BPH3560,3,VSS-367
E11,19229,0,E,11,exp200313,40000,M2,exp200313_M2_E11,BPH3506,1,VSS-310
E12,15372,0,E,12,exp200313,40000,M2,exp200313_M2_E12,BPH3680,3,VSS-503
F01,16657,0,F,01,exp200313,40000,M2,exp200313_M2_F01,BPH3712,1,VSS-547
F02,16691,0,F,02,exp200313,40000,M2,exp200313_M2_F02,BPH3680,1,VSS-503
F03,15619,0,F,03,exp200313,40000,M2,exp200313_M2_F03,BPH3617,2,VSS-436
F04,16064,0,F,04,exp200313,40000,M2,exp200313_M2_F04,BPH3690,1,VSS-515
F05,15204,0,F,05,exp200313,40000,M2,exp200313_M2_F05,BPH3723,2,VSS-558
F06,15430,0,F,06,exp200313,40000,M2,exp200313_M2_F06,BPH3723,1,VSS-558
F07,15741,0,F,07,exp200313,40000,M2,exp200313_M2_F07,BPH3617,3,VSS-436
F08,16392,0,F,08,exp200313,40000,M2,exp200313_M2_F08,BPH3504,3,VSS-308
F09,15793,0,F,09,exp200313,40000,M2,exp200313_M2_F09,BPH3515,1,VSS-319
F10,15807,0,F,10,exp200313,40000,M2,exp200313_M2_F10,BPH3627,2,VSS-446
F11,15000,0,F,11,exp200313,40000,M2,exp200313_M2_F11,TOX-4,3,CONTROL
F12,14633,0,F,12,exp200313,40000,M2,exp200313_M2_F12,BPH3725,2,VSS-560
G01,16947,0,G,01,exp200313,40000,M2,exp200313_M2_G01,BPH3572,2,VSS-379
G02,16712,0,G,02,exp200313,40000,M2,exp200313_M2_G02,BPH3712,2,VSS-547
G03,16529,0,G,03,exp200313,40000,M2,exp200313_M2_G03,BPH3483,3,VSS-287
G04,18044,0,G,04,exp200313,40000,M2,exp200313_M2_G04,BPH3541,2,VSS-345
G05,14852,0,G,05,exp200313,40000,M2,exp200313_M2_G05,BPH3723,3,VSS-558
G06,15575,0,G,06,exp200313,40000,M2,exp200313_M2_G06,BPH3617,1,VSS-436
G07,16156,0,G,07,exp200313,40000,M2,exp200313_M2_G07,BPH3549,1,VSS-353
