well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
B02,15371,0,B,02,exp200219,40000,P1,exp200219_P1_B02,TOX-4,3,CONTROL
B03,13921,0,B,03,exp200219,40000,P1,exp200219_P1_B03,BPH2705,1,VAN-004
B04,13999,0,B,04,exp200219,40000,P1,exp200219_P1_B04,BPH2979,3,VAN-216
B05,14367,0,B,05,exp200219,40000,P1,exp200219_P1_B05,BPH2704,1,VAN-004
B06,14821,0,B,06,exp200219,40000,P1,exp200219_P1_B06,BPH2978,1,VAN-216
B07,14438,0,B,07,exp200219,40000,P1,exp200219_P1_B07,BPH2763,2,VAN-050
B08,14241,0,B,08,exp200219,40000,P1,exp200219_P1_B08,BPH2981,1,VAN-216
B09,14090,0,B,09,exp200219,40000,P1,exp200219_P1_B09,BPH2728,2,VAN-024
B10,14245,0,B,10,exp200219,40000,P1,exp200219_P1_B10,BPH2729,3,VAN-024
B11,14883,0,B,11,exp200219,40000,P1,exp200219_P1_B11,BPH2977,3,VAN-216
C02,15119,0,C,02,exp200219,40000,P1,exp200219_P1_C02,BPH2730,3,VAN-024
C03,14924,0,C,03,exp200219,40000,P1,exp200219_P1_C03,BPH2982,2,VAN-216
C04,15390,0,C,04,exp200219,40000,P1,exp200219_P1_C04,BPH2980,3,VAN-216
C05,14820,0,C,05,exp200219,40000,P1,exp200219_P1_C05,BPH2727,1,VAN-023
C06,14478,0,C,06,exp200219,40000,P1,exp200219_P1_C06,BPH2726,1,VAN-023
C07,14920,0,C,07,exp200219,40000,P1,exp200219_P1_C07,BPH2726,3,VAN-023
C08,14254,0,C,08,exp200219,40000,P1,exp200219_P1_C08,BPH2728,3,VAN-024
C09,14934,0,C,09,exp200219,40000,P1,exp200219_P1_C09,BPH2982,1,VAN-216
C10,15034,0,C,10,exp200219,40000,P1,exp200219_P1_C10,BPH2979,1,VAN-216
C11,15345,0,C,11,exp200219,40000,P1,exp200219_P1_C11,BPH2764,1,VAN-050
D02,14878,0,D,02,exp200219,40000,P1,exp200219_P1_D02,TOX-4,1,CONTROL
D03,15055,0,D,03,exp200219,40000,P1,exp200219_P1_D03,Non infected,2,CONTROL
D04,14535,0,D,04,exp200219,40000,P1,exp200219_P1_D04,BPH2979,2,VAN-216
D05,14468,0,D,05,exp200219,40000,P1,exp200219_P1_D05,BPH2980,2,VAN-216
D06,14588,0,D,06,exp200219,40000,P1,exp200219_P1_D06,BPH2982,3,VAN-216
D07,14852,0,D,07,exp200219,40000,P1,exp200219_P1_D07,BPH2730,2,VAN-024
D08,14706,0,D,08,exp200219,40000,P1,exp200219_P1_D08,BPH2704,3,VAN-004
D09,14560,0,D,09,exp200219,40000,P1,exp200219_P1_D09,BPH2705,3,VAN-004
D10,14758,0,D,10,exp200219,40000,P1,exp200219_P1_D10,BPH2981,2,VAN-216
D11,15192,0,D,11,exp200219,40000,P1,exp200219_P1_D11,BPH2976,2,VAN-216
E02,15159,0,E,02,exp200219,40000,P1,exp200219_P1_E02,BPH2976,3,VAN-216
E03,15371,0,E,03,exp200219,40000,P1,exp200219_P1_E03,BPH2978,3,VAN-216
E04,15474,0,E,04,exp200219,40000,P1,exp200219_P1_E04,BPH2977,2,VAN-216
E05,14692,0,E,05,exp200219,40000,P1,exp200219_P1_E05,BPH2978,2,VAN-216
E06,14925,0,E,06,exp200219,40000,P1,exp200219_P1_E06,BPH2727,3,VAN-023
