well,well_row,well_col,OD,OD_blank_normalised,experiment,plate,well_id,timepoint,sample_id,replicate,strain_group
A05,A,5,0.136,TRUE,exp201112,P2,exp201112_P2_A05,0,JE2,NA,CONTROL
A05,A,5,0.105,TRUE,exp201112,P2,exp201112_P2_A05,10,JE2,NA,CONTROL
A05,A,5,0.08,TRUE,exp201112,P2,exp201112_P2_A05,20,JE2,NA,CONTROL
A05,A,5,0.084,TRUE,exp201112,P2,exp201112_P2_A05,30,JE2,NA,CONTROL
A05,A,5,0.07,TRUE,exp201112,P2,exp201112_P2_A05,40,JE2,NA,CONTROL
A05,A,5,0.079,TRUE,exp201112,P2,exp201112_P2_A05,50,JE2,NA,CONTROL
A05,A,5,0.113,TRUE,exp201112,P2,exp201112_P2_A05,60,JE2,NA,CONTROL
A05,A,5,0.072,TRUE,exp201112,P2,exp201112_P2_A05,70,JE2,NA,CONTROL
A05,A,5,0.072,TRUE,exp201112,P2,exp201112_P2_A05,80,JE2,NA,CONTROL
A05,A,5,0.074,TRUE,exp201112,P2,exp201112_P2_A05,90,JE2,NA,CONTROL
A05,A,5,0.07,TRUE,exp201112,P2,exp201112_P2_A05,100,JE2,NA,CONTROL
A05,A,5,0.084,TRUE,exp201112,P2,exp201112_P2_A05,110,JE2,NA,CONTROL
A05,A,5,0.101,TRUE,exp201112,P2,exp201112_P2_A05,120,JE2,NA,CONTROL
A05,A,5,0.112,TRUE,exp201112,P2,exp201112_P2_A05,130,JE2,NA,CONTROL
A05,A,5,0.099,TRUE,exp201112,P2,exp201112_P2_A05,140,JE2,NA,CONTROL
A05,A,5,0.113,TRUE,exp201112,P2,exp201112_P2_A05,150,JE2,NA,CONTROL
A05,A,5,0.106,TRUE,exp201112,P2,exp201112_P2_A05,160,JE2,NA,CONTROL
A05,A,5,0.132,TRUE,exp201112,P2,exp201112_P2_A05,170,JE2,NA,CONTROL
A05,A,5,0.143,TRUE,exp201112,P2,exp201112_P2_A05,180,JE2,NA,CONTROL
