"well_id","time_of_max_rate_growth","max_rate_growth","doubling_time_growth","AUC_growth","time_of_max_growth","max_growth","time_of_min_growth","min_growth","end_point_growth","end_point_timepoint_growth","experiment_id","well_row","well_col","OD","well","OD_blank_normalised","experiment","plate","sample_id","replicate","strain_group","mean_blank_OD","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp191107_2_A01",390,0.00227530485265679,304.639257350761,43.9508325494131,670,0.786950427217918,100,0.0506774795856016,0.68914102331205,930,"exp191107_2","A","1",-0.006666667,"A01",TRUE,"exp191107","2","BPH2750","2","VAN-040",0.006,0.00287356879170195,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A02",340,0.00287211861926553,241.336543661696,61.4064020769981,670,1.03117451561241,0,0.0336823403441892,0.957135220797842,930,"exp191107_2","A","2",-0.003,"A02",TRUE,"exp191107","2","BPH2740","3","VAN-030",0.006,0.00264702253583678,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A03",360,0.00278102451783522,249.241664758676,60.307225968992,790,1.05244585640959,0,0.044234194793773,1.04526454616579,930,"exp191107_2","A","3",0.002,"A03",TRUE,"exp191107","2","BPH2728","1","VAN-024",0.006,0.00250536639504748,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A04",400,0.0029605740472782,234.125939595124,58.9241566940174,780,1.10369817308577,110,0.0516570937229453,1.08310261422908,930,"exp191107_2","A","4",0.012,"A04",TRUE,"exp191107","2","BPH2739","1","VAN-030",0.006,0.00433942188779791,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A05",350,9.7846825137183e-05,7084.0027725799,9.68887577181783,680,0.120624867860843,0,0.0734925042847029,0.118821323265249,930,"exp191107_2","A","5",0.013,"A05",TRUE,"exp191107","2","Non infected","3","CONTROL",0.006,0.0156741729732648,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A06",340,0.00265376376462664,261.194002947532,58.5089050337077,850,1.00216775061152,0,0.0439168507341272,1.00137863984253,930,"exp191107_2","A","6",0.02,"A06",TRUE,"exp191107","2","BPH2742","1","VAN-032",0.006,0.00951909752663404,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A07",310,0.00274788923222472,252.247132974412,63.7245320627569,750,1.0336774562275,0,0.0304802034231428,1.02034383414764,930,"exp191107_2","A","7",0.013,"A07",TRUE,"exp191107","2","BPH2732","2","VAN-026",0.006,0.00501073279009495,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A08",340,0.00267936372618166,258.698426714817,56.7562452371666,650,0.936244191235559,0,0.0466379161978057,0.870162475643944,930,"exp191107_2","A","8",0.019,"A08",TRUE,"exp191107","2","BPH2755","1","VAN-043",0.006,0.00736899887131998,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A09",430,0.00267961990420104,258.673694531544,53.9378279921347,930,1.04790940115962,120,0.0718744649053219,1.04790940115962,930,"exp191107_2","A","9",0.027,"A09",TRUE,"exp191107","2","BPH2747","2","VAN-038",0.006,0.0118309647748493,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_A10",370,0.00258133977817063,268.522255931442,56.2334582863389,770,0.973105238776209,0,0.0644927641215681,0.966325290810481,930,"exp191107_2","A","10",0.023,"A10",TRUE,"exp191107","2","BPH2744","3","VAN-034",0.006,0.00822105427814317,FALSE,FALSE,FALSE,0,0.0106382978723404,0,FALSE,"1"
