GP-001	BPH2857	BPH2852
GP-002	BPH2896	BPH2780
GP-003	BPH3220	BPH3208
GP-004	BPH3226	BPH3204
GP-005	BPH3250	BPH3208
GP-006	BPH3250	BPH3220
GP-007	BPH3258	BPH3236
GP-008	BPH3260	BPH3208
GP-009	BPH3260	BPH3220
GP-010	BPH3260	BPH3250
GP-011	BPH3262	BPH3208
GP-012	BPH3262	BPH3220
GP-013	BPH3262	BPH3250
GP-014	BPH3262	BPH3260
GP-015	BPH3270	BPH3216
GP-016	BPH3272	BPH3244
GP-017	BPH3282	BPH3274
GP-018	BPH3284	BPH3244
GP-019	BPH3284	BPH3272
GP-020	BPH3292	BPH3204
GP-021	BPH3292	BPH3226
GP-022	BPH3294	BPH3246
GP-023	BPH3304	BPH3268
GP-024	BPH3306	BPH3208
GP-025	BPH3306	BPH3220
GP-026	BPH3306	BPH3250
GP-027	BPH3306	BPH3260
GP-028	BPH3306	BPH3262
GP-029	BPH3320	BPH3226
GP-030	BPH3366	BPH3362
GP-031	BPH3382	BPH2710
GP-032	BPH3382	BPH2780
GP-033	BPH3415	BPH3403
GP-034	BPH3417	BPH3401
GP-035	BPH3433	BPH3401
GP-036	BPH3434	BPH3423
GP-037	BPH3435	BPH3376
GP-038	BPH3435	BPH3382
GP-039	BPH3455	BPH3453
GP-040	BPH3457	BPH3453
GP-041	BPH3457	BPH3455
GP-042	BPH3460	BPH3389
GP-043	BPH3462	BPH3459
GP-044	BPH3463	BPH3401
GP-045	BPH3463	BPH3417
GP-046	BPH3483	BPH3382
GP-047	BPH3493	BPH3401
GP-048	BPH3493	BPH3417
GP-049	BPH3493	BPH3433
GP-050	BPH3493	BPH3463
GP-051	BPH3508	BPH3482
GP-052	BPH3511	BPH3485
GP-053	BPH3523	BPH3401
GP-054	BPH3523	BPH3493
GP-055	BPH3525	BPH3413
GP-056	BPH3527	BPH3523
GP-057	BPH3644	BPH3638
GP-058	BPH3646	BPH3636
GP-059	BPH3646	BPH3640
GP-060	BPH3648	BPH3636
GP-061	BPH3648	BPH3646
GP-062	BPH3650	BPH3636
GP-063	BPH3650	BPH3646
GP-064	BPH3650	BPH3648
GP-065	BPH3652	BPH3636
GP-066	BPH3652	BPH3646
GP-067	BPH3652	BPH3648
GP-068	BPH3652	BPH3650
GP-069	BPH3658	BPH3636
GP-070	BPH3658	BPH3646
GP-071	BPH3658	BPH3648
GP-072	BPH3658	BPH3650
GP-073	BPH3658	BPH3652
GP-074	BPH3664	BPH3632
GP-075	BPH3666	BPH3646
GP-076	BPH3666	BPH3648
GP-077	BPH3666	BPH3650
GP-078	BPH3666	BPH3652
GP-079	BPH3666	BPH3658
GP-080	BPH3668	BPH3636
GP-081	BPH3668	BPH3646
GP-082	BPH3668	BPH3648
GP-083	BPH3668	BPH3650
GP-084	BPH3668	BPH3652
GP-085	BPH3668	BPH3658
GP-086	BPH3668	BPH3666
GP-087	BPH3670	BPH3638
GP-088	BPH3670	BPH3644
GP-089	BPH3670	BPH3646
GP-090	BPH3672	BPH3636
GP-091	BPH3672	BPH3646
GP-092	BPH3672	BPH3648
GP-093	BPH3672	BPH3650
GP-094	BPH3672	BPH3652
GP-095	BPH3672	BPH3658
GP-096	BPH3672	BPH3666
GP-097	BPH3672	BPH3668
GP-098	BPH3676	BPH3636
GP-099	BPH3676	BPH3646
GP-100	BPH3676	BPH3648
GP-101	BPH3676	BPH3650
GP-102	BPH3676	BPH3652
GP-103	BPH3676	BPH3658
GP-104	BPH3676	BPH3666
GP-105	BPH3676	BPH3668
GP-106	BPH3676	BPH3672
GP-107	BPH3686	BPH3682
GP-108	BPH3688	BPH3646
GP-109	BPH3688	BPH3652
GP-110	BPH3688	BPH3666
GP-111	BPH3688	BPH3676
GP-112	BPH3692	BPH3636
GP-113	BPH3692	BPH3646
GP-114	BPH3692	BPH3648
GP-115	BPH3692	BPH3650
GP-116	BPH3692	BPH3652
GP-117	BPH3692	BPH3658
GP-118	BPH3692	BPH3666
GP-119	BPH3692	BPH3668
GP-120	BPH3692	BPH3672
GP-121	BPH3692	BPH3676
GP-122	BPH3694	BPH3636
GP-123	BPH3694	BPH3646
GP-124	BPH3694	BPH3648
GP-125	BPH3694	BPH3650
GP-126	BPH3694	BPH3652
GP-127	BPH3694	BPH3658
GP-128	BPH3694	BPH3666
GP-129	BPH3694	BPH3668
GP-130	BPH3694	BPH3672
GP-131	BPH3694	BPH3676
GP-132	BPH3694	BPH3688
GP-133	BPH3694	BPH3692
GP-134	BPH3696	BPH3632
GP-135	BPH3696	BPH3664
GP-136	BPH3698	BPH3646
GP-137	BPH3698	BPH3648
GP-138	BPH3698	BPH3650
GP-139	BPH3698	BPH3652
GP-140	BPH3698	BPH3658
GP-141	BPH3698	BPH3666
GP-142	BPH3698	BPH3668
GP-143	BPH3698	BPH3672
GP-144	BPH3698	BPH3676
GP-145	BPH3698	BPH3688
GP-146	BPH3698	BPH3692
GP-147	BPH3698	BPH3694
GP-148	BPH3700	BPH3682
GP-149	BPH3702	BPH3646
GP-150	BPH3702	BPH3648
GP-151	BPH3702	BPH3650
GP-152	BPH3702	BPH3652
GP-153	BPH3702	BPH3658
GP-154	BPH3702	BPH3666
GP-155	BPH3702	BPH3668
GP-156	BPH3702	BPH3672
GP-157	BPH3702	BPH3676
GP-158	BPH3702	BPH3688
GP-159	BPH3702	BPH3692
GP-160	BPH3702	BPH3694
GP-161	BPH3702	BPH3698
GP-162	BPH3704	BPH3646
GP-163	BPH3704	BPH3648
GP-164	BPH3704	BPH3650
GP-165	BPH3704	BPH3652
GP-166	BPH3704	BPH3658
GP-167	BPH3704	BPH3666
GP-168	BPH3704	BPH3668
GP-169	BPH3704	BPH3672
GP-170	BPH3704	BPH3676
GP-171	BPH3704	BPH3688
GP-172	BPH3704	BPH3692
GP-173	BPH3704	BPH3694
GP-174	BPH3704	BPH3698
GP-175	BPH3704	BPH3702
GP-176	BPH3706	BPH3636
GP-177	BPH3706	BPH3646
GP-178	BPH3706	BPH3648
GP-179	BPH3706	BPH3650
GP-180	BPH3706	BPH3652
GP-181	BPH3706	BPH3658
GP-182	BPH3706	BPH3666
GP-183	BPH3706	BPH3668
GP-184	BPH3706	BPH3672
GP-185	BPH3706	BPH3676
GP-186	BPH3706	BPH3692
GP-187	BPH3706	BPH3694
GP-188	BPH3706	BPH3698
GP-189	BPH3706	BPH3702
GP-190	BPH3706	BPH3704
GP-191	BPH3710	BPH3636
GP-192	BPH3710	BPH3646
GP-193	BPH3710	BPH3648
GP-194	BPH3710	BPH3650
GP-195	BPH3710	BPH3652
GP-196	BPH3710	BPH3658
GP-197	BPH3710	BPH3666
GP-198	BPH3710	BPH3668
GP-199	BPH3710	BPH3672
GP-200	BPH3710	BPH3676
GP-201	BPH3710	BPH3692
GP-202	BPH3710	BPH3694
GP-203	BPH3710	BPH3698
GP-204	BPH3710	BPH3702
GP-205	BPH3710	BPH3704
GP-206	BPH3710	BPH3706
GP-207	BPH3712	BPH3646
GP-208	BPH3712	BPH3648
GP-209	BPH3712	BPH3650
GP-210	BPH3712	BPH3652
GP-211	BPH3712	BPH3658
GP-212	BPH3712	BPH3666
GP-213	BPH3712	BPH3668
GP-214	BPH3712	BPH3672
GP-215	BPH3712	BPH3676
GP-216	BPH3712	BPH3688
GP-217	BPH3712	BPH3692
GP-218	BPH3712	BPH3694
GP-219	BPH3712	BPH3698
GP-220	BPH3712	BPH3702
GP-221	BPH3712	BPH3704
GP-222	BPH3712	BPH3706
GP-223	BPH3712	BPH3710
GP-224	BPH3739	BPH3529
GP-225	BPH3741	BPH3417
GP-226	BPH3741	BPH3433
GP-227	BPH3741	BPH3463
GP-228	BPH3741	BPH3493
GP-229	BPH3742	BPH3417
GP-230	BPH3742	BPH3433
GP-231	BPH3742	BPH3463
GP-232	BPH3742	BPH3493
GP-233	BPH3743	BPH3417
GP-234	BPH3743	BPH3463
GP-235	BPH3743	BPH3493
GP-236	BPH3744	BPH3417
GP-237	BPH3744	BPH3463
GP-238	BPH3744	BPH3493
GP-239	BPH3745	BPH3401
GP-240	BPH3745	BPH3463
GP-241	BPH3745	BPH3493
GP-242	BPH3745	BPH3741
GP-243	BPH3745	BPH3742
GP-244	BPH3745	BPH3743
GP-245	BPH3745	BPH3744
GP-246	BPH3746	BPH3434
GP-247	BPH3748	BPH3401
GP-248	BPH3748	BPH3493
GP-249	BPH3748	BPH3741
GP-250	BPH3748	BPH3742
GP-251	BPH3751	BPH3750
GP-252	BPH3755	BPH3636
GP-253	BPH3755	BPH3646
GP-254	BPH3755	BPH3648
GP-255	BPH3755	BPH3650
GP-256	BPH3755	BPH3652
GP-257	BPH3755	BPH3658
GP-258	BPH3755	BPH3666
GP-259	BPH3755	BPH3668
GP-260	BPH3755	BPH3672
GP-261	BPH3755	BPH3676
GP-262	BPH3755	BPH3688
GP-263	BPH3755	BPH3692
GP-264	BPH3755	BPH3698
GP-265	BPH3755	BPH3702
GP-266	BPH3755	BPH3704
GP-267	BPH3755	BPH3706
GP-268	BPH3755	BPH3710
GP-269	BPH3755	BPH3712
GP-270	BPH3757	BPH3636
GP-271	BPH3757	BPH3646
GP-272	BPH3757	BPH3648
GP-273	BPH3757	BPH3650
GP-274	BPH3757	BPH3652
GP-275	BPH3757	BPH3658
GP-276	BPH3757	BPH3666
GP-277	BPH3757	BPH3668
GP-278	BPH3757	BPH3672
GP-279	BPH3757	BPH3676
GP-280	BPH3757	BPH3692
GP-281	BPH3757	BPH3694
GP-282	BPH3757	BPH3698
GP-283	BPH3757	BPH3702
GP-284	BPH3757	BPH3710
GP-285	BPH3757	BPH3712
GP-286	BPH3757	BPH3755
