sample_id,strain_group,plate
BPH2787,VAN-071,GP1
BPH2798,VAN-082,GP1
BPH2799,VAN-082,GP1
BPH2800,VAN-082,GP1
BPH2801,VAN-083,GP1
BPH2802,VAN-083,GP1
BPH2803,VAN-083,GP1
BPH2807,VAN-086,GP1
BPH2808,VAN-086,GP1
BPH2869,VAN-134,GP1
BPH2872,VAN-137,GP1
BPH2873,VAN-137,GP1
BPH2876,VAN-140,GP1
BPH2877,VAN-140,GP1
BPH2881,VAN-144,GP1
BPH2882,VAN-144,GP1
BPH2883,VAN-145,GP1
BPH2884,VAN-145,GP1
BPH2888,VAN-148,GP1
BPH2890,VAN-150,GP1
BPH2891,VAN-150,GP1
BPH2897,VAN-156,GP1
BPH2898,VAN-156,GP1
BPH2907,VAN-162,GP1
BPH2922,VAN-176,GP2
BPH2923,VAN-176,GP2
BPH2924,VAN-176,GP2
BPH2925,VAN-176,GP2
BPH2926,VAN-176,GP2
BPH2946,VAN-195,GP2
BPH2947,VAN-196,GP2
BPH2948,VAN-196,GP2
BPH2952,VAN-200,GP2
BPH2953,VAN-200,GP2
BPH2959,VAN-206,GP2
BPH2960,VAN-206,GP2
BPH2961,VAN-206,GP2
BPH2964,VAN-207,GP2
BPH2966,VAN-208,GP2
BPH2973,VAN-215,GP2
BPH2974,VAN-215,GP2
BPH2975,VAN-215,GP2
BPH2987,VAN-222,GP2
BPH2988,VAN-222,GP2
BPH2989,VAN-223,GP2
BPH2990,VAN-223,GP2
BPH2991,VAN-223,GP2
BPH3202,VSS-003,GP2
BPH3204,VSS-005,GP2
BPH3208,VSS-009,GP2
BPH3216,VSS-017,GP2
BPH3220,VSS-021,GP2
BPH3226,VSS-027,GP3
BPH3236,VSS-037,GP3
BPH3244,VSS-045,GP3
BPH3246,VSS-047,GP3
BPH3250,VSS-051,GP3
BPH3258,VSS-059,GP3
BPH3260,VSS-061,GP3
BPH3262,VSS-063,GP3
BPH3268,VSS-069,GP3
BPH3270,VSS-071,GP3
BPH3272,VSS-073,GP3
BPH3274,VSS-075,GP3
BPH3282,VSS-083,GP3
BPH3284,VSS-085,GP3
BPH3292,VSS-093,GP3
BPH3294,VSS-095,GP3
BPH3304,VSS-105,GP3
BPH3316,VSS-117,GP3
BPH3320,VSS-121,GP3
BPH3332,VSS-133,GP3
BPH3338,VSS-139,GP3
BPH3340,VSS-141,GP3
BPH3346,VSS-147,GP3
BPH3348,VSS-149,GP3
BPH3735,VSS-149,GP3
BPH3352,VSS-153,GP3
BPH3736,VSS-153,GP3
BPH3356,VSS-157,GP4
BPH3737,VSS-157,GP4
