well,sample_id,replicate,plate_number,plan
A01,BPH2898,2,GP1,1
A01,BPH2991,2,GP2,1
A01,BPH3346,2,GP3,1
A01,BPH3742,2,GP4,1
A01,BPH3523,2,GP5,1
A01,BPH3660,2,GP6,1
A01,Non infected,2,GP7,1
A02,BPH2876,3,GP1,1
A02,BPH2961,3,GP2,1
A02,BPH3282,3,GP3,1
A02,BPH3413,3,GP4,1
A02,BPH3479,3,GP5,1
A02,BPH3632,3,GP6,1
A02,BPH3710,3,GP7,1
A03,BPH2787,1,GP1,1
A03,BPH2922,1,GP2,1
A03,BPH3226,1,GP3,1
A03,BPH3356,1,GP4,1
A03,BPH3437,1,GP5,1
A03,BPH3529,1,GP6,1
A03,BPH3672,1,GP7,1
A04,BPH2873,1,GP1,1
A04,BPH2960,1,GP2,1
A04,BPH3274,1,GP3,1
A04,BPH3403,1,GP4,1
A04,BPH3477,1,GP5,1
A04,BPH3628,1,GP6,1
A04,BPH3704,1,GP7,1
A05,Non infected,3,GP1,1
A05,JE2,3,GP2,1
A05,Non infected,3,GP3,1
A05,JE2,3,GP4,1
A05,JE2,3,GP5,1
A05,JE2,3,GP6,1
A05,Non infected,3,GP7,1
A06,BPH2881,1,GP1,1
A06,BPH2966,1,GP2,1
A06,BPH3292,1,GP3,1
A06,BPH3417,1,GP4,1
A06,BPH3482,1,GP5,1
A06,BPH3636,1,GP6,1
A06,BPH3754,1,GP7,1
A07,BPH2801,2,GP1,1
A07,BPH2926,2,GP2,1
A07,BPH3250,2,GP3,1
A07,BPH3370,2,GP4,1
A07,BPH3459,2,GP5,1
A07,BPH3568,2,GP6,1
A07,BPH3686,2,GP7,1
A08,Non infected,1,GP1,1
A08,BPH3220,1,GP2,1
A08,JE2,1,GP3,1
A08,BPH3748,1,GP4,1
A08,BPH3751,1,GP5,1
A08,BPH3670,1,GP6,1
A08,Non infected,1,GP7,1
A09,BPH2890,2,GP1,1
A09,BPH2988,2,GP2,1
A09,BPH3332,2,GP3,1
A09,BPH3738,2,GP4,1
A09,BPH3501,2,GP5,1
A09,BPH3650,2,GP6,1
A09,Non infected,2,GP7,1
A10,BPH2883,3,GP1,1
A10,BPH2974,3,GP2,1
A10,BPH3304,3,GP3,1
A10,BPH3434,3,GP4,1
A10,BPH3489,3,GP5,1
A10,BPH3640,3,GP6,1
A10,JE2,3,GP7,1
A11,BPH2803,3,GP1,1
A11,BPH2947,3,GP2,1
A11,BPH3260,3,GP3,1
A11,BPH3376,3,GP4,1
A11,BPH3462,3,GP5,1
A11,BPH3588,3,GP6,1
A11,BPH3692,3,GP7,1
A12,BPH2884,3,GP1,1
A12,BPH2975,3,GP2,1
A12,BPH3316,3,GP3,1
A12,BPH3435,3,GP4,1
A12,BPH3493,3,GP5,1
A12,BPH3643,3,GP6,1
A12,Non infected,3,GP7,1
B01,JE2,2,GP1,1
B01,BPH3204,2,GP2,1
B01,BPH3352,2,GP3,1
B01,BPH3744,2,GP4,1
B01,BPH3527,2,GP5,1
B01,BPH3664,2,GP6,1
B01,Non infected,2,GP7,1
B02,BPH2799,1,GP1,1
B02,BPH2924,1,GP2,1
B02,BPH3244,1,GP3,1
B02,BPH3366,1,GP4,1
B02,BPH3443,1,GP5,1
B02,BPH3547,1,GP6,1
B02,BPH3682,1,GP7,1
B03,JE2,1,GP1,1
B03,BPH3204,1,GP2,1
B03,BPH3352,1,GP3,1
B03,BPH3744,1,GP4,1
B03,BPH3527,1,GP5,1
B03,BPH3664,1,GP6,1
B03,NE1354,1,GP7,2
B04,BPH2876,1,GP1,1
B04,BPH2961,1,GP2,1
B04,BPH3282,1,GP3,1
B04,BPH3413,1,GP4,1
B04,BPH3479,1,GP5,1
B04,BPH3632,1,GP6,1
B04,BPH3710,1,GP7,1
B05,Non infected,3,GP1,1
B05,BPH3208,3,GP2,1
B05,BPH3735,3,GP3,1
B05,BPH3745,3,GP4,1
B05,BPH3749,3,GP5,1
B05,BPH3666,3,GP6,1
B05,Non infected,3,GP7,1
B06,Non infected,3,GP1,1
B06,Non infected,3,GP2,1
B06,JE2,4,GP3,1
B06,Non infected,3,GP4,1
B06,Non infected,3,GP5,1
B06,Non infected,3,GP6,1
B06,Non infected,3,GP7,1
B07,BPH2881,2,GP1,1
B07,BPH2966,2,GP2,1
B07,BPH3292,2,GP3,1
B07,BPH3417,2,GP4,1
B07,BPH3482,2,GP5,1
B07,BPH3636,2,GP6,1
B07,BPH3754,2,GP7,1
B08,BPH2872,3,GP1,1
B08,BPH2959,3,GP2,1
B08,BPH3272,3,GP3,1
B08,BPH3401,3,GP4,1
B08,BPH3473,3,GP5,1
B08,BPH3612,3,GP6,1
B08,BPH3702,3,GP7,1
B09,BPH2873,2,GP1,1
B09,BPH2960,2,GP2,1
B09,BPH3274,2,GP3,1
B09,BPH3403,2,GP4,1
B09,BPH3477,2,GP5,1
B09,BPH3628,2,GP6,1
B09,BPH3704,2,GP7,1
B10,BPH2907,1,GP1,1
B10,BPH3202,1,GP2,1
B10,BPH3348,1,GP3,1
B10,BPH3743,1,GP4,1
B10,BPH3524,1,GP5,1
B10,BPH3662,1,GP6,1
B10,NE1354,2,GP7,2
B11,BPH2877,3,GP1,1
B11,BPH2964,3,GP2,1
B11,BPH3284,3,GP3,1
B11,BPH3415,3,GP4,1
B11,BPH3481,3,GP5,1
B11,BPH3634,3,GP6,1
B11,BPH3753,3,GP7,1
B12,BPH2876,2,GP1,1
B12,BPH2961,2,GP2,1
B12,BPH3282,2,GP3,1
B12,BPH3413,2,GP4,1
B12,BPH3479,2,GP5,1
